[['2, k, 0', [0.147829, -0.2794733, 1.0]], ['2, k, 1', [0.1739951, 0.02835876, 1.0]], ['2, k, 2', [0.1980196, 0.3253316, 1.0]], ['2, k, 3', [0.1872369, 0.4812439, 1.0]], ['2, k, 4', [-0.002763673, 0.2092416, 1.0]], ['2, k, 5', [-0.07550285, -0.05265777, 1.0]], ['2, k, 6', [-0.1292102, -0.03334881, 1.0]], ['2, k, 7', [-0.1492866, -0.04752405, 1.0]], ['2, k, 8', [0.3781556, 0.2151179, 1.0]], ['2, k, 9', [0.4700944, -0.011497, 1.0]], ['2, k, 10', [0.3948031, -0.07396264, 1.0]], ['2, k, 11', [0.3706338, -0.1368742, 1.0]], ['2, k, 12', [0.04860014, -0.271194, 1.0]], ['2, k, 13', [-0.03011636, -0.321834, 1.0]], ['2, k, 14', [0.08416534, -0.6967438, 1.0]], ['2, k, 15', [0.06615677, -0.7539378, 1.0]], ['2, k, 16', [0.241607, -0.2781385, 1.0]], ['2, k, 17', [0.3438563, -0.3004382, 1.0]], ['2, k, 18', [0.3107826, -0.6827298, 1.0]], ['2, k, 19', [0.333223, -0.7547221, 1.0]], ['2, k, 20', [0.192341, 0.2524519, 1.0]], ['2, k, 21', [-0.1915766, -0.02040352, 1.0]], ['2, k, 22', [-0.1771365, -0.003316398, 1.0]], ['2, k, 23', [0.402273, -0.1597908, 1.0]], ['2, k, 24', [0.3508899, -0.07501809, 1.0]]]
[['2, k, 0', [0.1478199, -0.27987, 1.0]], ['2, k, 1', [0.1738893, 0.0282519, 1.0]], ['2, k, 2', [0.1977467, 0.3253985, 1.0]], ['2, k, 3', [0.1865662, 0.4814518, 1.0]], ['2, k, 4', [-0.002488051, 0.208327, 1.0]], ['2, k, 5', [-0.06984868, -0.06821901, 1.0]], ['2, k, 6', [-0.1251354, -0.02853136, 1.0]], ['2, k, 7', [-0.1379571, 0.01759963, 1.0]], ['2, k, 8', [0.3779557, 0.2154013, 1.0]], ['2, k, 9', [0.4667811, -0.01244797, 1.0]], ['2, k, 10', [0.3940356, -0.07629643, 1.0]], ['2, k, 11', [0.3484986, -0.1616125, 1.0]], ['2, k, 12', [0.04845576, -0.2716465, 1.0]], ['2, k, 13', [-0.03021623, -0.3222639, 1.0]], ['2, k, 14', [0.08319318, -0.6973918, 1.0]], ['2, k, 15', [0.06612562, -0.7539904, 1.0]], ['2, k, 16', [0.2417722, -0.278645, 1.0]], ['2, k, 17', [0.3438266, -0.3000842, 1.0]], ['2, k, 18', [0.3113114, -0.6822065, 1.0]], ['2, k, 19', [0.333281, -0.754707, 1.0]], ['2, k, 20', [0.1921305, 0.2524607, 1.0]], ['2, k, 21', [-0.1794496, 0.0593078, 1.0]], ['2, k, 22', [-0.1636954, 0.06428913, 1.0]], ['2, k, 23', [0.3387557, -0.215583, 1.0]], ['2, k, 24', [0.3913384, -0.1656318, 1.0]]]
[['2, k, 0', [0.1477707, -0.2802859, 1.0]], ['2, k, 1', [0.1737273, 0.02803381, 1.0]], ['2, k, 2', [0.1974943, 0.3253275, 1.0]], ['2, k, 3', [0.1862069, 0.4813348, 1.0]], ['2, k, 4', [-0.001505414, 0.2083133, 1.0]], ['2, k, 5', [-0.0706186, -0.06604337, 1.0]], ['2, k, 6', [-0.1131445, 0.04340298, 1.0]], ['2, k, 7', [-0.1244101, 0.1104428, 1.0]], ['2, k, 8', [0.3774885, 0.2153652, 1.0]], ['2, k, 9', [0.4648189, -0.01509235, 1.0]], ['2, k, 10', [0.3801678, -0.1214646, 1.0]], ['2, k, 11', [0.3301754, -0.1747451, 1.0]], ['2, k, 12', [0.0482193, -0.2719779, 1.0]], ['2, k, 13', [-0.03012182, -0.3228123, 1.0]], ['2, k, 14', [0.0855866, -0.6972305, 1.0]], ['2, k, 15', [0.06593841, -0.7536953, 1.0]], ['2, k, 16', [0.2419541, -0.2793241, 1.0]], ['2, k, 17', [0.3441197, -0.2991574, 1.0]], ['2, k, 18', [0.3121523, -0.6815134, 1.0]], ['2, k, 19', [0.3332005, -0.7546375, 1.0]], ['2, k, 20', [0.1919023, 0.2523564, 1.0]], ['2, k, 21', [-0.1128651, 0.1224781, 1.0]], ['2, k, 22', [-0.161758, 0.1412, 1.0]], ['2, k, 23', [0.3254602, -0.2276219, 1.0]], ['2, k, 24', [0.3758894, -0.1539836, 1.0]]]
[['2, k, 0', [0.1477521, -0.2804756, 1.0]], ['2, k, 1', [0.1736794, 0.02800208, 1.0]], ['2, k, 2', [0.1973583, 0.3254281, 1.0]], ['2, k, 3', [0.1859581, 0.4814003, 1.0]], ['2, k, 4', [-0.001449656, 0.2085941, 1.0]], ['2, k, 5', [-0.0657663, -0.02277601, 1.0]], ['2, k, 6', [-0.1032756, 0.08172569, 1.0]], ['2, k, 7', [-0.1091117, 0.1728392, 1.0]], ['2, k, 8', [0.3772943, 0.2155801, 1.0]], ['2, k, 9', [0.4618331, -0.01960118, 1.0]], ['2, k, 10', [0.3709247, -0.1218765, 1.0]], ['2, k, 11', [0.3172295, -0.1797497, 1.0]], ['2, k, 12', [0.04812191, -0.2721136, 1.0]], ['2, k, 13', [-0.03019312, -0.3230718, 1.0]], ['2, k, 14', [0.08439183, -0.6976992, 1.0]], ['2, k, 15', [0.05800512, -0.7535539, 1.0]], ['2, k, 16', [0.24206, -0.2796511, 1.0]], ['2, k, 17', [0.3453032, -0.2960558, 1.0]], ['2, k, 18', [0.3132353, -0.6791389, 1.0]], ['2, k, 19', [0.3332333, -0.7543932, 1.0]], ['2, k, 20', [0.1917975, 0.2524056, 1.0]], ['2, k, 21', [-0.2101979, 0.2870476, 1.0]], ['2, k, 22', [-0.1477878, 0.1830825, 1.0]], ['2, k, 23', [0.3145294, -0.2335885, 1.0]], ['2, k, 24', [0.3823776, -0.1638359, 1.0]]]
[['2, k, 0', [0.1479375, -0.2819917, 1.0]], ['2, k, 1', [0.1733709, 0.02758761, 1.0]], ['2, k, 2', [0.1964559, 0.3255633, 1.0]], ['2, k, 3', [0.185878, 0.4814792, 1.0]], ['2, k, 4', [0.008186499, 0.2007445, 1.0]], ['2, k, 5', [-0.07318819, -0.03476282, 1.0]], ['2, k, 6', [-0.08558188, 0.1565855, 1.0]], ['2, k, 7', [-0.08479126, 0.2072749, 1.0]], ['2, k, 8', [0.3770406, 0.215654, 1.0]], ['2, k, 9', [0.4596634, -0.02304528, 1.0]], ['2, k, 10', [0.3358552, -0.1373799, 1.0]], ['2, k, 11', [0.3246293, -0.2042809, 1.0]], ['2, k, 12', [0.04786156, -0.2738436, 1.0]], ['2, k, 13', [-0.03048071, -0.3238226, 1.0]], ['2, k, 14', [0.08412987, -0.6982017, 1.0]], ['2, k, 15', [0.05875914, -0.7539335, 1.0]], ['2, k, 16', [0.2426571, -0.2808785, 1.0]], ['2, k, 17', [0.345542, -0.2956995, 1.0]], ['2, k, 18', [0.3139078, -0.6788073, 1.0]], ['2, k, 19', [0.3335595, -0.7546097, 1.0]], ['2, k, 20', [0.1911094, 0.2523763, 1.0]], ['2, k, 21', [-0.07465135, 0.2654745, 1.0]], ['2, k, 22', [-0.1350713, 0.2461364, 1.0]], ['2, k, 23', [0.3301961, -0.2432054, 1.0]], ['2, k, 24', [0.2522282, -0.2462637, 1.0]]]
[['2, k, 0', [0.1479979, -0.2821301, 1.0]], ['2, k, 1', [0.1732298, 0.02747883, 1.0]], ['2, k, 2', [0.1958365, 0.3255475, 1.0]], ['2, k, 3', [0.1858483, 0.4815186, 1.0]], ['2, k, 4', [0.006345287, 0.201494, 1.0]], ['2, k, 5', [-0.08400007, -0.02139214, 1.0]], ['2, k, 6', [-0.08183473, 0.1742725, 1.0]], ['2, k, 7', [-0.06790898, 0.258403, 1.0]], ['2, k, 8', [0.3769883, 0.2156752, 1.0]], ['2, k, 9', [0.4556785, -0.02365716, 1.0]], ['2, k, 10', [0.3351044, -0.1366469, 1.0]], ['2, k, 11', [0.3240159, -0.2036745, 1.0]], ['2, k, 12', [0.04786044, -0.2739932, 1.0]], ['2, k, 13', [-0.03032939, -0.3239732, 1.0]], ['2, k, 14', [0.08374709, -0.6983702, 1.0]], ['2, k, 15', [0.06041494, -0.7534592, 1.0]], ['2, k, 16', [0.2428751, -0.2810503, 1.0]], ['2, k, 17', [0.3456213, -0.2953146, 1.0]], ['2, k, 18', [0.3135411, -0.6784876, 1.0]], ['2, k, 19', [0.3337619, -0.7546356, 1.0]], ['2, k, 20', [0.1906253, 0.2523234, 1.0]], ['2, k, 21', [-0.07016812, 0.3260404, 1.0]], ['2, k, 22', [-0.1235832, 0.2857634, 1.0]], ['2, k, 23', [0.3327093, -0.2413352, 1.0]], ['2, k, 24', [0.2522478, -0.2462163, 1.0]]]
[['2, k, 0', [0.1480156, -0.2822171, 1.0]], ['2, k, 1', [0.1731509, 0.02745622, 1.0]], ['2, k, 2', [0.1955788, 0.3256715, 1.0]], ['2, k, 3', [0.1859058, 0.4813936, 1.0]], ['2, k, 4', [0.00569832, 0.2024328, 1.0]], ['2, k, 5', [-0.08295712, -0.02042634, 1.0]], ['2, k, 6', [-0.07838491, 0.1805982, 1.0]], ['2, k, 7', [-0.05482324, 0.2982148, 1.0]], ['2, k, 8', [0.3768617, 0.2156921, 1.0]], ['2, k, 9', [0.4535796, -0.02316064, 1.0]], ['2, k, 10', [0.2834327, -0.1541777, 1.0]], ['2, k, 11', [0.2123264, -0.1898043, 1.0]], ['2, k, 12', [0.04783105, -0.274068, 1.0]], ['2, k, 13', [-0.0302716, -0.324448, 1.0]], ['2, k, 14', [0.08408561, -0.6986738, 1.0]], ['2, k, 15', [0.06175899, -0.7530392, 1.0]], ['2, k, 16', [0.2430103, -0.2811768, 1.0]], ['2, k, 17', [0.34644, -0.2928805, 1.0]], ['2, k, 18', [0.3133529, -0.6763313, 1.0]], ['2, k, 19', [0.3334084, -0.7545738, 1.0]], ['2, k, 20', [0.190409, 0.252401, 1.0]], ['2, k, 21', [-0.04892126, 0.3670619, 1.0]], ['2, k, 22', [-0.1148845, 0.3295458, 1.0]], ['2, k, 23', [0.1427956, -0.2640805, 1.0]], ['2, k, 24', [0.1489186, -0.1206478, 1.0]]]
[['2, k, 0', [0.1480551, -0.2823079, 1.0]], ['2, k, 1', [0.1730877, 0.02739455, 1.0]], ['2, k, 2', [0.1954617, 0.3256595, 1.0]], ['2, k, 3', [0.1863463, 0.4813803, 1.0]], ['2, k, 4', [0.005516243, 0.2027262, 1.0]], ['2, k, 5', [-0.08591782, -0.01461402, 1.0]], ['2, k, 6', [-0.07936347, 0.2603242, 1.0]], ['2, k, 7', [-0.0446609, 0.3230795, 1.0]], ['2, k, 8', [0.3764159, 0.2157991, 1.0]], ['2, k, 9', [0.4532166, -0.02247777, 1.0]], ['2, k, 10', [0.2841731, -0.1544246, 1.0]], ['2, k, 11', [0.2133237, -0.1911398, 1.0]], ['2, k, 12', [0.04781948, -0.2740974, 1.0]], ['2, k, 13', [-0.03015364, -0.3251785, 1.0]], ['2, k, 14', [0.08085176, -0.6996061, 1.0]], ['2, k, 15', [0.06189913, -0.7531553, 1.0]], ['2, k, 16', [0.2432108, -0.2813554, 1.0]], ['2, k, 17', [0.3470406, -0.291591, 1.0]], ['2, k, 18', [0.3133493, -0.6752084, 1.0]], ['2, k, 19', [0.3336685, -0.7545162, 1.0]], ['2, k, 20', [0.190299, 0.2523798, 1.0]], ['2, k, 21', [-0.01417027, 0.3904032, 1.0]], ['2, k, 22', [-0.1060812, 0.3438451, 1.0]], ['2, k, 23', [0.1427014, -0.2629237, 1.0]], ['2, k, 24', [0.1487119, -0.1207708, 1.0]]]
[['2, k, 0', [0.1481706, -0.2827188, 1.0]], ['2, k, 1', [0.1723644, 0.02714893, 1.0]], ['2, k, 2', [0.1925376, 0.3259702, 1.0]], ['2, k, 3', [0.1873925, 0.4814621, 1.0]], ['2, k, 4', [0.00543773, 0.2028016, 1.0]], ['2, k, 5', [-0.08498645, -0.01143195, 1.0]], ['2, k, 6', [-0.09830987, 0.2560249, 1.0]], ['2, k, 7', [-0.03173823, 0.3505435, 1.0]], ['2, k, 8', [0.3759845, 0.2159579, 1.0]], ['2, k, 9', [0.451486, -0.0211234, 1.0]], ['2, k, 10', [0.2844469, -0.1549611, 1.0]], ['2, k, 11', [0.2132264, -0.1905533, 1.0]], ['2, k, 12', [0.04776244, -0.2745265, 1.0]], ['2, k, 13', [-0.03014004, -0.3259232, 1.0]], ['2, k, 14', [0.08244596, -0.6990641, 1.0]], ['2, k, 15', [0.06306146, -0.7524118, 1.0]], ['2, k, 16', [0.2436464, -0.2820462, 1.0]], ['2, k, 17', [0.3469042, -0.2910878, 1.0]], ['2, k, 18', [0.3132587, -0.6747246, 1.0]], ['2, k, 19', [0.3335978, -0.7543061, 1.0]], ['2, k, 20', [0.1880157, 0.2524935, 1.0]], ['2, k, 21', [-0.003354008, 0.4167522, 1.0]], ['2, k, 22', [-0.09882219, 0.3506521, 1.0]], ['2, k, 23', [0.1428091, -0.2671825, 1.0]], ['2, k, 24', [0.1485937, -0.1215631, 1.0]]]
[['2, k, 0', [0.148225, -0.2828606, 1.0]], ['2, k, 1', [0.1716032, 0.02730085, 1.0]], ['2, k, 2', [0.1899386, 0.3272205, 1.0]], ['2, k, 3', [0.1885695, 0.4817539, 1.0]], ['2, k, 4', [0.005542279, 0.2029644, 1.0]], ['2, k, 5', [-0.09011707, 0.03785041, 1.0]], ['2, k, 6', [-0.01207171, 0.3450206, 1.0]], ['2, k, 7', [-0.02091429, 0.3615397, 1.0]], ['2, k, 8', [0.3738876, 0.2164254, 1.0]], ['2, k, 9', [0.4523363, -0.01949666, 1.0]], ['2, k, 10', [0.3525476, -0.1286267, 1.0]], ['2, k, 11', [0.3482352, -0.1558969, 1.0]], ['2, k, 12', [0.04774261, -0.2746125, 1.0]], ['2, k, 13', [-0.03012454, -0.3268101, 1.0]], ['2, k, 14', [0.08202056, -0.6998788, 1.0]], ['2, k, 15', [0.06390838, -0.7521824, 1.0]], ['2, k, 16', [0.2438668, -0.2823257, 1.0]], ['2, k, 17', [0.3467405, -0.2910851, 1.0]], ['2, k, 18', [0.313067, -0.6747124, 1.0]], ['2, k, 19', [0.3335305, -0.754042, 1.0]], ['2, k, 20', [0.1858713, 0.2534328, 1.0]], ['2, k, 21', [0.007640768, 0.4292183, 1.0]], ['2, k, 22', [-0.09401007, 0.3714155, 1.0]], ['2, k, 23', [0.361398, -0.192166, 1.0]], ['2, k, 24', [0.2872014, -0.1707494, 1.0]]]
[['2, k, 0', [0.1482617, -0.2831721, 1.0]], ['2, k, 1', [0.1710638, 0.02748403, 1.0]], ['2, k, 2', [0.1885085, 0.3285924, 1.0]], ['2, k, 3', [0.1893919, 0.4815941, 1.0]], ['2, k, 4', [0.006213665, 0.2028853, 1.0]], ['2, k, 5', [-0.08148776, -0.006934348, 1.0]], ['2, k, 6', [-0.05594323, 0.2289626, 1.0]], ['2, k, 7', [-0.01459526, 0.3614622, 1.0]], ['2, k, 8', [0.37366, 0.2165692, 1.0]], ['2, k, 9', [0.4524067, -0.01948049, 1.0]], ['2, k, 10', [0.3572926, -0.1340245, 1.0]], ['2, k, 11', [0.3528301, -0.1553098, 1.0]], ['2, k, 12', [0.04766758, -0.2748353, 1.0]], ['2, k, 13', [-0.03029583, -0.3269645, 1.0]], ['2, k, 14', [0.08261845, -0.7003103, 1.0]], ['2, k, 15', [0.06394686, -0.7521906, 1.0]], ['2, k, 16', [0.2440176, -0.2827529, 1.0]], ['2, k, 17', [0.3467079, -0.2910004, 1.0]], ['2, k, 18', [0.3132531, -0.6746449, 1.0]], ['2, k, 19', [0.3333707, -0.7537939, 1.0]], ['2, k, 20', [0.1846254, 0.2544733, 1.0]], ['2, k, 21', [0.009528756, 0.4329674, 1.0]], ['2, k, 22', [-0.08354104, 0.3698664, 1.0]], ['2, k, 23', [0.3659278, -0.1924159, 1.0]], ['2, k, 24', [0.2886464, -0.1720433, 1.0]]]
