[['2, k, 0', [-0.193401, -0.276315, 1.0]], ['2, k, 1', [-0.19079, 0.0379122, 1.0]], ['2, k, 2', [-0.186945, 0.343276, 1.0]], ['2, k, 3', [-0.181148, 0.469126, 1.0]], ['2, k, 4', [-0.372849, 0.246606, 1.0]], ['2, k, 5', [-0.554042, 0.0626521, 1.0]], ['2, k, 6', [-0.498089, -0.146856, 1.0]], ['2, k, 7', [-0.457725, -0.169062, 1.0]], ['2, k, 8', [0.000681187, 0.255821, 1.0]], ['2, k, 9', [0.161319, 0.0847515, 1.0]], ['2, k, 10', [0.0945409, -0.12956, 1.0]], ['2, k, 11', [0.0276464, -0.176728, 1.0]], ['2, k, 12', [-0.275636, -0.274071, 1.0]], ['2, k, 13', [-0.3039, -0.692424, 1.0]], ['2, k, 14', [-0.288736, -1.05795, 1.0]], ['2, k, 15', [-0.299561, -1.12598, 1.0]], ['2, k, 16', [-0.10507, -0.269853, 1.0]], ['2, k, 17', [-0.0719574, -0.667785, 1.0]], ['2, k, 18', [-0.101636, -1.05608, 1.0]], ['2, k, 19', [-0.101196, -1.11621, 1.0]], ['2, k, 20', [-0.188119, 0.268239, 1.0]], ['2, k, 21', [-0.440039, -0.214459, 1.0]], ['2, k, 22', [-0.468301, -0.163565, 1.0]], ['2, k, 23', [0.00475764, -0.26466, 1.0]], ['2, k, 24', [-0.013061, -0.15385, 1.0]]]
[['2, k, 0', [-0.193469, -0.276289, 1.0]], ['2, k, 1', [-0.190789, 0.0379117, 1.0]], ['2, k, 2', [-0.186859, 0.343236, 1.0]], ['2, k, 3', [-0.181136, 0.469074, 1.0]], ['2, k, 4', [-0.372865, 0.246586, 1.0]], ['2, k, 5', [-0.553992, 0.0623557, 1.0]], ['2, k, 6', [-0.468698, -0.13305, 1.0]], ['2, k, 7', [-0.428554, -0.173773, 1.0]], ['2, k, 8', [0.000705539, 0.255821, 1.0]], ['2, k, 9', [0.161423, 0.0849355, 1.0]], ['2, k, 10', [0.0944003, -0.129329, 1.0]], ['2, k, 11', [0.0687012, -0.131593, 1.0]], ['2, k, 12', [-0.275682, -0.27406, 1.0]], ['2, k, 13', [-0.304004, -0.692506, 1.0]], ['2, k, 14', [-0.289278, -1.05806, 1.0]], ['2, k, 15', [-0.298228, -1.12491, 1.0]], ['2, k, 16', [-0.105161, -0.269806, 1.0]], ['2, k, 17', [-0.0721034, -0.667869, 1.0]], ['2, k, 18', [-0.101611, -1.05605, 1.0]], ['2, k, 19', [-0.101184, -1.11629, 1.0]], ['2, k, 20', [-0.188068, 0.268216, 1.0]], ['2, k, 21', [-0.402064, -0.260869, 1.0]], ['2, k, 22', [-0.369854, -0.141606, 1.0]], ['2, k, 23', [0.023444, -0.210732, 1.0]], ['2, k, 24', [0.0246488, -0.113342, 1.0]]]
[['2, k, 0', [-0.193522, -0.276257, 1.0]], ['2, k, 1', [-0.190766, 0.0378398, 1.0]], ['2, k, 2', [-0.186575, 0.342754, 1.0]], ['2, k, 3', [-0.180891, 0.467804, 1.0]], ['2, k, 4', [-0.372843, 0.246585, 1.0]], ['2, k, 5', [-0.554154, 0.0624498, 1.0]], ['2, k, 6', [-0.46773, -0.132876, 1.0]], ['2, k, 7', [-0.426837, -0.174305, 1.0]], ['2, k, 8', [0.000725601, 0.255707, 1.0]], ['2, k, 9', [0.16146, 0.0850585, 1.0]], ['2, k, 10', [0.0924262, -0.128546, 1.0]], ['2, k, 11', [0.0362047, -0.159178, 1.0]], ['2, k, 12', [-0.275743, -0.274011, 1.0]], ['2, k, 13', [-0.304009, -0.692563, 1.0]], ['2, k, 14', [-0.289174, -1.05836, 1.0]], ['2, k, 15', [-0.298234, -1.12492, 1.0]], ['2, k, 16', [-0.105206, -0.269792, 1.0]], ['2, k, 17', [-0.0721918, -0.667643, 1.0]], ['2, k, 18', [-0.101724, -1.05676, 1.0]], ['2, k, 19', [-0.101166, -1.11636, 1.0]], ['2, k, 20', [-0.187873, 0.267866, 1.0]], ['2, k, 21', [-0.400326, -0.261146, 1.0]], ['2, k, 22', [-0.369376, -0.141811, 1.0]], ['2, k, 23', [0.00949432, -0.244302, 1.0]], ['2, k, 24', [-0.00793706, -0.12838, 1.0]]]
[['2, k, 0', [-0.194429, -0.276494, 1.0]], ['2, k, 1', [-0.190737, 0.0374985, 1.0]], ['2, k, 2', [-0.185349, 0.341345, 1.0]], ['2, k, 3', [-0.179816, 0.46484, 1.0]], ['2, k, 4', [-0.372631, 0.246602, 1.0]], ['2, k, 5', [-0.554306, 0.062583, 1.0]], ['2, k, 6', [-0.467638, -0.1331, 1.0]], ['2, k, 7', [-0.427545, -0.174657, 1.0]], ['2, k, 8', [0.000760523, 0.255374, 1.0]], ['2, k, 9', [0.161268, 0.085286, 1.0]], ['2, k, 10', [0.0897482, -0.127231, 1.0]], ['2, k, 11', [0.0353314, -0.157595, 1.0]], ['2, k, 12', [-0.276471, -0.274091, 1.0]], ['2, k, 13', [-0.304374, -0.692606, 1.0]], ['2, k, 14', [-0.289877, -1.05525, 1.0]], ['2, k, 15', [-0.297903, -1.12462, 1.0]], ['2, k, 16', [-0.106287, -0.270244, 1.0]], ['2, k, 17', [-0.074314, -0.6709, 1.0]], ['2, k, 18', [-0.101702, -1.05673, 1.0]], ['2, k, 19', [-0.101135, -1.11635, 1.0]], ['2, k, 20', [-0.18709, 0.266796, 1.0]], ['2, k, 21', [-0.403779, -0.261811, 1.0]], ['2, k, 22', [-0.369392, -0.144816, 1.0]], ['2, k, 23', [0.00581659, -0.246455, 1.0]], ['2, k, 24', [-0.00773966, -0.127292, 1.0]]]
[['2, k, 0', [-0.195792, -0.277472, 1.0]], ['2, k, 1', [-0.190814, 0.0368826, 1.0]], ['2, k, 2', [-0.184543, 0.340017, 1.0]], ['2, k, 3', [-0.178803, 0.462069, 1.0]], ['2, k, 4', [-0.371827, 0.246407, 1.0]], ['2, k, 5', [-0.554572, 0.0627931, 1.0]], ['2, k, 6', [-0.467777, -0.132356, 1.0]], ['2, k, 7', [-0.428376, -0.174925, 1.0]], ['2, k, 8', [0.000664272, 0.254844, 1.0]], ['2, k, 9', [0.160596, 0.0857945, 1.0]], ['2, k, 10', [0.0873992, -0.125845, 1.0]], ['2, k, 11', [0.0306205, -0.158158, 1.0]], ['2, k, 12', [-0.277791, -0.274938, 1.0]], ['2, k, 13', [-0.304961, -0.694767, 1.0]], ['2, k, 14', [-0.290267, -1.0557, 1.0]], ['2, k, 15', [-0.29805, -1.12576, 1.0]], ['2, k, 16', [-0.107635, -0.271313, 1.0]], ['2, k, 17', [-0.0759214, -0.674464, 1.0]], ['2, k, 18', [-0.101604, -1.0567, 1.0]], ['2, k, 19', [-0.100687, -1.11668, 1.0]], ['2, k, 20', [-0.18658, 0.265669, 1.0]], ['2, k, 21', [-0.405207, -0.261118, 1.0]], ['2, k, 22', [-0.370994, -0.147337, 1.0]], ['2, k, 23', [-0.000521775, -0.253654, 1.0]], ['2, k, 24', [-0.0127497, -0.130633, 1.0]]]
[['2, k, 0', [-0.197974, -0.277973, 1.0]], ['2, k, 1', [-0.191169, 0.0362646, 1.0]], ['2, k, 2', [-0.183873, 0.338376, 1.0]], ['2, k, 3', [-0.176316, 0.457265, 1.0]], ['2, k, 4', [-0.370365, 0.246202, 1.0]], ['2, k, 5', [-0.55463, 0.0628155, 1.0]], ['2, k, 6', [-0.468091, -0.131865, 1.0]], ['2, k, 7', [-0.429543, -0.17393, 1.0]], ['2, k, 8', [0.000405337, 0.253953, 1.0]], ['2, k, 9', [0.160317, 0.0858478, 1.0]], ['2, k, 10', [0.0814681, -0.123576, 1.0]], ['2, k, 11', [0.0288338, -0.156393, 1.0]], ['2, k, 12', [-0.280051, -0.275311, 1.0]], ['2, k, 13', [-0.306341, -0.695716, 1.0]], ['2, k, 14', [-0.291102, -1.05676, 1.0]], ['2, k, 15', [-0.297565, -1.12565, 1.0]], ['2, k, 16', [-0.109675, -0.271918, 1.0]], ['2, k, 17', [-0.0770049, -0.673338, 1.0]], ['2, k, 18', [-0.10167, -1.05774, 1.0]], ['2, k, 19', [-0.0999494, -1.11726, 1.0]], ['2, k, 20', [-0.186268, 0.264279, 1.0]], ['2, k, 21', [-0.408835, -0.260968, 1.0]], ['2, k, 22', [-0.371002, -0.152516, 1.0]], ['2, k, 23', [-0.00477599, -0.257526, 1.0]], ['2, k, 24', [-0.0134998, -0.127142, 1.0]]]
[['2, k, 0', [-0.203468, -0.279734, 1.0]], ['2, k, 1', [-0.19169, 0.0347576, 1.0]], ['2, k, 2', [-0.180929, 0.334803, 1.0]], ['2, k, 3', [-0.173428, 0.453198, 1.0]], ['2, k, 4', [-0.36875, 0.245728, 1.0]], ['2, k, 5', [-0.554761, 0.0638857, 1.0]], ['2, k, 6', [-0.468519, -0.131093, 1.0]], ['2, k, 7', [-0.43083, -0.172716, 1.0]], ['2, k, 8', [0.000119045, 0.25222, 1.0]], ['2, k, 9', [0.159294, 0.0848372, 1.0]], ['2, k, 10', [0.0750024, -0.12223, 1.0]], ['2, k, 11', [0.0287493, -0.153556, 1.0]], ['2, k, 12', [-0.285237, -0.276622, 1.0]], ['2, k, 13', [-0.307643, -0.69416, 1.0]], ['2, k, 14', [-0.291421, -1.05598, 1.0]], ['2, k, 15', [-0.297729, -1.12553, 1.0]], ['2, k, 16', [-0.115321, -0.274119, 1.0]], ['2, k, 17', [-0.0791123, -0.673301, 1.0]], ['2, k, 18', [-0.101506, -1.05831, 1.0]], ['2, k, 19', [-0.0998743, -1.11748, 1.0]], ['2, k, 20', [-0.184535, 0.261299, 1.0]], ['2, k, 21', [-0.413374, -0.262268, 1.0]], ['2, k, 22', [-0.371182, -0.157347, 1.0]], ['2, k, 23', [-0.0112352, -0.262606, 1.0]], ['2, k, 24', [-0.0152994, -0.132779, 1.0]]]
[['2, k, 0', [-0.20762, -0.280181, 1.0]], ['2, k, 1', [-0.192252, 0.0333191, 1.0]], ['2, k, 2', [-0.178182, 0.331294, 1.0]], ['2, k, 3', [-0.169134, 0.446741, 1.0]], ['2, k, 4', [-0.365485, 0.245183, 1.0]], ['2, k, 5', [-0.555167, 0.0652233, 1.0]], ['2, k, 6', [-0.513514, -0.142142, 1.0]], ['2, k, 7', [-0.457898, -0.169864, 1.0]], ['2, k, 8', [-1.14633e-05, 0.249692, 1.0]], ['2, k, 9', [0.157459, 0.0823129, 1.0]], ['2, k, 10', [0.0693509, -0.123006, 1.0]], ['2, k, 11', [0.0341266, -0.146548, 1.0]], ['2, k, 12', [-0.289241, -0.276658, 1.0]], ['2, k, 13', [-0.312033, -0.708062, 1.0]], ['2, k, 14', [-0.291657, -1.0566, 1.0]], ['2, k, 15', [-0.298361, -1.12717, 1.0]], ['2, k, 16', [-0.119518, -0.274982, 1.0]], ['2, k, 17', [-0.0847139, -0.679464, 1.0]], ['2, k, 18', [-0.101508, -1.0583, 1.0]], ['2, k, 19', [-0.100117, -1.11774, 1.0]], ['2, k, 20', [-0.182761, 0.258235, 1.0]], ['2, k, 21', [-0.427384, -0.273953, 1.0]], ['2, k, 22', [-0.407795, -0.191345, 1.0]], ['2, k, 23', [0.00802397, -0.220459, 1.0]], ['2, k, 24', [-0.000658164, -0.124458, 1.0]]]
[['2, k, 0', [-0.21338, -0.280501, 1.0]], ['2, k, 1', [-0.192971, 0.0318499, 1.0]], ['2, k, 2', [-0.175148, 0.328078, 1.0]], ['2, k, 3', [-0.16554, 0.443817, 1.0]], ['2, k, 4', [-0.362972, 0.244348, 1.0]], ['2, k, 5', [-0.55521, 0.0653453, 1.0]], ['2, k, 6', [-0.514372, -0.142322, 1.0]], ['2, k, 7', [-0.459981, -0.172292, 1.0]], ['2, k, 8', [0.000293937, 0.247019, 1.0]], ['2, k, 9', [0.156228, 0.0806914, 1.0]], ['2, k, 10', [0.0645199, -0.122726, 1.0]], ['2, k, 11', [0.0410523, -0.138688, 1.0]], ['2, k, 12', [-0.294616, -0.276545, 1.0]], ['2, k, 13', [-0.3164, -0.700813, 1.0]], ['2, k, 14', [-0.291732, -1.05641, 1.0]], ['2, k, 15', [-0.298449, -1.12706, 1.0]], ['2, k, 16', [-0.125515, -0.275778, 1.0]], ['2, k, 17', [-0.0886811, -0.68456, 1.0]], ['2, k, 18', [-0.101459, -1.05877, 1.0]], ['2, k, 19', [-0.100129, -1.1177, 1.0]], ['2, k, 20', [-0.180832, 0.255415, 1.0]], ['2, k, 21', [-0.43701, -0.272512, 1.0]], ['2, k, 22', [-0.410457, -0.181331, 1.0]], ['2, k, 23', [0.00983992, -0.188585, 1.0]], ['2, k, 24', [0.00757506, -0.114477, 1.0]]]
[['2, k, 0', [-0.218055, -0.280355, 1.0]], ['2, k, 1', [-0.193215, 0.0393213, 1.0]], ['2, k, 2', [-0.159065, 0.360226, 1.0]], ['2, k, 3', [-0.155625, 0.467194, 1.0]], ['2, k, 4', [-0.359039, 0.242083, 1.0]], ['2, k, 5', [-0.554763, 0.0678597, 1.0]], ['2, k, 6', [-0.509585, -0.13667, 1.0]], ['2, k, 7', [-0.459212, -0.169497, 1.0]], ['2, k, 8', [0.00112981, 0.243615, 1.0]], ['2, k, 9', [0.154314, 0.0760703, 1.0]], ['2, k, 10', [0.0588106, -0.125247, 1.0]], ['2, k, 11', [0.0455954, -0.134828, 1.0]], ['2, k, 12', [-0.299061, -0.275576, 1.0]], ['2, k, 13', [-0.317712, -0.701173, 1.0]], ['2, k, 14', [-0.290494, -1.06405, 1.0]], ['2, k, 15', [-0.298275, -1.12844, 1.0]], ['2, k, 16', [-0.1303, -0.276393, 1.0]], ['2, k, 17', [-0.0948011, -0.689658, 1.0]], ['2, k, 18', [-0.10146, -1.05967, 1.0]], ['2, k, 19', [-0.0960932, -1.11925, 1.0]], ['2, k, 20', [-0.167751, 0.282665, 1.0]], ['2, k, 21', [-0.438676, -0.27, 1.0]], ['2, k, 22', [-0.40468, -0.165281, 1.0]], ['2, k, 23', [0.00993155, -0.188923, 1.0]], ['2, k, 24', [0.00883364, -0.110395, 1.0]]]
[['2, k, 0', [-0.224466, -0.281263, 1.0]], ['2, k, 1', [-0.193509, 0.0394475, 1.0]], ['2, k, 2', [-0.158135, 0.359119, 1.0]], ['2, k, 3', [-0.149646, 0.460572, 1.0]], ['2, k, 4', [-0.3551, 0.239531, 1.0]], ['2, k, 5', [-0.55503, 0.0816549, 1.0]], ['2, k, 6', [-0.514008, -0.12323, 1.0]], ['2, k, 7', [-0.478094, -0.15826, 1.0]], ['2, k, 8', [0.00267017, 0.237458, 1.0]], ['2, k, 9', [0.152097, 0.0701322, 1.0]], ['2, k, 10', [0.0527116, -0.128739, 1.0]], ['2, k, 11', [-0.00622857, -0.160053, 1.0]], ['2, k, 12', [-0.305257, -0.274877, 1.0]], ['2, k, 13', [-0.321214, -0.698104, 1.0]], ['2, k, 14', [-0.2907, -1.06342, 1.0]], ['2, k, 15', [-0.299246, -1.12812, 1.0]], ['2, k, 16', [-0.136874, -0.278944, 1.0]], ['2, k, 17', [-0.100709, -0.692224, 1.0]], ['2, k, 18', [-0.101776, -1.06024, 1.0]], ['2, k, 19', [-0.0954909, -1.11907, 1.0]], ['2, k, 20', [-0.167225, 0.281824, 1.0]], ['2, k, 21', [-0.452492, -0.25915, 1.0]], ['2, k, 22', [-0.423396, -0.175412, 1.0]], ['2, k, 23', [-0.0369693, -0.256432, 1.0]], ['2, k, 24', [-0.0507119, -0.1332, 1.0]]]
