[['2, k, 0', [-0.20805, -0.276297, 1.0]], ['2, k, 1', [-0.206217, 0.0143318, 1.0]], ['2, k, 2', [-0.20347, 0.298539, 1.0]], ['2, k, 3', [-0.211304, 0.427561, 1.0]], ['2, k, 4', [-0.383946, 0.178669, 1.0]], ['2, k, 5', [-0.440228, -0.0423605, 1.0]], ['2, k, 6', [-0.481547, -0.227602, 1.0]], ['2, k, 7', [-0.4873, -0.298147, 1.0]], ['2, k, 8', [-0.0469307, 0.170555, 1.0]], ['2, k, 9', [-0.0102311, -0.0627773, 1.0]], ['2, k, 10', [0.0073038, -0.249484, 1.0]], ['2, k, 11', [0.00946159, -0.316629, 1.0]], ['2, k, 12', [-0.282207, -0.271008, 1.0]], ['2, k, 13', [-0.308097, -0.615202, 1.0]], ['2, k, 14', [-0.310679, -0.964362, 1.0]], ['2, k, 15', [-0.332764, -1.02539, 1.0]], ['2, k, 16', [-0.128782, -0.274829, 1.0]], ['2, k, 17', [-0.0677414, -0.629691, 1.0]], ['2, k, 18', [-0.0539249, -0.963492, 1.0]], ['2, k, 19', [-0.0518188, -1.02539, 1.0]], ['2, k, 20', [-0.204323, 0.228389, 1.0]], ['2, k, 21', [-0.473233, -0.341015, 1.0]], ['2, k, 22', [-0.416766, -0.326286, 1.0]], ['2, k, 23', [-0.0115236, -0.363178, 1.0]], ['2, k, 24', [0.0897057, -0.331882, 1.0]]]
[['2, k, 0', [-0.20814, -0.2763, 1.0]], ['2, k, 1', [-0.206242, 0.0143429, 1.0]], ['2, k, 2', [-0.203389, 0.298579, 1.0]], ['2, k, 3', [-0.211233, 0.427578, 1.0]], ['2, k, 4', [-0.383576, 0.17802, 1.0]], ['2, k, 5', [-0.443932, -0.0376231, 1.0]], ['2, k, 6', [-0.488558, -0.220074, 1.0]], ['2, k, 7', [-0.491473, -0.283331, 1.0]], ['2, k, 8', [-0.0469163, 0.17069, 1.0]], ['2, k, 9', [-0.011197, -0.0468766, 1.0]], ['2, k, 10', [0.00359162, -0.222811, 1.0]], ['2, k, 11', [-0.00141674, -0.295348, 1.0]], ['2, k, 12', [-0.282328, -0.271114, 1.0]], ['2, k, 13', [-0.30859, -0.618173, 1.0]], ['2, k, 14', [-0.31094, -0.962271, 1.0]], ['2, k, 15', [-0.317908, -0.998849, 1.0]], ['2, k, 16', [-0.128887, -0.274737, 1.0]], ['2, k, 17', [-0.0671802, -0.629273, 1.0]], ['2, k, 18', [-0.0533167, -0.929721, 1.0]], ['2, k, 19', [-0.0630168, -0.966481, 1.0]], ['2, k, 20', [-0.204277, 0.228419, 1.0]], ['2, k, 21', [-0.474782, -0.320136, 1.0]], ['2, k, 22', [-0.396113, -0.307817, 1.0]], ['2, k, 23', [-0.00129369, -0.332054, 1.0]], ['2, k, 24', [0.0858679, -0.311759, 1.0]]]
[['2, k, 0', [-0.209844, -0.2747, 1.0]], ['2, k, 1', [-0.206677, 0.0148178, 1.0]], ['2, k, 2', [-0.203327, 0.298589, 1.0]], ['2, k, 3', [-0.211057, 0.427719, 1.0]], ['2, k, 4', [-0.382573, 0.177796, 1.0]], ['2, k, 5', [-0.452784, -0.0261525, 1.0]], ['2, k, 6', [-0.492747, -0.200201, 1.0]], ['2, k, 7', [-0.498379, -0.25553, 1.0]], ['2, k, 8', [-0.0469799, 0.170837, 1.0]], ['2, k, 9', [-0.0118282, -0.0253607, 1.0]], ['2, k, 10', [-0.00597741, -0.175512, 1.0]], ['2, k, 11', [-0.0092786, -0.258605, 1.0]], ['2, k, 12', [-0.284005, -0.269746, 1.0]], ['2, k, 13', [-0.309265, -0.617648, 1.0]], ['2, k, 14', [-0.310148, -0.96126, 1.0]], ['2, k, 15', [-0.317076, -0.99789, 1.0]], ['2, k, 16', [-0.130588, -0.272934, 1.0]], ['2, k, 17', [-0.0671187, -0.629314, 1.0]], ['2, k, 18', [-0.0537275, -0.94454, 1.0]], ['2, k, 19', [-0.0491451, -1.01663, 1.0]], ['2, k, 20', [-0.204289, 0.228498, 1.0]], ['2, k, 21', [-0.483512, -0.291194, 1.0]], ['2, k, 22', [-0.411791, -0.275713, 1.0]], ['2, k, 23', [-0.0178955, -0.302808, 1.0]], ['2, k, 24', [0.0507804, -0.284135, 1.0]]]
[['2, k, 0', [-0.210438, -0.275013, 1.0]], ['2, k, 1', [-0.20686, 0.0146345, 1.0]], ['2, k, 2', [-0.202901, 0.29843, 1.0]], ['2, k, 3', [-0.210877, 0.427998, 1.0]], ['2, k, 4', [-0.381385, 0.178185, 1.0]], ['2, k, 5', [-0.45405, -0.00358735, 1.0]], ['2, k, 6', [-0.498698, -0.163961, 1.0]], ['2, k, 7', [-0.504981, -0.224132, 1.0]], ['2, k, 8', [-0.0471045, 0.171046, 1.0]], ['2, k, 9', [-0.0115421, 0.0113077, 1.0]], ['2, k, 10', [-0.00950073, -0.136613, 1.0]], ['2, k, 11', [-0.0161949, -0.222567, 1.0]], ['2, k, 12', [-0.28468, -0.270113, 1.0]], ['2, k, 13', [-0.30987, -0.614257, 1.0]], ['2, k, 14', [-0.310266, -0.960696, 1.0]], ['2, k, 15', [-0.325027, -1.02192, 1.0]], ['2, k, 16', [-0.131083, -0.273195, 1.0]], ['2, k, 17', [-0.0673521, -0.627109, 1.0]], ['2, k, 18', [-0.0547865, -0.948739, 1.0]], ['2, k, 19', [-0.0490662, -1.01832, 1.0]], ['2, k, 20', [-0.204039, 0.228341, 1.0]], ['2, k, 21', [-0.48167, -0.256, 1.0]], ['2, k, 22', [-0.413217, -0.239546, 1.0]], ['2, k, 23', [-0.036798, -0.267418, 1.0]], ['2, k, 24', [0.038268, -0.246621, 1.0]]]
[['2, k, 0', [-0.207998, -0.296526, 1.0]], ['2, k, 1', [-0.205839, 0.00916169, 1.0]], ['2, k, 2', [-0.202542, 0.298726, 1.0]], ['2, k, 3', [-0.210677, 0.428306, 1.0]], ['2, k, 4', [-0.379409, 0.179434, 1.0]], ['2, k, 5', [-0.453588, 0.0291708, 1.0]], ['2, k, 6', [-0.509898, -0.1308, 1.0]], ['2, k, 7', [-0.514666, -0.183541, 1.0]], ['2, k, 8', [-0.0476719, 0.171871, 1.0]], ['2, k, 9', [-0.0179009, 0.0027528, 1.0]], ['2, k, 10', [-0.0179959, -0.129994, 1.0]], ['2, k, 11', [-0.025839, -0.187107, 1.0]], ['2, k, 12', [-0.282086, -0.29176, 1.0]], ['2, k, 13', [-0.311066, -0.612587, 1.0]], ['2, k, 14', [-0.31036, -0.960219, 1.0]], ['2, k, 15', [-0.327273, -1.02182, 1.0]], ['2, k, 16', [-0.128813, -0.294024, 1.0]], ['2, k, 17', [-0.0671678, -0.625454, 1.0]], ['2, k, 18', [-0.0548266, -0.954547, 1.0]], ['2, k, 19', [-0.0494967, -1.01941, 1.0]], ['2, k, 20', [-0.20359, 0.227948, 1.0]], ['2, k, 21', [-0.494233, -0.210612, 1.0]], ['2, k, 22', [-0.440067, -0.203812, 1.0]], ['2, k, 23', [-0.0438527, -0.222318, 1.0]], ['2, k, 24', [0.0113866, -0.197421, 1.0]]]
[['2, k, 0', [-0.204227, -0.302559, 1.0]], ['2, k, 1', [-0.203756, 0.00584934, 1.0]], ['2, k, 2', [-0.202021, 0.299381, 1.0]], ['2, k, 3', [-0.210421, 0.428556, 1.0]], ['2, k, 4', [-0.374991, 0.181008, 1.0]], ['2, k, 5', [-0.460363, 0.0401767, 1.0]], ['2, k, 6', [-0.51205, -0.0833662, 1.0]], ['2, k, 7', [-0.521141, -0.137545, 1.0]], ['2, k, 8', [-0.0507385, 0.181094, 1.0]], ['2, k, 9', [-0.020291, 0.0406594, 1.0]], ['2, k, 10', [-0.0176843, -0.0683007, 1.0]], ['2, k, 11', [-0.0296078, -0.141891, 1.0]], ['2, k, 12', [-0.277761, -0.300003, 1.0]], ['2, k, 13', [-0.312195, -0.611413, 1.0]], ['2, k, 14', [-0.310372, -0.960168, 1.0]], ['2, k, 15', [-0.328154, -1.02125, 1.0]], ['2, k, 16', [-0.125614, -0.298058, 1.0]], ['2, k, 17', [-0.0665242, -0.625674, 1.0]], ['2, k, 18', [-0.0536865, -0.962655, 1.0]], ['2, k, 19', [-0.0504975, -1.02202, 1.0]], ['2, k, 20', [-0.202842, 0.227936, 1.0]], ['2, k, 21', [-0.502198, -0.163305, 1.0]], ['2, k, 22', [-0.444413, -0.155316, 1.0]], ['2, k, 23', [-0.0511915, -0.171493, 1.0]], ['2, k, 24', [0.00548702, -0.146454, 1.0]]]
[['2, k, 0', [-0.202989, -0.30123, 1.0]], ['2, k, 1', [-0.202873, 0.00603489, 1.0]], ['2, k, 2', [-0.201459, 0.300054, 1.0]], ['2, k, 3', [-0.210223, 0.428901, 1.0]], ['2, k, 4', [-0.371483, 0.182171, 1.0]], ['2, k, 5', [-0.462567, 0.0538359, 1.0]], ['2, k, 6', [-0.505144, -0.0406579, 1.0]], ['2, k, 7', [-0.524057, -0.0930249, 1.0]], ['2, k, 8', [-0.05383, 0.187782, 1.0]], ['2, k, 9', [-0.00699483, 0.0579352, 1.0]], ['2, k, 10', [-0.0221608, -0.052366, 1.0]], ['2, k, 11', [-0.037117, -0.0898804, 1.0]], ['2, k, 12', [-0.276785, -0.299298, 1.0]], ['2, k, 13', [-0.312331, -0.611453, 1.0]], ['2, k, 14', [-0.310109, -0.960412, 1.0]], ['2, k, 15', [-0.329592, -1.0205, 1.0]], ['2, k, 16', [-0.124027, -0.295664, 1.0]], ['2, k, 17', [-0.0663053, -0.622087, 1.0]], ['2, k, 18', [-0.0538546, -0.96288, 1.0]], ['2, k, 19', [-0.0490361, -1.0232, 1.0]], ['2, k, 20', [-0.202117, 0.228304, 1.0]], ['2, k, 21', [-0.505816, -0.110439, 1.0]], ['2, k, 22', [-0.449428, -0.104456, 1.0]], ['2, k, 23', [-0.0542723, -0.114875, 1.0]], ['2, k, 24', [-0.00454616, -0.0860861, 1.0]]]
[['2, k, 0', [-0.201337, -0.292635, 1.0]], ['2, k, 1', [-0.202479, 0.00796152, 1.0]], ['2, k, 2', [-0.201541, 0.300791, 1.0]], ['2, k, 3', [-0.2101, 0.429272, 1.0]], ['2, k, 4', [-0.365368, 0.187644, 1.0]], ['2, k, 5', [-0.460624, 0.0841518, 1.0]], ['2, k, 6', [-0.515747, 0.0164477, 1.0]], ['2, k, 7', [-0.529739, -0.0365653, 1.0]], ['2, k, 8', [-0.0543926, 0.188538, 1.0]], ['2, k, 9', [-0.0155386, 0.090727, 1.0]], ['2, k, 10', [-0.0337842, -0.00646936, 1.0]], ['2, k, 11', [-0.042724, -0.0367781, 1.0]], ['2, k, 12', [-0.274696, -0.288616, 1.0]], ['2, k, 13', [-0.313762, -0.612709, 1.0]], ['2, k, 14', [-0.310102, -0.960386, 1.0]], ['2, k, 15', [-0.32999, -1.02085, 1.0]], ['2, k, 16', [-0.122837, -0.289142, 1.0]], ['2, k, 17', [-0.065872, -0.619995, 1.0]], ['2, k, 18', [-0.052256, -0.995435, 1.0]], ['2, k, 19', [-0.0493265, -1.02431, 1.0]], ['2, k, 20', [-0.202076, 0.229123, 1.0]], ['2, k, 21', [-0.510051, -0.0556972, 1.0]], ['2, k, 22', [-0.486082, -0.046985, 1.0]], ['2, k, 23', [-0.063995, -0.0647495, 1.0]], ['2, k, 24', [-0.0101138, -0.0334006, 1.0]]]
[['2, k, 0', [-0.200075, -0.284745, 1.0]], ['2, k, 1', [-0.202244, 0.0114868, 1.0]], ['2, k, 2', [-0.201956, 0.302092, 1.0]], ['2, k, 3', [-0.20986, 0.42957, 1.0]], ['2, k, 4', [-0.363097, 0.192534, 1.0]], ['2, k, 5', [-0.483786, 0.106024, 1.0]], ['2, k, 6', [-0.516879, 0.0372837, 1.0]], ['2, k, 7', [-0.524842, 0.0162086, 1.0]], ['2, k, 8', [-0.0718338, 0.21334, 1.0]], ['2, k, 9', [-0.0184214, 0.125846, 1.0]], ['2, k, 10', [-0.0232304, 0.0544919, 1.0]], ['2, k, 11', [-0.0448213, 0.0235927, 1.0]], ['2, k, 12', [-0.273406, -0.284007, 1.0]], ['2, k, 13', [-0.313705, -0.612725, 1.0]], ['2, k, 14', [-0.308979, -0.961131, 1.0]], ['2, k, 15', [-0.330612, -1.02047, 1.0]], ['2, k, 16', [-0.121791, -0.276806, 1.0]], ['2, k, 17', [-0.0662241, -0.637037, 1.0]], ['2, k, 18', [-0.0560699, -0.973329, 1.0]], ['2, k, 19', [-0.0507852, -1.02282, 1.0]], ['2, k, 20', [-0.202349, 0.230659, 1.0]], ['2, k, 21', [-0.511295, 0.00312026, 1.0]], ['2, k, 22', [-0.477029, 0.00990356, 1.0]], ['2, k, 23', [-0.0654506, -0.00396356, 1.0]], ['2, k, 24', [-0.010877, 0.0219596, 1.0]]]
[['2, k, 0', [-0.199006, -0.279382, 1.0]], ['2, k, 1', [-0.201638, 0.0131743, 1.0]], ['2, k, 2', [-0.201809, 0.301896, 1.0]], ['2, k, 3', [-0.210174, 0.432663, 1.0]], ['2, k, 4', [-0.357773, 0.20047, 1.0]], ['2, k, 5', [-0.469257, 0.132632, 1.0]], ['2, k, 6', [-0.498303, 0.113665, 1.0]], ['2, k, 7', [-0.532928, 0.072822, 1.0]], ['2, k, 8', [-0.0734823, 0.218926, 1.0]], ['2, k, 9', [-0.023271, 0.155628, 1.0]], ['2, k, 10', [-0.0503771, 0.0836861, 1.0]], ['2, k, 11', [-0.0454833, 0.0812349, 1.0]], ['2, k, 12', [-0.271481, -0.279063, 1.0]], ['2, k, 13', [-0.315763, -0.619958, 1.0]], ['2, k, 14', [-0.308833, -0.961363, 1.0]], ['2, k, 15', [-0.330566, -1.02032, 1.0]], ['2, k, 16', [-0.121614, -0.272119, 1.0]], ['2, k, 17', [-0.0656705, -0.636015, 1.0]], ['2, k, 18', [-0.0494122, -0.954651, 1.0]], ['2, k, 19', [-0.0546515, -1.01417, 1.0]], ['2, k, 20', [-0.202096, 0.230772, 1.0]], ['2, k, 21', [-0.506321, 0.0599969, 1.0]], ['2, k, 22', [-0.480288, 0.0620576, 1.0]], ['2, k, 23', [-0.0680575, 0.052859, 1.0]], ['2, k, 24', [-0.0159552, 0.0725528, 1.0]]]
[['2, k, 0', [-0.19912, -0.280324, 1.0]], ['2, k, 1', [-0.201632, 0.0132299, 1.0]], ['2, k, 2', [-0.201898, 0.302125, 1.0]], ['2, k, 3', [-0.20979, 0.431031, 1.0]], ['2, k, 4', [-0.354656, 0.208612, 1.0]], ['2, k, 5', [-0.467903, 0.132269, 1.0]], ['2, k, 6', [-0.493079, 0.177081, 1.0]], ['2, k, 7', [-0.525137, 0.130618, 1.0]], ['2, k, 8', [-0.0771052, 0.221226, 1.0]], ['2, k, 9', [-0.0247979, 0.0786119, 1.0]], ['2, k, 10', [-0.0418201, -0.00953137, 1.0]], ['2, k, 11', [-0.0462707, 0.140356, 1.0]], ['2, k, 12', [-0.270434, -0.27968, 1.0]], ['2, k, 13', [-0.315943, -0.620119, 1.0]], ['2, k, 14', [-0.309059, -0.96013, 1.0]], ['2, k, 15', [-0.330899, -1.02034, 1.0]], ['2, k, 16', [-0.123028, -0.273691, 1.0]], ['2, k, 17', [-0.0658692, -0.635766, 1.0]], ['2, k, 18', [-0.0511624, -0.960476, 1.0]], ['2, k, 19', [-0.049447, -1.01731, 1.0]], ['2, k, 20', [-0.20212, 0.230859, 1.0]], ['2, k, 21', [-0.497367, 0.123134, 1.0]], ['2, k, 22', [-0.45047, 0.124292, 1.0]], ['2, k, 23', [-0.0386856, 0.118478, 1.0]], ['2, k, 24', [-0.0100353, 0.129811, 1.0]]]
