[['2, k, 0', [-0.312334, -0.153383, 1.0]], ['2, k, 1', [-0.326915, -0.0780408, 1.0]], ['2, k, 2', [-0.340142, -0.00387936, 1.0]], ['2, k, 3', [-0.353434, 0.121635, 1.0]], ['2, k, 4', [-0.474495, -0.0522155, 1.0]], ['2, k, 5', [-0.492131, -0.111618, 1.0]], ['2, k, 6', [-0.606329, -0.117387, 1.0]], ['2, k, 7', [-0.599503, -0.131786, 1.0]], ['2, k, 8', [-0.212207, -0.0821186, 1.0]], ['2, k, 9', [-0.0774221, -0.168663, 1.0]], ['2, k, 10', [-0.29508, -0.165869, 1.0]], ['2, k, 11', [-0.380835, -0.197172, 1.0]], ['2, k, 12', [-0.368751, -0.145005, 1.0]], ['2, k, 13', [-0.558688, -0.042976, 1.0]], ['2, k, 14', [-0.518251, -0.188344, 1.0]], ['2, k, 15', [-0.402492, -0.194822, 1.0]], ['2, k, 16', [-0.249444, -0.158575, 1.0]], ['2, k, 17', [0.0015856, -0.186004, 1.0]], ['2, k, 18', [-0.41988, -0.159713, 1.0]], ['2, k, 19', [-0.312915, -0.173037, 1.0]], ['2, k, 20', [-0.337083, -0.0222783, 1.0]], ['2, k, 21', [-0.597517, -0.13135, 1.0]], ['2, k, 22', [-0.594927, -0.13078, 1.0]], ['2, k, 23', [-0.396293, -0.194321, 1.0]], ['2, k, 24', [-0.394078, -0.197049, 1.0]]]
[['2, k, 0', [-0.265899, -0.12393, 1.0]], ['2, k, 1', [-0.263539, -0.0701103, 1.0]], ['2, k, 2', [-0.260411, -0.0170352, 1.0]], ['2, k, 3', [-0.330295, 0.0905878, 1.0]], ['2, k, 4', [-0.394782, -0.0653068, 1.0]], ['2, k, 5', [-0.522383, -0.0238244, 1.0]], ['2, k, 6', [-0.368908, 0.089447, 1.0]], ['2, k, 7', [-0.330953, 0.119833, 1.0]], ['2, k, 8', [-0.132744, -0.0951776, 1.0]], ['2, k, 9', [-0.00634185, -0.176501, 1.0]], ['2, k, 10', [-0.154921, -0.0595613, 1.0]], ['2, k, 11', [-0.154567, -0.0525331, 1.0]], ['2, k, 12', [-0.322832, -0.115935, 1.0]], ['2, k, 13', [-0.245574, 0.0293898, 1.0]], ['2, k, 14', [-0.517858, 0.0162036, 1.0]], ['2, k, 15', [-0.431229, -0.00668869, 1.0]], ['2, k, 16', [-0.203795, -0.129517, 1.0]], ['2, k, 17', [0.0437082, -0.18564, 1.0]], ['2, k, 18', [-0.193197, -0.0873864, 1.0]], ['2, k, 19', [-0.103012, -0.100863, 1.0]], ['2, k, 20', [-0.261347, -0.0302181, 1.0]], ['2, k, 21', [-0.291409, 0.158141, 1.0]], ['2, k, 22', [-0.310919, 0.0897833, 1.0]], ['2, k, 23', [-0.158362, -0.0471161, 1.0]], ['2, k, 24', [-0.157882, -0.0449875, 1.0]]]
[['2, k, 0', [-0.408555, -0.0455413, 1.0]], ['2, k, 1', [-0.405184, 0.00765983, 1.0]], ['2, k, 2', [-0.400656, 0.0599063, 1.0]], ['2, k, 3', [-0.347939, 0.171779, 1.0]], ['2, k, 4', [-0.534791, 0.0115438, 1.0]], ['2, k, 5', [-0.400318, 0.016724, 1.0]], ['2, k, 6', [-0.326103, 0.193372, 1.0]], ['2, k, 7', [-0.315237, 0.215363, 1.0]], ['2, k, 8', [-0.272848, -0.0183219, 1.0]], ['2, k, 9', [-0.144182, -0.101077, 1.0]], ['2, k, 10', [-0.272629, 0.0274253, 1.0]], ['2, k, 11', [-0.315702, 0.0627104, 1.0]], ['2, k, 12', [-0.593883, -0.0281663, 1.0]], ['2, k, 13', [-0.415073, 0.0331797, 1.0]], ['2, k, 14', [-0.177504, 0.126698, 1.0]], ['2, k, 15', [-0.142498, 0.179547, 1.0]], ['2, k, 16', [-0.215428, -0.0620417, 1.0]], ['2, k, 17', [-0.0248608, -0.125057, 1.0]], ['2, k, 18', [-0.288736, 0.0535527, 1.0]], ['2, k, 19', [-0.308747, 0.128652, 1.0]], ['2, k, 20', [-0.40202, 0.0469735, 1.0]], ['2, k, 21', [-0.319793, 0.236997, 1.0]], ['2, k, 22', [-0.304912, 0.201656, 1.0]], ['2, k, 23', [-0.343172, 0.102949, 1.0]], ['2, k, 24', [-0.336048, 0.045562, 1.0]]]
[['2, k, 0', [-0.252587, -0.61691, 1.0]], ['2, k, 1', [-0.32538, -0.319169, 1.0]], ['2, k, 2', [-0.395114, -0.0268122, 1.0]], ['2, k, 3', [-0.433121, 0.0942615, 1.0]], ['2, k, 4', [-0.561119, -0.195075, 1.0]], ['2, k, 5', [-0.82586, -0.236506, 1.0]], ['2, k, 6', [-1.06135, -0.115632, 1.0]], ['2, k, 7', [-1.05494, -0.0773712, 1.0]], ['2, k, 8', [-0.25334, -0.0380569, 1.0]], ['2, k, 9', [-0.0895423, -0.358129, 1.0]], ['2, k, 10', [-0.307286, -0.0597001, 1.0]], ['2, k, 11', [-0.334352, -0.0182207, 1.0]], ['2, k, 12', [-0.319529, -0.644783, 1.0]], ['2, k, 13', [-0.427463, -1.13785, 1.0]], ['2, k, 14', [-0.506548, -1.51175, 1.0]], ['2, k, 15', [-0.473163, -1.58264, 1.0]], ['2, k, 16', [-0.179327, -0.573729, 1.0]], ['2, k, 17', [-0.0681555, -0.930003, 1.0]], ['2, k, 18', [-0.0946601, -1.23892, 1.0]], ['2, k, 19', [-0.193142, -1.34001, 1.0]], ['2, k, 20', [-0.37816, -0.0992373, 1.0]], ['2, k, 21', [-1.17827, -0.10085, 1.0]], ['2, k, 22', [-1.07509, -0.111484, 1.0]], ['2, k, 23', [-0.415695, 0.0797648, 1.0]], ['2, k, 24', [-0.282919, 0.0606434, 1.0]]]
[['2, k, 0', [-0.294226, -0.576914, 1.0]], ['2, k, 1', [-0.337297, -0.30775, 1.0]], ['2, k, 2', [-0.394829, -0.0268939, 1.0]], ['2, k, 3', [-0.435493, 0.0965538, 1.0]], ['2, k, 4', [-0.56036, -0.196328, 1.0]], ['2, k, 5', [-0.789276, -0.235327, 1.0]], ['2, k, 6', [-1.00323, -0.15035, 1.0]], ['2, k, 7', [-1.03275, -0.088554, 1.0]], ['2, k, 8', [-0.260368, -0.0281346, 1.0]], ['2, k, 9', [-0.11668, -0.30557, 1.0]], ['2, k, 10', [-0.309005, -0.0491517, 1.0]], ['2, k, 11', [-0.34988, -0.00141481, 1.0]], ['2, k, 12', [-0.357347, -0.612137, 1.0]], ['2, k, 13', [-0.427339, -1.09619, 1.0]], ['2, k, 14', [-0.509407, -1.51182, 1.0]], ['2, k, 15', [-0.472548, -1.57771, 1.0]], ['2, k, 16', [-0.223923, -0.527683, 1.0]], ['2, k, 17', [-0.0533764, -0.849137, 1.0]], ['2, k, 18', [-0.0860618, -1.1493, 1.0]], ['2, k, 19', [-0.143312, -1.20018, 1.0]], ['2, k, 20', [-0.378555, -0.0986875, 1.0]], ['2, k, 21', [-0.977279, 0.0146063, 1.0]], ['2, k, 22', [-1.07161, -0.105007, 1.0]], ['2, k, 23', [-0.426574, 0.084048, 1.0]], ['2, k, 24', [-0.289238, 0.0748241, 1.0]]]
[['2, k, 0', [-0.300088, -0.577845, 1.0]], ['2, k, 1', [-0.341429, -0.305542, 1.0]], ['2, k, 2', [-0.392654, -0.0270907, 1.0]], ['2, k, 3', [-0.448538, 0.0836859, 1.0]], ['2, k, 4', [-0.560275, -0.19638, 1.0]], ['2, k, 5', [-0.772228, -0.240271, 1.0]], ['2, k, 6', [-0.981057, -0.163367, 1.0]], ['2, k, 7', [-1.03788, -0.13408, 1.0]], ['2, k, 8', [-0.301633, -0.0109294, 1.0]], ['2, k, 9', [-0.159535, -0.27013, 1.0]], ['2, k, 10', [-0.338569, -0.0314551, 1.0]], ['2, k, 11', [-0.401095, 0.0111416, 1.0]], ['2, k, 12', [-0.361524, -0.614053, 1.0]], ['2, k, 13', [-0.421626, -1.12428, 1.0]], ['2, k, 14', [-0.509839, -1.51355, 1.0]], ['2, k, 15', [-0.473645, -1.57697, 1.0]], ['2, k, 16', [-0.233395, -0.527868, 1.0]], ['2, k, 17', [-0.0852433, -0.968612, 1.0]], ['2, k, 18', [-0.0943816, -1.25948, 1.0]], ['2, k, 19', [-0.155647, -1.31676, 1.0]], ['2, k, 20', [-0.378191, -0.0980307, 1.0]], ['2, k, 21', [-1.09597, -0.115024, 1.0]], ['2, k, 22', [-1.02803, -0.180893, 1.0]], ['2, k, 23', [-0.4776, 0.0965653, 1.0]], ['2, k, 24', [-0.340011, 0.0872804, 1.0]]]
[['2, k, 0', [-0.301158, -0.579861, 1.0]], ['2, k, 1', [-0.343572, -0.305108, 1.0]], ['2, k, 2', [-0.392796, -0.0268909, 1.0]], ['2, k, 3', [-0.463596, 0.0755785, 1.0]], ['2, k, 4', [-0.560262, -0.196305, 1.0]], ['2, k, 5', [-0.765131, -0.246238, 1.0]], ['2, k, 6', [-0.99902, -0.163227, 1.0]], ['2, k, 7', [-1.0457, -0.144061, 1.0]], ['2, k, 8', [-0.300935, -0.0123208, 1.0]], ['2, k, 9', [-0.162777, -0.264752, 1.0]], ['2, k, 10', [-0.340105, -0.0346443, 1.0]], ['2, k, 11', [-0.698434, 0.35765, 1.0]], ['2, k, 12', [-0.362124, -0.615929, 1.0]], ['2, k, 13', [-0.418949, -1.12742, 1.0]], ['2, k, 14', [-0.512183, -1.51545, 1.0]], ['2, k, 15', [-0.468231, -1.57646, 1.0]], ['2, k, 16', [-0.23457, -0.530174, 1.0]], ['2, k, 17', [-0.0838902, -0.885901, 1.0]], ['2, k, 18', [-0.0938071, -1.25096, 1.0]], ['2, k, 19', [-0.15339, -1.30574, 1.0]], ['2, k, 20', [-0.379235, -0.0973069, 1.0]], ['2, k, 21', [-1.10086, -0.139635, 1.0]], ['2, k, 22', [-1.02758, -0.194628, 1.0]], ['2, k, 23', [-0.735666, 0.401246, 1.0]], ['2, k, 24', [-0.678255, 0.415326, 1.0]]]
[['2, k, 0', [-0.30321, -0.580008, 1.0]], ['2, k, 1', [-0.34854, -0.304804, 1.0]], ['2, k, 2', [-0.396129, -0.0286812, 1.0]], ['2, k, 3', [-0.466623, 0.0734677, 1.0]], ['2, k, 4', [-0.560628, -0.196562, 1.0]], ['2, k, 5', [-0.759136, -0.250153, 1.0]], ['2, k, 6', [-1.01807, -0.171133, 1.0]], ['2, k, 7', [-1.05209, -0.151765, 1.0]], ['2, k, 8', [-0.300576, -0.0134789, 1.0]], ['2, k, 9', [-0.25661, -0.204953, 1.0]], ['2, k, 10', [-0.422524, 0.0239831, 1.0]], ['2, k, 11', [-0.496094, 0.0784083, 1.0]], ['2, k, 12', [-0.363395, -0.61587, 1.0]], ['2, k, 13', [-0.416811, -1.13019, 1.0]], ['2, k, 14', [-0.512534, -1.51606, 1.0]], ['2, k, 15', [-0.466011, -1.575, 1.0]], ['2, k, 16', [-0.236975, -0.530555, 1.0]], ['2, k, 17', [-0.0863449, -0.969443, 1.0]], ['2, k, 18', [-0.0835198, -1.25885, 1.0]], ['2, k, 19', [-0.139037, -1.31644, 1.0]], ['2, k, 20', [-0.383824, -0.0981776, 1.0]], ['2, k, 21', [-1.10299, -0.150962, 1.0]], ['2, k, 22', [-1.04741, -0.197707, 1.0]], ['2, k, 23', [-0.533989, 0.122959, 1.0]], ['2, k, 24', [-0.4774, 0.138237, 1.0]]]
[['2, k, 0', [-0.307286, -0.581351, 1.0]], ['2, k, 1', [-0.354185, -0.303829, 1.0]], ['2, k, 2', [-0.40215, -0.0267494, 1.0]], ['2, k, 3', [-0.4769, 0.0594492, 1.0]], ['2, k, 4', [-0.561332, -0.197284, 1.0]], ['2, k, 5', [-0.754152, -0.258389, 1.0]], ['2, k, 6', [-1.01687, -0.180841, 1.0]], ['2, k, 7', [-1.05488, -0.167377, 1.0]], ['2, k, 8', [-0.306811, -0.00222149, 1.0]], ['2, k, 9', [-0.171726, -0.2438, 1.0]], ['2, k, 10', [-0.348488, -0.028815, 1.0]], ['2, k, 11', [-0.425202, 0.0124808, 1.0]], ['2, k, 12', [-0.364861, -0.617712, 1.0]], ['2, k, 13', [-0.416026, -1.13182, 1.0]], ['2, k, 14', [-0.511509, -1.51852, 1.0]], ['2, k, 15', [-0.461732, -1.57493, 1.0]], ['2, k, 16', [-0.244703, -0.530746, 1.0]], ['2, k, 17', [-0.0854285, -0.895201, 1.0]], ['2, k, 18', [-0.0836738, -1.18549, 1.0]], ['2, k, 19', [-0.140524, -1.23989, 1.0]], ['2, k, 20', [-0.390347, -0.0959956, 1.0]], ['2, k, 21', [-1.09989, -0.159758, 1.0]], ['2, k, 22', [-1.05609, -0.209422, 1.0]], ['2, k, 23', [-0.463351, 0.0572616, 1.0]], ['2, k, 24', [-0.407082, 0.072833, 1.0]]]
[['2, k, 0', [-0.307671, -0.62402, 1.0]], ['2, k, 1', [-0.356306, -0.314464, 1.0]], ['2, k, 2', [-0.402852, -0.0273166, 1.0]], ['2, k, 3', [-0.479374, 0.0557205, 1.0]], ['2, k, 4', [-0.562412, -0.198084, 1.0]], ['2, k, 5', [-0.753208, -0.264057, 1.0]], ['2, k, 6', [-1.01922, -0.201277, 1.0]], ['2, k, 7', [-1.06237, -0.185547, 1.0]], ['2, k, 8', [-0.308926, -5.33695e-05, 1.0]], ['2, k, 9', [-0.17361, -0.241112, 1.0]], ['2, k, 10', [-0.354822, -0.0306944, 1.0]], ['2, k, 11', [-0.427542, 0.011126, 1.0]], ['2, k, 12', [-0.360754, -0.666047, 1.0]], ['2, k, 13', [-0.415274, -1.13255, 1.0]], ['2, k, 14', [-0.511678, -1.52033, 1.0]], ['2, k, 15', [-0.460425, -1.57864, 1.0]], ['2, k, 16', [-0.2469, -0.567481, 1.0]], ['2, k, 17', [-0.077952, -0.911949, 1.0]], ['2, k, 18', [-0.0868249, -1.1909, 1.0]], ['2, k, 19', [-0.150897, -1.24605, 1.0]], ['2, k, 20', [-0.391302, -0.0974902, 1.0]], ['2, k, 21', [-1.12042, -0.193659, 1.0]], ['2, k, 22', [-1.05049, -0.228408, 1.0]], ['2, k, 23', [-0.465669, 0.0559133, 1.0]], ['2, k, 24', [-0.408481, 0.0720093, 1.0]]]
[['2, k, 0', [-0.303435, -0.623541, 1.0]], ['2, k, 1', [-0.355385, -0.317417, 1.0]], ['2, k, 2', [-0.40386, -0.0283445, 1.0]], ['2, k, 3', [-0.484817, 0.0517235, 1.0]], ['2, k, 4', [-0.571208, -0.204714, 1.0]], ['2, k, 5', [-0.758567, -0.278529, 1.0]], ['2, k, 6', [-1.02337, -0.212729, 1.0]], ['2, k, 7', [-1.06548, -0.198198, 1.0]], ['2, k, 8', [-0.312314, 0.00195986, 1.0]], ['2, k, 9', [-0.176096, -0.238447, 1.0]], ['2, k, 10', [-0.359926, -0.030946, 1.0]], ['2, k, 11', [-0.431216, 0.0088391, 1.0]], ['2, k, 12', [-0.356821, -0.664902, 1.0]], ['2, k, 13', [-0.414793, -1.13261, 1.0]], ['2, k, 14', [-0.509518, -1.52452, 1.0]], ['2, k, 15', [-0.457843, -1.58213, 1.0]], ['2, k, 16', [-0.24231, -0.567506, 1.0]], ['2, k, 17', [-0.0789143, -0.910205, 1.0]], ['2, k, 18', [-0.0875353, -1.19427, 1.0]], ['2, k, 19', [-0.153187, -1.25175, 1.0]], ['2, k, 20', [-0.392003, -0.0989278, 1.0]], ['2, k, 21', [-1.12925, -0.202771, 1.0]], ['2, k, 22', [-1.06525, -0.240846, 1.0]], ['2, k, 23', [-0.469319, 0.0536359, 1.0]], ['2, k, 24', [-0.412984, 0.0692187, 1.0]]]
