[['2, k, 0', [-0.0972923, -0.885206, 1.0]], ['2, k, 1', [-0.0897933, -0.58784, 1.0]], ['2, k, 2', [-0.0819435, -0.293548, 1.0]], ['2, k, 3', [-0.0811642, -0.151796, 1.0]], ['2, k, 4', [-0.259501, -0.361208, 1.0]], ['2, k, 5', [-0.193238, -0.561357, 1.0]], ['2, k, 6', [0.0764687, -0.549019, 1.0]], ['2, k, 7', [0.164959, -0.543111, 1.0]], ['2, k, 8', [0.102711, -0.338548, 1.0]], ['2, k, 9', [0.316498, -0.405306, 1.0]], ['2, k, 10', [0.0487478, -0.469189, 1.0]], ['2, k, 11', [-0.0081928, -0.530648, 1.0]], ['2, k, 12', [-0.178429, -0.878885, 1.0]], ['2, k, 13', [-0.244956, -1.23021, 1.0]], ['2, k, 14', [-0.184937, -1.67713, 1.0]], ['2, k, 15', [-0.0713908, -1.67866, 1.0]], ['2, k, 16', [-0.0136349, -0.868737, 1.0]], ['2, k, 17', [0.0613166, -1.22296, 1.0]], ['2, k, 18', [-0.0212338, -1.67136, 1.0]], ['2, k, 19', [-0.13889, -1.68207, 1.0]], ['2, k, 20', [-0.083972, -0.36674, 1.0]], ['2, k, 21', [0.240784, -0.541913, 1.0]], ['2, k, 22', [0.192257, -0.531706, 1.0]], ['2, k, 23', [0.000604995, -0.538597, 1.0]], ['2, k, 24', [-0.00593156, -0.525473, 1.0]]]
[['2, k, 0', [-0.0967605, -0.866232, 1.0]], ['2, k, 1', [-0.0898723, -0.583136, 1.0]], ['2, k, 2', [-0.0819413, -0.29346, 1.0]], ['2, k, 3', [-0.0810965, -0.151689, 1.0]], ['2, k, 4', [-0.259419, -0.360979, 1.0]], ['2, k, 5', [-0.196601, -0.550872, 1.0]], ['2, k, 6', [0.0276583, -0.54598, 1.0]], ['2, k, 7', [0.101769, -0.541591, 1.0]], ['2, k, 8', [0.102674, -0.338428, 1.0]], ['2, k, 9', [0.280616, -0.393421, 1.0]], ['2, k, 10', [0.349079, -0.472353, 1.0]], ['2, k, 11', [0.331348, -0.502004, 1.0]], ['2, k, 12', [-0.177939, -0.859876, 1.0]], ['2, k, 13', [-0.238539, -1.21914, 1.0]], ['2, k, 14', [-0.171338, -1.68885, 1.0]], ['2, k, 15', [-0.0767305, -1.72215, 1.0]], ['2, k, 16', [-0.0130713, -0.850299, 1.0]], ['2, k, 17', [0.0530889, -1.20671, 1.0]], ['2, k, 18', [-0.0299252, -1.67179, 1.0]], ['2, k, 19', [-0.1242, -1.7022, 1.0]], ['2, k, 20', [-0.084031, -0.36639, 1.0]], ['2, k, 21', [0.174345, -0.540412, 1.0]], ['2, k, 22', [0.129813, -0.539288, 1.0]], ['2, k, 23', [0.34316, -0.537643, 1.0]], ['2, k, 24', [0.280367, -0.502479, 1.0]]]
[['2, k, 0', [-0.095275, -0.85754, 1.0]], ['2, k, 1', [-0.088962, -0.575925, 1.0]], ['2, k, 2', [-0.0819281, -0.293204, 1.0]], ['2, k, 3', [-0.0810911, -0.151676, 1.0]], ['2, k, 4', [-0.259477, -0.360621, 1.0]], ['2, k, 5', [-0.196731, -0.550934, 1.0]], ['2, k, 6', [-0.335101, -0.533302, 1.0]], ['2, k, 7', [-0.403476, -0.519714, 1.0]], ['2, k, 8', [0.102223, -0.338646, 1.0]], ['2, k, 9', [0.267446, -0.392065, 1.0]], ['2, k, 10', [0.34029, -0.464948, 1.0]], ['2, k, 11', [0.335767, -0.48872, 1.0]], ['2, k, 12', [-0.176357, -0.850159, 1.0]], ['2, k, 13', [-0.199405, -1.17893, 1.0]], ['2, k, 14', [-0.189683, -1.59925, 1.0]], ['2, k, 15', [-0.181048, -1.65747, 1.0]], ['2, k, 16', [-0.0117344, -0.842881, 1.0]], ['2, k, 17', [0.0194694, -1.17042, 1.0]], ['2, k, 18', [-0.0166137, -1.58364, 1.0]], ['2, k, 19', [-0.0290962, -1.64589, 1.0]], ['2, k, 20', [-0.0839135, -0.36491, 1.0]], ['2, k, 21', [-0.433867, -0.526939, 1.0]], ['2, k, 22', [-0.449048, -0.533334, 1.0]], ['2, k, 23', [0.346873, -0.535354, 1.0]], ['2, k, 24', [0.319612, -0.497064, 1.0]]]
[['2, k, 0', [-0.0952148, -0.851112, 1.0]], ['2, k, 1', [-0.0886802, -0.572049, 1.0]], ['2, k, 2', [-0.0818227, -0.292923, 1.0]], ['2, k, 3', [-0.0810767, -0.151645, 1.0]], ['2, k, 4', [-0.25944, -0.360495, 1.0]], ['2, k, 5', [-0.200755, -0.547325, 1.0]], ['2, k, 6', [-0.30633, -0.527804, 1.0]], ['2, k, 7', [-0.397188, -0.522642, 1.0]], ['2, k, 8', [0.101844, -0.338676, 1.0]], ['2, k, 9', [0.260619, -0.3902, 1.0]], ['2, k, 10', [0.338869, -0.464636, 1.0]], ['2, k, 11', [0.334295, -0.483648, 1.0]], ['2, k, 12', [-0.176321, -0.844257, 1.0]], ['2, k, 13', [-0.198004, -1.1601, 1.0]], ['2, k, 14', [-0.191619, -1.55539, 1.0]], ['2, k, 15', [-0.18603, -1.60812, 1.0]], ['2, k, 16', [-0.0116702, -0.836306, 1.0]], ['2, k, 17', [0.017427, -1.14799, 1.0]], ['2, k, 18', [-0.011802, -1.53712, 1.0]], ['2, k, 19', [-0.0182324, -1.59756, 1.0]], ['2, k, 20', [-0.083665, -0.363625, 1.0]], ['2, k, 21', [-0.437601, -0.529217, 1.0]], ['2, k, 22', [-0.427033, -0.494091, 1.0]], ['2, k, 23', [0.342148, -0.51899, 1.0]], ['2, k, 24', [0.321212, -0.494198, 1.0]]]
[['2, k, 0', [-0.0949201, -0.85018, 1.0]], ['2, k, 1', [-0.0885899, -0.571204, 1.0]], ['2, k, 2', [-0.0818645, -0.29284, 1.0]], ['2, k, 3', [-0.0810947, -0.151687, 1.0]], ['2, k, 4', [-0.259429, -0.360375, 1.0]], ['2, k, 5', [-0.206264, -0.546341, 1.0]], ['2, k, 6', [-0.303548, -0.528178, 1.0]], ['2, k, 7', [-0.394421, -0.521749, 1.0]], ['2, k, 8', [0.101411, -0.338724, 1.0]], ['2, k, 9', [0.249256, -0.401145, 1.0]], ['2, k, 10', [0.327511, -0.480615, 1.0]], ['2, k, 11', [0.320282, -0.511986, 1.0]], ['2, k, 12', [-0.176029, -0.843438, 1.0]], ['2, k, 13', [-0.198034, -1.16031, 1.0]], ['2, k, 14', [-0.19144, -1.53191, 1.0]], ['2, k, 15', [-0.186044, -1.58237, 1.0]], ['2, k, 16', [-0.0113916, -0.835392, 1.0]], ['2, k, 17', [0.0172716, -1.14717, 1.0]], ['2, k, 18', [-0.0108739, -1.51581, 1.0]], ['2, k, 19', [-0.016475, -1.57224, 1.0]], ['2, k, 20', [-0.0837276, -0.363195, 1.0]], ['2, k, 21', [-0.438317, -0.528151, 1.0]], ['2, k, 22', [-0.427857, -0.493164, 1.0]], ['2, k, 23', [0.332023, -0.536875, 1.0]], ['2, k, 24', [0.271983, -0.50699, 1.0]]]
[['2, k, 0', [-0.0946862, -0.849279, 1.0]], ['2, k, 1', [-0.0886377, -0.570583, 1.0]], ['2, k, 2', [-0.0820244, -0.292754, 1.0]], ['2, k, 3', [-0.0810753, -0.151676, 1.0]], ['2, k, 4', [-0.259431, -0.360297, 1.0]], ['2, k, 5', [-0.215421, -0.546023, 1.0]], ['2, k, 6', [-0.30015, -0.528962, 1.0]], ['2, k, 7', [-0.394196, -0.521946, 1.0]], ['2, k, 8', [0.101351, -0.338709, 1.0]], ['2, k, 9', [0.24645, -0.397337, 1.0]], ['2, k, 10', [0.327219, -0.480761, 1.0]], ['2, k, 11', [0.32015, -0.508358, 1.0]], ['2, k, 12', [-0.175792, -0.842649, 1.0]], ['2, k, 13', [-0.198145, -1.16142, 1.0]], ['2, k, 14', [-0.193162, -1.51606, 1.0]], ['2, k, 15', [-0.188224, -1.5653, 1.0]], ['2, k, 16', [-0.0111626, -0.834427, 1.0]], ['2, k, 17', [0.0173106, -1.14714, 1.0]], ['2, k, 18', [-0.00833059, -1.49989, 1.0]], ['2, k, 19', [-0.013333, -1.55559, 1.0]], ['2, k, 20', [-0.0839027, -0.362892, 1.0]], ['2, k, 21', [-0.430818, -0.525617, 1.0]], ['2, k, 22', [-0.429886, -0.492796, 1.0]], ['2, k, 23', [0.330233, -0.533048, 1.0]], ['2, k, 24', [0.271676, -0.506234, 1.0]]]
[['2, k, 0', [-0.0946102, -0.847567, 1.0]], ['2, k, 1', [-0.0887393, -0.569274, 1.0]], ['2, k, 2', [-0.0821836, -0.292389, 1.0]], ['2, k, 3', [-0.0810653, -0.151701, 1.0]], ['2, k, 4', [-0.259409, -0.360213, 1.0]], ['2, k, 5', [-0.214592, -0.546626, 1.0]], ['2, k, 6', [-0.283651, -0.531783, 1.0]], ['2, k, 7', [-0.375825, -0.524303, 1.0]], ['2, k, 8', [0.100972, -0.339021, 1.0]], ['2, k, 9', [0.241968, -0.39957, 1.0]], ['2, k, 10', [0.326185, -0.480481, 1.0]], ['2, k, 11', [0.321574, -0.50749, 1.0]], ['2, k, 12', [-0.175705, -0.840821, 1.0]], ['2, k, 13', [-0.198102, -1.16132, 1.0]], ['2, k, 14', [-0.194016, -1.50356, 1.0]], ['2, k, 15', [-0.189454, -1.55211, 1.0]], ['2, k, 16', [-0.0111078, -0.832925, 1.0]], ['2, k, 17', [0.0172789, -1.14723, 1.0]], ['2, k, 18', [-0.00691244, -1.48814, 1.0]], ['2, k, 19', [-0.0116133, -1.54304, 1.0]], ['2, k, 20', [-0.0840785, -0.362112, 1.0]], ['2, k, 21', [-0.422653, -0.521449, 1.0]], ['2, k, 22', [-0.433158, -0.493789, 1.0]], ['2, k, 23', [0.331938, -0.533912, 1.0]], ['2, k, 24', [0.27186, -0.506792, 1.0]]]
[['2, k, 0', [-0.0944723, -0.847174, 1.0]], ['2, k, 1', [-0.0886787, -0.568911, 1.0]], ['2, k, 2', [-0.0822138, -0.292325, 1.0]], ['2, k, 3', [-0.0809798, -0.151854, 1.0]], ['2, k, 4', [-0.259404, -0.360165, 1.0]], ['2, k, 5', [-0.215158, -0.546702, 1.0]], ['2, k, 6', [-0.281319, -0.531908, 1.0]], ['2, k, 7', [-0.376559, -0.523164, 1.0]], ['2, k, 8', [0.100627, -0.339222, 1.0]], ['2, k, 9', [0.241218, -0.395262, 1.0]], ['2, k, 10', [0.325084, -0.479305, 1.0]], ['2, k, 11', [0.321613, -0.50672, 1.0]], ['2, k, 12', [-0.175552, -0.840448, 1.0]], ['2, k, 13', [-0.198351, -1.1624, 1.0]], ['2, k, 14', [-0.193843, -1.49508, 1.0]], ['2, k, 15', [-0.189341, -1.54334, 1.0]], ['2, k, 16', [-0.0109884, -0.832561, 1.0]], ['2, k, 17', [0.0173218, -1.14736, 1.0]], ['2, k, 18', [-0.00596094, -1.48017, 1.0]], ['2, k, 19', [-0.0104857, -1.53443, 1.0]], ['2, k, 20', [-0.0840973, -0.361871, 1.0]], ['2, k, 21', [-0.42307, -0.519229, 1.0]], ['2, k, 22', [-0.431254, -0.493357, 1.0]], ['2, k, 23', [0.335094, -0.536005, 1.0]], ['2, k, 24', [0.271574, -0.506009, 1.0]]]
[['2, k, 0', [-0.0943001, -0.846742, 1.0]], ['2, k, 1', [-0.0885731, -0.568287, 1.0]], ['2, k, 2', [-0.0822518, -0.291919, 1.0]], ['2, k, 3', [-0.0810248, -0.151859, 1.0]], ['2, k, 4', [-0.259394, -0.360105, 1.0]], ['2, k, 5', [-0.216772, -0.544761, 1.0]], ['2, k, 6', [-0.279889, -0.53155, 1.0]], ['2, k, 7', [-0.377077, -0.522238, 1.0]], ['2, k, 8', [0.100262, -0.339459, 1.0]], ['2, k, 9', [0.240617, -0.391664, 1.0]], ['2, k, 10', [0.322512, -0.478414, 1.0]], ['2, k, 11', [0.323904, -0.504477, 1.0]], ['2, k, 12', [-0.175371, -0.840028, 1.0]], ['2, k, 13', [-0.198381, -1.16238, 1.0]], ['2, k, 14', [-0.192453, -1.48851, 1.0]], ['2, k, 15', [-0.187805, -1.53611, 1.0]], ['2, k, 16', [-0.01084, -0.832184, 1.0]], ['2, k, 17', [0.0173605, -1.1472, 1.0]], ['2, k, 18', [-0.00541488, -1.47383, 1.0]], ['2, k, 19', [-0.0098541, -1.52737, 1.0]], ['2, k, 20', [-0.0840852, -0.361216, 1.0]], ['2, k, 21', [-0.422165, -0.520156, 1.0]], ['2, k, 22', [-0.396865, -0.531632, 1.0]], ['2, k, 23', [0.334227, -0.533274, 1.0]], ['2, k, 24', [0.270834, -0.505124, 1.0]]]
[['2, k, 0', [-0.0942133, -0.846654, 1.0]], ['2, k, 1', [-0.0885229, -0.568076, 1.0]], ['2, k, 2', [-0.0823058, -0.291714, 1.0]], ['2, k, 3', [-0.0810497, -0.151868, 1.0]], ['2, k, 4', [-0.259389, -0.360068, 1.0]], ['2, k, 5', [-0.218686, -0.543577, 1.0]], ['2, k, 6', [-0.278414, -0.531593, 1.0]], ['2, k, 7', [-0.377958, -0.52497, 1.0]], ['2, k, 8', [0.0999522, -0.339534, 1.0]], ['2, k, 9', [0.238212, -0.393506, 1.0]], ['2, k, 10', [0.320975, -0.477946, 1.0]], ['2, k, 11', [0.324852, -0.50226, 1.0]], ['2, k, 12', [-0.175244, -0.839387, 1.0]], ['2, k, 13', [-0.198434, -1.16221, 1.0]], ['2, k, 14', [-0.191922, -1.48299, 1.0]], ['2, k, 15', [-0.187255, -1.53013, 1.0]], ['2, k, 16', [-0.0106199, -0.832486, 1.0]], ['2, k, 17', [0.0172905, -1.1474, 1.0]], ['2, k, 18', [-0.00522846, -1.46944, 1.0]], ['2, k, 19', [-0.00961875, -1.52237, 1.0]], ['2, k, 20', [-0.0841087, -0.360907, 1.0]], ['2, k, 21', [-0.421155, -0.524509, 1.0]], ['2, k, 22', [-0.435774, -0.495019, 1.0]], ['2, k, 23', [0.335882, -0.533355, 1.0]], ['2, k, 24', [0.27162, -0.506632, 1.0]]]
[['2, k, 0', [-0.0938593, -0.846585, 1.0]], ['2, k, 1', [-0.0884255, -0.567941, 1.0]], ['2, k, 2', [-0.0823958, -0.291572, 1.0]], ['2, k, 3', [-0.0811006, -0.151884, 1.0]], ['2, k, 4', [-0.259415, -0.359835, 1.0]], ['2, k, 5', [-0.210678, -0.543376, 1.0]], ['2, k, 6', [-0.276194, -0.531571, 1.0]], ['2, k, 7', [-0.379987, -0.523535, 1.0]], ['2, k, 8', [0.0994669, -0.339786, 1.0]], ['2, k, 9', [0.23776, -0.391319, 1.0]], ['2, k, 10', [0.319923, -0.47707, 1.0]], ['2, k, 11', [0.323425, -0.500169, 1.0]], ['2, k, 12', [-0.174791, -0.838921, 1.0]], ['2, k, 13', [-0.198599, -1.16247, 1.0]], ['2, k, 14', [-0.192041, -1.47861, 1.0]], ['2, k, 15', [-0.187445, -1.52532, 1.0]], ['2, k, 16', [-0.0101785, -0.832834, 1.0]], ['2, k, 17', [0.0172689, -1.14751, 1.0]], ['2, k, 18', [-0.0048684, -1.46597, 1.0]], ['2, k, 19', [-0.00918658, -1.51847, 1.0]], ['2, k, 20', [-0.0841517, -0.360709, 1.0]], ['2, k, 21', [-0.42085, -0.522781, 1.0]], ['2, k, 22', [-0.429598, -0.496075, 1.0]], ['2, k, 23', [0.337208, -0.534528, 1.0]], ['2, k, 24', [0.270597, -0.505788, 1.0]]]
