[['2, k, 0', [0.1366353, -0.3672993, 1.0]], ['2, k, 1', [0.1295306, -0.02907589, 1.0]], ['2, k, 2', [0.1208862, 0.2980378, 1.0]], ['2, k, 3', [0.1282912, 0.4359621, 1.0]], ['2, k, 4', [-0.04999016, 0.176749, 1.0]], ['2, k, 5', [-0.08311996, -0.07875283, 1.0]], ['2, k, 6', [-0.08745492, -0.2911845, 1.0]], ['2, k, 7', [-0.09272137, -0.3430076, 1.0]], ['2, k, 8', [0.2877257, 0.2037694, 1.0]], ['2, k, 9', [0.3285705, -0.07330631, 1.0]], ['2, k, 10', [0.3830988, -0.3567173, 1.0]], ['2, k, 11', [0.3955256, -0.4367258, 1.0]], ['2, k, 12', [0.05286849, -0.3613252, 1.0]], ['2, k, 13', [0.05029938, -0.6201152, 1.0]], ['2, k, 14', [0.0761027, -0.9154995, 1.0]], ['2, k, 15', [0.1250453, -0.9756625, 1.0]], ['2, k, 16', [0.2151108, -0.3591352, 1.0]], ['2, k, 17', [0.2238507, -0.6315694, 1.0]], ['2, k, 18', [0.1755199, -0.865608, 1.0]], ['2, k, 19', [0.14538, -0.9382012, 1.0]], ['2, k, 20', [0.1232094, 0.2178848, 1.0]], ['2, k, 21', [-0.08080827, -0.4128267, 1.0]], ['2, k, 22', [-0.05844958, -0.3362089, 1.0]], ['2, k, 23', [0.4009666, -0.5129067, 1.0]], ['2, k, 24', [0.4147268, -0.4510742, 1.0]]]
[['2, k, 0', [0.1373276, -0.3678027, 1.0]], ['2, k, 1', [0.1293586, -0.02948416, 1.0]], ['2, k, 2', [0.1197867, 0.2976716, 1.0]], ['2, k, 3', [0.127662, 0.4343539, 1.0]], ['2, k, 4', [-0.05047058, 0.1750934, 1.0]], ['2, k, 5', [-0.08285978, -0.08312673, 1.0]], ['2, k, 6', [-0.08895268, -0.2954614, 1.0]], ['2, k, 7', [-0.09339245, -0.3444843, 1.0]], ['2, k, 8', [0.2875831, 0.2045734, 1.0]], ['2, k, 9', [0.3278263, -0.07280292, 1.0]], ['2, k, 10', [0.3824415, -0.3561142, 1.0]], ['2, k, 11', [0.3956092, -0.4357223, 1.0]], ['2, k, 12', [0.05353933, -0.3620358, 1.0]], ['2, k, 13', [0.05033233, -0.6205329, 1.0]], ['2, k, 14', [0.07693873, -0.9147012, 1.0]], ['2, k, 15', [0.1163557, -0.9771631, 1.0]], ['2, k, 16', [0.2157885, -0.3593808, 1.0]], ['2, k, 17', [0.2243095, -0.6324005, 1.0]], ['2, k, 18', [0.1753741, -0.865917, 1.0]], ['2, k, 19', [0.1756533, -0.8978254, 1.0]], ['2, k, 20', [0.1223532, 0.2175091, 1.0]], ['2, k, 21', [-0.07909314, -0.4192668, 1.0]], ['2, k, 22', [-0.05719008, -0.3233569, 1.0]], ['2, k, 23', [0.3995799, -0.5094764, 1.0]], ['2, k, 24', [0.4117891, -0.4512448, 1.0]]]
[['2, k, 0', [0.138737, -0.368396, 1.0]], ['2, k, 1', [0.1300511, -0.02987609, 1.0]], ['2, k, 2', [0.1198748, 0.2974204, 1.0]], ['2, k, 3', [0.1273238, 0.4339456, 1.0]], ['2, k, 4', [-0.05030233, 0.1741999, 1.0]], ['2, k, 5', [-0.08261548, -0.083979, 1.0]], ['2, k, 6', [-0.08919976, -0.2964972, 1.0]], ['2, k, 7', [-0.09370673, -0.346489, 1.0]], ['2, k, 8', [0.2872494, 0.2055767, 1.0]], ['2, k, 9', [0.3275831, -0.07233147, 1.0]], ['2, k, 10', [0.3823036, -0.3558164, 1.0]], ['2, k, 11', [0.3958447, -0.4369008, 1.0]], ['2, k, 12', [0.05476183, -0.362814, 1.0]], ['2, k, 13', [0.05114112, -0.6200154, 1.0]], ['2, k, 14', [0.07665396, -0.9139767, 1.0]], ['2, k, 15', [0.1156173, -0.9764245, 1.0]], ['2, k, 16', [0.2173334, -0.3597189, 1.0]], ['2, k, 17', [0.2262395, -0.631838, 1.0]], ['2, k, 18', [0.1761811, -0.8629078, 1.0]], ['2, k, 19', [0.1760745, -0.8949152, 1.0]], ['2, k, 20', [0.1225882, 0.2172242, 1.0]], ['2, k, 21', [-0.08066963, -0.4200611, 1.0]], ['2, k, 22', [-0.05735231, -0.3382192, 1.0]], ['2, k, 23', [0.4021033, -0.5133079, 1.0]], ['2, k, 24', [0.4167706, -0.450942, 1.0]]]
[['2, k, 0', [0.1414264, -0.3685792, 1.0]], ['2, k, 1', [0.1316315, -0.03007414, 1.0]], ['2, k, 2', [0.1206776, 0.2971331, 1.0]], ['2, k, 3', [0.1268983, 0.4339913, 1.0]], ['2, k, 4', [-0.04973203, 0.1731663, 1.0]], ['2, k, 5', [-0.08236632, -0.08530857, 1.0]], ['2, k, 6', [-0.08919116, -0.297881, 1.0]], ['2, k, 7', [-0.09198575, -0.346693, 1.0]], ['2, k, 8', [0.2878906, 0.2063072, 1.0]], ['2, k, 9', [0.3279032, -0.07126211, 1.0]], ['2, k, 10', [0.3822548, -0.354948, 1.0]], ['2, k, 11', [0.3974616, -0.4377528, 1.0]], ['2, k, 12', [0.05727622, -0.3633449, 1.0]], ['2, k, 13', [0.05227312, -0.6189997, 1.0]], ['2, k, 14', [0.07690624, -0.913359, 1.0]], ['2, k, 15', [0.1171011, -0.9750503, 1.0]], ['2, k, 16', [0.2200917, -0.3595274, 1.0]], ['2, k, 17', [0.2278378, -0.6310603, 1.0]], ['2, k, 18', [0.1771829, -0.8630967, 1.0]], ['2, k, 19', [0.1766265, -0.8951132, 1.0]], ['2, k, 20', [0.1235677, 0.216962, 1.0]], ['2, k, 21', [-0.08040593, -0.4204372, 1.0]], ['2, k, 22', [-0.05508085, -0.3360316, 1.0]], ['2, k, 23', [0.4026178, -0.511732, 1.0]], ['2, k, 24', [0.4189567, -0.4510825, 1.0]]]
[['2, k, 0', [0.1446361, -0.3686136, 1.0]], ['2, k, 1', [0.1336711, -0.03017167, 1.0]], ['2, k, 2', [0.1218629, 0.2969369, 1.0]], ['2, k, 3', [0.1271849, 0.434002, 1.0]], ['2, k, 4', [-0.04880824, 0.1728465, 1.0]], ['2, k, 5', [-0.08176564, -0.08576345, 1.0]], ['2, k, 6', [-0.08884375, -0.2984269, 1.0]], ['2, k, 7', [-0.09015941, -0.3455762, 1.0]], ['2, k, 8', [0.2890352, 0.2073264, 1.0]], ['2, k, 9', [0.3286588, -0.07078255, 1.0]], ['2, k, 10', [0.3825933, -0.3546825, 1.0]], ['2, k, 11', [0.3962127, -0.4350682, 1.0]], ['2, k, 12', [0.06031975, -0.3636998, 1.0]], ['2, k, 13', [0.05363404, -0.6207266, 1.0]], ['2, k, 14', [0.0752681, -0.890575, 1.0]], ['2, k, 15', [0.09764218, -0.9634512, 1.0]], ['2, k, 16', [0.2233402, -0.3592129, 1.0]], ['2, k, 17', [0.2312146, -0.6312037, 1.0]], ['2, k, 18', [0.1779595, -0.8634599, 1.0]], ['2, k, 19', [0.1772437, -0.8954468, 1.0]], ['2, k, 20', [0.1249439, 0.2167902, 1.0]], ['2, k, 21', [-0.07726026, -0.4207018, 1.0]], ['2, k, 22', [-0.0550032, -0.3332692, 1.0]], ['2, k, 23', [0.4044337, -0.5089738, 1.0]], ['2, k, 24', [0.4225752, -0.4449266, 1.0]]]
[['2, k, 0', [0.1473848, -0.3692275, 1.0]], ['2, k, 1', [0.1358253, -0.03036442, 1.0]], ['2, k, 2', [0.123516, 0.2970607, 1.0]], ['2, k, 3', [0.1282488, 0.4340916, 1.0]], ['2, k, 4', [-0.04672706, 0.1721346, 1.0]], ['2, k, 5', [-0.08040608, -0.08585618, 1.0]], ['2, k, 6', [-0.08818682, -0.2986563, 1.0]], ['2, k, 7', [-0.08695202, -0.3452828, 1.0]], ['2, k, 8', [0.2896138, 0.2066609, 1.0]], ['2, k, 9', [0.3300236, -0.06886104, 1.0]], ['2, k, 10', [0.3831443, -0.3526312, 1.0]], ['2, k, 11', [0.398897, -0.431644, 1.0]], ['2, k, 12', [0.06312552, -0.36445, 1.0]], ['2, k, 13', [0.05535974, -0.6217617, 1.0]], ['2, k, 14', [0.07642995, -0.869861, 1.0]], ['2, k, 15', [0.09410821, -0.9442652, 1.0]], ['2, k, 16', [0.2259167, -0.35967, 1.0]], ['2, k, 17', [0.2348663, -0.631598, 1.0]], ['2, k, 18', [0.1826667, -0.8662727, 1.0]], ['2, k, 19', [0.1832731, -0.8982133, 1.0]], ['2, k, 20', [0.1267171, 0.2168422, 1.0]], ['2, k, 21', [-0.07595299, -0.4215378, 1.0]], ['2, k, 22', [-0.05016672, -0.3374082, 1.0]], ['2, k, 23', [0.4038868, -0.5090035, 1.0]], ['2, k, 24', [0.4133604, -0.4548893, 1.0]]]
[['2, k, 0', [0.1504869, -0.3692749, 1.0]], ['2, k, 1', [0.1390887, -0.03021945, 1.0]], ['2, k, 2', [0.1268552, 0.297371, 1.0]], ['2, k, 3', [0.1307493, 0.4342918, 1.0]], ['2, k, 4', [-0.04322236, 0.172313, 1.0]], ['2, k, 5', [-0.07772179, -0.08711422, 1.0]], ['2, k, 6', [-0.08668747, -0.3001138, 1.0]], ['2, k, 7', [-0.08419277, -0.3449975, 1.0]], ['2, k, 8', [0.2939303, 0.207865, 1.0]], ['2, k, 9', [0.3322955, -0.06771505, 1.0]], ['2, k, 10', [0.3839312, -0.3516348, 1.0]], ['2, k, 11', [0.3977667, -0.4308625, 1.0]], ['2, k, 12', [0.06587511, -0.3646573, 1.0]], ['2, k, 13', [0.05742523, -0.6227474, 1.0]], ['2, k, 14', [0.06585682, -0.8570694, 1.0]], ['2, k, 15', [0.06784999, -0.8889998, 1.0]], ['2, k, 16', [0.2292507, -0.3595235, 1.0]], ['2, k, 17', [0.2359216, -0.6327412, 1.0]], ['2, k, 18', [0.1888252, -0.8672521, 1.0]], ['2, k, 19', [0.1795423, -0.943719, 1.0]], ['2, k, 20', [0.1300479, 0.2171139, 1.0]], ['2, k, 21', [-0.07138824, -0.4180512, 1.0]], ['2, k, 22', [-0.0469136, -0.3374096, 1.0]], ['2, k, 23', [0.4067191, -0.5071868, 1.0]], ['2, k, 24', [0.4161563, -0.4425971, 1.0]]]
[['2, k, 0', [0.155745, -0.3691797, 1.0]], ['2, k, 1', [0.1429534, -0.02971422, 1.0]], ['2, k, 2', [0.1295699, 0.2981467, 1.0]], ['2, k, 3', [0.1342132, 0.4341968, 1.0]], ['2, k, 4', [-0.04014498, 0.1722321, 1.0]], ['2, k, 5', [-0.07479462, -0.08700244, 1.0]], ['2, k, 6', [-0.08416626, -0.3000025, 1.0]], ['2, k, 7', [-0.08031925, -0.3438294, 1.0]], ['2, k, 8', [0.2965269, 0.2087025, 1.0]], ['2, k, 9', [0.3339527, -0.06794468, 1.0]], ['2, k, 10', [0.3844818, -0.3518645, 1.0]], ['2, k, 11', [0.3998583, -0.4285811, 1.0]], ['2, k, 12', [0.0709886, -0.3648527, 1.0]], ['2, k, 13', [0.06007929, -0.6237348, 1.0]], ['2, k, 14', [0.06938472, -0.8668519, 1.0]], ['2, k, 15', [0.07100072, -0.8986317, 1.0]], ['2, k, 16', [0.234434, -0.3591368, 1.0]], ['2, k, 17', [0.245207, -0.6310617, 1.0]], ['2, k, 18', [0.2030915, -0.8783086, 1.0]], ['2, k, 19', [0.1883606, -0.9541094, 1.0]], ['2, k, 20', [0.1330299, 0.2178332, 1.0]], ['2, k, 21', [-0.06641236, -0.4162624, 1.0]], ['2, k, 22', [-0.04394459, -0.3231023, 1.0]], ['2, k, 23', [0.4079368, -0.5083473, 1.0]], ['2, k, 24', [0.4198504, -0.4325073, 1.0]]]
[['2, k, 0', [0.1596126, -0.3683906, 1.0]], ['2, k, 1', [0.147764, -0.0289739, 1.0]], ['2, k, 2', [0.1352581, 0.2988046, 1.0]], ['2, k, 3', [0.1382429, 0.4351001, 1.0]], ['2, k, 4', [-0.03573968, 0.1736513, 1.0]], ['2, k, 5', [-0.07145688, -0.08510224, 1.0]], ['2, k, 6', [-0.0816801, -0.2982068, 1.0]], ['2, k, 7', [-0.07574752, -0.3419553, 1.0]], ['2, k, 8', [0.3003243, 0.2088584, 1.0]], ['2, k, 9', [0.3357569, -0.06725345, 1.0]], ['2, k, 10', [0.3724703, -0.292779, 1.0]], ['2, k, 11', [0.37504, -0.3351873, 1.0]], ['2, k, 12', [0.07486121, -0.3638657, 1.0]], ['2, k, 13', [0.06267881, -0.6233113, 1.0]], ['2, k, 14', [0.0831716, -0.8503564, 1.0]], ['2, k, 15', [0.08468601, -0.8822664, 1.0]], ['2, k, 16', [0.2381378, -0.3585603, 1.0]], ['2, k, 17', [0.254519, -0.6287975, 1.0]], ['2, k, 18', [0.2124506, -0.8843676, 1.0]], ['2, k, 19', [0.2117864, -0.9160911, 1.0]], ['2, k, 20', [0.1385117, 0.2185142, 1.0]], ['2, k, 21', [-0.06418857, -0.4124945, 1.0]], ['2, k, 22', [-0.03861455, -0.3367967, 1.0]], ['2, k, 23', [0.4226197, -0.4201838, 1.0]], ['2, k, 24', [0.3873026, -0.3408391, 1.0]]]
[['2, k, 0', [0.1638904, -0.3676584, 1.0]], ['2, k, 1', [0.1529569, -0.02821765, 1.0]], ['2, k, 2', [0.1414424, 0.2995855, 1.0]], ['2, k, 3', [0.145812, 0.4355225, 1.0]], ['2, k, 4', [-0.03190839, 0.1742458, 1.0]], ['2, k, 5', [-0.06814273, -0.08366038, 1.0]], ['2, k, 6', [-0.07680667, -0.2967854, 1.0]], ['2, k, 7', [-0.07046279, -0.3402835, 1.0]], ['2, k, 8', [0.3042226, 0.2090381, 1.0]], ['2, k, 9', [0.3383952, -0.06680872, 1.0]], ['2, k, 10', [0.3760791, -0.3031405, 1.0]], ['2, k, 11', [0.3810869, -0.3483101, 1.0]], ['2, k, 12', [0.07909299, -0.3631354, 1.0]], ['2, k, 13', [0.06488466, -0.6223602, 1.0]], ['2, k, 14', [0.08018798, -0.8633473, 1.0]], ['2, k, 15', [0.08179798, -0.8951071, 1.0]], ['2, k, 16', [0.2422796, -0.3578531, 1.0]], ['2, k, 17', [0.2643211, -0.6246372, 1.0]], ['2, k, 18', [0.2290147, -0.8915496, 1.0]], ['2, k, 19', [0.2224432, -0.9678646, 1.0]], ['2, k, 20', [0.1444463, 0.2192883, 1.0]], ['2, k, 21', [-0.05666611, -0.4114277, 1.0]], ['2, k, 22', [-0.03010727, -0.332151, 1.0]], ['2, k, 23', [0.4098292, -0.3981818, 1.0]], ['2, k, 24', [0.3567239, -0.3850855, 1.0]]]
[['2, k, 0', [0.1680316, -0.3665677, 1.0]], ['2, k, 1', [0.157507, -0.02717466, 1.0]], ['2, k, 2', [0.1465102, 0.3006054, 1.0]], ['2, k, 3', [0.153053, 0.4363391, 1.0]], ['2, k, 4', [-0.02626534, 0.1762286, 1.0]], ['2, k, 5', [-0.06365361, -0.08182774, 1.0]], ['2, k, 6', [-0.07238603, -0.2949603, 1.0]], ['2, k, 7', [-0.06756366, -0.3370691, 1.0]], ['2, k, 8', [0.3099896, 0.2086847, 1.0]], ['2, k, 9', [0.3445318, -0.06787863, 1.0]], ['2, k, 10', [0.3785637, -0.3063984, 1.0]], ['2, k, 11', [0.3866511, -0.3572181, 1.0]], ['2, k, 12', [0.08357599, -0.3618133, 1.0]], ['2, k, 13', [0.06653251, -0.62084, 1.0]], ['2, k, 14', [0.08134553, -0.8618738, 1.0]], ['2, k, 15', [0.08305721, -0.8935243, 1.0]], ['2, k, 16', [0.2459403, -0.3570006, 1.0]], ['2, k, 17', [0.2889374, -0.6070419, 1.0]], ['2, k, 18', [0.2497728, -0.8867993, 1.0]], ['2, k, 19', [0.2486413, -0.9183473, 1.0]], ['2, k, 20', [0.1493782, 0.2203115, 1.0]], ['2, k, 21', [-0.06053937, -0.4058835, 1.0]], ['2, k, 22', [-0.03101414, -0.339298, 1.0]], ['2, k, 23', [0.429208, -0.4000475, 1.0]], ['2, k, 24', [0.3607664, -0.3790475, 1.0]]]
