[['2, k, 0', [0.0731498, -1.26329, 1.0]], ['2, k, 1', [0.0706584, -0.983726, 1.0]], ['2, k, 2', [0.0679452, -0.704745, 1.0]], ['2, k, 3', [0.0603692, -0.584765, 1.0]], ['2, k, 4', [-0.107534, -0.746925, 1.0]], ['2, k, 5', [-0.217081, -0.902308, 1.0]], ['2, k, 6', [-0.147133, -1.08674, 1.0]], ['2, k, 7', [-0.108857, -1.12784, 1.0]], ['2, k, 8', [0.229348, -0.752528, 1.0]], ['2, k, 9', [0.374615, -0.892575, 1.0]], ['2, k, 10', [0.304713, -1.0823, 1.0]], ['2, k, 11', [0.252046, -1.12325, 1.0]], ['2, k, 12', [-0.00390806, -1.25084, 1.0]], ['2, k, 13', [-0.0383734, -1.55198, 1.0]], ['2, k, 14', [-0.039359, -1.85821, 1.0]], ['2, k, 15', [0.00974258, -1.9386, 1.0]], ['2, k, 16', [0.148915, -1.25336, 1.0]], ['2, k, 17', [0.208964, -1.54821, 1.0]], ['2, k, 18', [0.243868, -1.84162, 1.0]], ['2, k, 19', [0.203979, -1.93359, 1.0]], ['2, k, 20', [0.0686653, -0.774526, 1.0]], ['2, k, 21', [-0.0913165, -1.19018, 1.0]], ['2, k, 22', [-0.0777002, -1.0968, 1.0]], ['2, k, 23', [0.22478, -1.1865, 1.0]], ['2, k, 24', [0.225921, -1.09288, 1.0]]]
[['2, k, 0', [0.0732276, -1.26341, 1.0]], ['2, k, 1', [0.0707338, -0.983708, 1.0]], ['2, k, 2', [0.0680144, -0.7045, 1.0]], ['2, k, 3', [0.0596194, -0.582252, 1.0]], ['2, k, 4', [-0.107506, -0.746907, 1.0]], ['2, k, 5', [-0.214697, -0.908741, 1.0]], ['2, k, 6', [-0.143805, -1.09345, 1.0]], ['2, k, 7', [-0.103515, -1.13429, 1.0]], ['2, k, 8', [0.229338, -0.75251, 1.0]], ['2, k, 9', [0.374582, -0.892531, 1.0]], ['2, k, 10', [0.292965, -1.08542, 1.0]], ['2, k, 11', [0.249374, -1.11823, 1.0]], ['2, k, 12', [-0.00382609, -1.25097, 1.0]], ['2, k, 13', [-0.0411745, -1.53311, 1.0]], ['2, k, 14', [-0.0376829, -1.85773, 1.0]], ['2, k, 15', [-0.0541392, -1.89422, 1.0]], ['2, k, 16', [0.148985, -1.25345, 1.0]], ['2, k, 17', [0.208829, -1.54726, 1.0]], ['2, k, 18', [0.239612, -1.83045, 1.0]], ['2, k, 19', [0.204195, -1.91364, 1.0]], ['2, k, 20', [0.0687375, -0.774349, 1.0]], ['2, k, 21', [-0.0911825, -1.19794, 1.0]], ['2, k, 22', [-0.073684, -1.10169, 1.0]], ['2, k, 23', [0.217881, -1.17647, 1.0]], ['2, k, 24', [0.217236, -1.08168, 1.0]]]
[['2, k, 0', [0.0733154, -1.26346, 1.0]], ['2, k, 1', [0.071088, -0.983657, 1.0]], ['2, k, 2', [0.0688269, -0.704198, 1.0]], ['2, k, 3', [0.0587741, -0.579577, 1.0]], ['2, k, 4', [-0.107279, -0.746729, 1.0]], ['2, k, 5', [-0.214061, -0.90559, 1.0]], ['2, k, 6', [-0.14482, -1.0931, 1.0]], ['2, k, 7', [-0.105902, -1.13035, 1.0]], ['2, k, 8', [0.229133, -0.752316, 1.0]], ['2, k, 9', [0.374594, -0.898796, 1.0]], ['2, k, 10', [0.295363, -1.08419, 1.0]], ['2, k, 11', [0.247987, -1.11272, 1.0]], ['2, k, 12', [-0.00375925, -1.25103, 1.0]], ['2, k, 13', [-0.0391183, -1.5408, 1.0]], ['2, k, 14', [-0.038366, -1.8559, 1.0]], ['2, k, 15', [0.0144935, -1.9502, 1.0]], ['2, k, 16', [0.149094, -1.2535, 1.0]], ['2, k, 17', [0.209034, -1.54707, 1.0]], ['2, k, 18', [0.239899, -1.83024, 1.0]], ['2, k, 19', [0.20695, -1.89815, 1.0]], ['2, k, 20', [0.0694189, -0.774122, 1.0]], ['2, k, 21', [-0.0881471, -1.19478, 1.0]], ['2, k, 22', [-0.0771944, -1.09804, 1.0]], ['2, k, 23', [0.221223, -1.17642, 1.0]], ['2, k, 24', [0.208201, -1.07515, 1.0]]]
[['2, k, 0', [0.0736564, -1.26368, 1.0]], ['2, k, 1', [0.0716325, -0.983588, 1.0]], ['2, k, 2', [0.0695754, -0.703679, 1.0]], ['2, k, 3', [0.0590157, -0.579665, 1.0]], ['2, k, 4', [-0.10664, -0.7464, 1.0]], ['2, k, 5', [-0.213337, -0.90401, 1.0]], ['2, k, 6', [-0.144633, -1.09221, 1.0]], ['2, k, 7', [-0.103384, -1.1295, 1.0]], ['2, k, 8', [0.229098, -0.751973, 1.0]], ['2, k, 9', [0.376136, -0.896873, 1.0]], ['2, k, 10', [0.296591, -1.08234, 1.0]], ['2, k, 11', [0.252035, -1.11399, 1.0]], ['2, k, 12', [-0.00345641, -1.25123, 1.0]], ['2, k, 13', [-0.0361514, -1.55452, 1.0]], ['2, k, 14', [-0.0388436, -1.85792, 1.0]], ['2, k, 15', [-0.0546039, -1.89117, 1.0]], ['2, k, 16', [0.149467, -1.25373, 1.0]], ['2, k, 17', [0.210235, -1.54663, 1.0]], ['2, k, 18', [0.240007, -1.8324, 1.0]], ['2, k, 19', [0.22644, -1.8698, 1.0]], ['2, k, 20', [0.07012, -0.773727, 1.0]], ['2, k, 21', [-0.0817688, -1.19039, 1.0]], ['2, k, 22', [-0.0763704, -1.09865, 1.0]], ['2, k, 23', [0.221506, -1.17789, 1.0]], ['2, k, 24', [0.218179, -1.07772, 1.0]]]
[['2, k, 0', [0.0756728, -1.26393, 1.0]], ['2, k, 1', [0.0735021, -0.983211, 1.0]], ['2, k, 2', [0.0712949, -0.702743, 1.0]], ['2, k, 3', [0.0595257, -0.578557, 1.0]], ['2, k, 4', [-0.103622, -0.746161, 1.0]], ['2, k, 5', [-0.212509, -0.903141, 1.0]], ['2, k, 6', [-0.143011, -1.09049, 1.0]], ['2, k, 7', [-0.102169, -1.12997, 1.0]], ['2, k, 8', [0.229116, -0.751324, 1.0]], ['2, k, 9', [0.378175, -0.894997, 1.0]], ['2, k, 10', [0.296939, -1.08226, 1.0]], ['2, k, 11', [0.257287, -1.12088, 1.0]], ['2, k, 12', [-0.00151779, -1.25168, 1.0]], ['2, k, 13', [-0.0321883, -1.54133, 1.0]], ['2, k, 14', [-0.0385021, -1.89308, 1.0]], ['2, k, 15', [-0.00662412, -1.94036, 1.0]], ['2, k, 16', [0.151542, -1.25377, 1.0]], ['2, k, 17', [0.211694, -1.54555, 1.0]], ['2, k, 18', [0.242624, -1.83401, 1.0]], ['2, k, 19', [0.229391, -1.87138, 1.0]], ['2, k, 20', [0.0718796, -0.772925, 1.0]], ['2, k, 21', [-0.0815701, -1.18748, 1.0]], ['2, k, 22', [-0.0758061, -1.0973, 1.0]], ['2, k, 23', [0.227638, -1.17802, 1.0]], ['2, k, 24', [0.229176, -1.08375, 1.0]]]
[['2, k, 0', [0.0779859, -1.26382, 1.0]], ['2, k, 1', [0.0747455, -0.982936, 1.0]], ['2, k, 2', [0.071828, -0.702426, 1.0]], ['2, k, 3', [0.0606349, -0.578185, 1.0]], ['2, k, 4', [-0.103503, -0.746184, 1.0]], ['2, k, 5', [-0.207166, -0.904953, 1.0]], ['2, k, 6', [-0.140308, -1.09189, 1.0]], ['2, k, 7', [-0.0993676, -1.13667, 1.0]], ['2, k, 8', [0.230102, -0.750435, 1.0]], ['2, k, 9', [0.378424, -0.894151, 1.0]], ['2, k, 10', [0.300504, -1.08145, 1.0]], ['2, k, 11', [0.260688, -1.11447, 1.0]], ['2, k, 12', [0.000778126, -1.25176, 1.0]], ['2, k, 13', [-0.0327424, -1.54533, 1.0]], ['2, k, 14', [-0.0328595, -1.87797, 1.0]], ['2, k, 15', [0.0226739, -1.96317, 1.0]], ['2, k, 16', [0.153917, -1.25344, 1.0]], ['2, k, 17', [0.209979, -1.55441, 1.0]], ['2, k, 18', [0.242612, -1.83411, 1.0]], ['2, k, 19', [0.218262, -1.92383, 1.0]], ['2, k, 20', [0.0725595, -0.772614, 1.0]], ['2, k, 21', [-0.07871, -1.19624, 1.0]], ['2, k, 22', [-0.0705834, -1.10371, 1.0]], ['2, k, 23', [0.230925, -1.16827, 1.0]], ['2, k, 24', [0.229362, -1.07514, 1.0]]]
[['2, k, 0', [0.0830882, -1.26423, 1.0]], ['2, k, 1', [0.0796701, -0.97999, 1.0]], ['2, k, 2', [0.0773411, -0.694033, 1.0]], ['2, k, 3', [0.0631272, -0.564057, 1.0]], ['2, k, 4', [-0.0997313, -0.746619, 1.0]], ['2, k, 5', [-0.125697, -0.92595, 1.0]], ['2, k, 6', [-0.145841, -1.09102, 1.0]], ['2, k, 7', [-0.114323, -1.12293, 1.0]], ['2, k, 8', [0.231768, -0.748554, 1.0]], ['2, k, 9', [0.380533, -0.891191, 1.0]], ['2, k, 10', [0.301616, -1.08427, 1.0]], ['2, k, 11', [0.262599, -1.12237, 1.0]], ['2, k, 12', [0.00645216, -1.25283, 1.0]], ['2, k, 13', [-0.0307914, -1.53094, 1.0]], ['2, k, 14', [-0.0336527, -1.8715, 1.0]], ['2, k, 15', [0.0223724, -1.95778, 1.0]], ['2, k, 16', [0.158598, -1.25323, 1.0]], ['2, k, 17', [0.217583, -1.54941, 1.0]], ['2, k, 18', [0.241283, -1.84292, 1.0]], ['2, k, 19', [0.248232, -1.90656, 1.0]], ['2, k, 20', [0.0779404, -0.765849, 1.0]], ['2, k, 21', [-0.0938154, -1.15841, 1.0]], ['2, k, 22', [-0.100917, -1.09447, 1.0]], ['2, k, 23', [0.230732, -1.17675, 1.0]], ['2, k, 24', [0.225585, -1.08267, 1.0]]]
[['2, k, 0', [0.0867446, -1.2641, 1.0]], ['2, k, 1', [0.0825435, -0.979149, 1.0]], ['2, k, 2', [0.0793994, -0.69304, 1.0]], ['2, k, 3', [0.067271, -0.556232, 1.0]], ['2, k, 4', [-0.0963393, -0.746458, 1.0]], ['2, k, 5', [-0.190969, -0.923942, 1.0]], ['2, k, 6', [-0.124089, -1.09362, 1.0]], ['2, k, 7', [-0.0896813, -1.12449, 1.0]], ['2, k, 8', [0.234666, -0.746856, 1.0]], ['2, k, 9', [0.383239, -0.891691, 1.0]], ['2, k, 10', [0.298951, -1.11442, 1.0]], ['2, k, 11', [0.259424, -1.14639, 1.0]], ['2, k, 12', [0.0101264, -1.25293, 1.0]], ['2, k, 13', [-0.0308138, -1.53393, 1.0]], ['2, k, 14', [-0.0350076, -1.87283, 1.0]], ['2, k, 15', [0.0209892, -1.9578, 1.0]], ['2, k, 16', [0.162149, -1.25281, 1.0]], ['2, k, 17', [0.220515, -1.54692, 1.0]], ['2, k, 18', [0.241546, -1.8427, 1.0]], ['2, k, 19', [0.226604, -1.87892, 1.0]], ['2, k, 20', [0.0802128, -0.764814, 1.0]], ['2, k, 21', [-0.0674904, -1.17713, 1.0]], ['2, k, 22', [-0.0667716, -1.0947, 1.0]], ['2, k, 23', [0.239792, -1.20275, 1.0]], ['2, k, 24', [0.228695, -1.11333, 1.0]]]
[['2, k, 0', [0.0889913, -1.26361, 1.0]], ['2, k, 1', [0.0853877, -0.977907, 1.0]], ['2, k, 2', [0.082464, -0.69144, 1.0]], ['2, k, 3', [0.0732454, -0.549574, 1.0]], ['2, k, 4', [-0.0885618, -0.743606, 1.0]], ['2, k, 5', [-0.185094, -0.91466, 1.0]], ['2, k, 6', [-0.123868, -1.09496, 1.0]], ['2, k, 7', [-0.0889504, -1.12549, 1.0]], ['2, k, 8', [0.241602, -0.743111, 1.0]], ['2, k, 9', [0.382244, -0.892386, 1.0]], ['2, k, 10', [0.299196, -1.1162, 1.0]], ['2, k, 11', [0.260656, -1.15671, 1.0]], ['2, k, 12', [0.0122863, -1.25248, 1.0]], ['2, k, 13', [-0.0271412, -1.53321, 1.0]], ['2, k, 14', [-0.0262375, -1.86709, 1.0]], ['2, k, 15', [0.0139669, -1.9259, 1.0]], ['2, k, 16', [0.164332, -1.25225, 1.0]], ['2, k, 17', [0.22385, -1.50373, 1.0]], ['2, k, 18', [0.246225, -1.83327, 1.0]], ['2, k, 19', [0.231532, -1.87038, 1.0]], ['2, k, 20', [0.0832498, -0.763232, 1.0]], ['2, k, 21', [-0.0674988, -1.18679, 1.0]], ['2, k, 22', [-0.0687566, -1.0976, 1.0]], ['2, k, 23', [0.238995, -1.20855, 1.0]], ['2, k, 24', [0.227381, -1.1187, 1.0]]]
[['2, k, 0', [0.0957099, -1.2607, 1.0]], ['2, k, 1', [0.0925753, -0.974195, 1.0]], ['2, k, 2', [0.0907898, -0.687018, 1.0]], ['2, k, 3', [0.0785051, -0.542476, 1.0]], ['2, k, 4', [-0.0841943, -0.742362, 1.0]], ['2, k, 5', [-0.18395, -0.913611, 1.0]], ['2, k, 6', [-0.115961, -1.09388, 1.0]], ['2, k, 7', [-0.0794471, -1.12126, 1.0]], ['2, k, 8', [0.244195, -0.74041, 1.0]], ['2, k, 9', [0.40502, -0.870927, 1.0]], ['2, k, 10', [0.32809, -1.06875, 1.0]], ['2, k, 11', [0.282037, -1.1179, 1.0]], ['2, k, 12', [0.0196258, -1.24985, 1.0]], ['2, k, 13', [-0.0235666, -1.5295, 1.0]], ['2, k, 14', [-0.0252754, -1.86745, 1.0]], ['2, k, 15', [-0.0406443, -1.90199, 1.0]], ['2, k, 16', [0.170245, -1.24907, 1.0]], ['2, k, 17', [0.230541, -1.53784, 1.0]], ['2, k, 18', [0.246922, -1.83479, 1.0]], ['2, k, 19', [0.231897, -1.87141, 1.0]], ['2, k, 20', [0.0912152, -0.758955, 1.0]], ['2, k, 21', [-0.0579091, -1.18556, 1.0]], ['2, k, 22', [-0.0607469, -1.09914, 1.0]], ['2, k, 23', [0.251928, -1.16708, 1.0]], ['2, k, 24', [0.246389, -1.07566, 1.0]]]
[['2, k, 0', [0.101858, -1.2574, 1.0]], ['2, k, 1', [0.0972017, -0.972441, 1.0]], ['2, k, 2', [0.0937293, -0.686756, 1.0]], ['2, k, 3', [0.0860466, -0.539227, 1.0]], ['2, k, 4', [-0.0739372, -0.739023, 1.0]], ['2, k, 5', [-0.177382, -0.90529, 1.0]], ['2, k, 6', [-0.112591, -1.09057, 1.0]], ['2, k, 7', [-0.0797958, -1.12634, 1.0]], ['2, k, 8', [0.249308, -0.737333, 1.0]], ['2, k, 9', [0.394843, -0.860956, 1.0]], ['2, k, 10', [0.328682, -1.06911, 1.0]], ['2, k, 11', [0.28272, -1.11527, 1.0]], ['2, k, 12', [0.0253895, -1.24655, 1.0]], ['2, k, 13', [-0.0138182, -1.52314, 1.0]], ['2, k, 14', [-0.02504, -1.86974, 1.0]], ['2, k, 15', [0.00243231, -1.92792, 1.0]], ['2, k, 16', [0.176606, -1.24575, 1.0]], ['2, k, 17', [0.231526, -1.53845, 1.0]], ['2, k, 18', [0.247411, -1.83447, 1.0]], ['2, k, 19', [0.250665, -1.87752, 1.0]], ['2, k, 20', [0.0945266, -0.758345, 1.0]], ['2, k, 21', [-0.0500756, -1.18642, 1.0]], ['2, k, 22', [-0.0547521, -1.09681, 1.0]], ['2, k, 23', [0.264671, -1.17439, 1.0]], ['2, k, 24', [0.24285, -1.08148, 1.0]]]
