[['2, k, 0', [-0.387372, -0.4937, 1.0]], ['2, k, 1', [-0.379, -0.211387, 1.0]], ['2, k, 2', [-0.36766, 0.0658514, 1.0]], ['2, k, 3', [-0.389981, 0.179669, 1.0]], ['2, k, 4', [-0.547895, 0.0116732, 1.0]], ['2, k, 5', [-0.653316, -0.0891903, 1.0]], ['2, k, 6', [-0.714016, -0.15698, 1.0]], ['2, k, 7', [-0.735819, -0.199874, 1.0]], ['2, k, 8', [-0.221666, 0.0197804, 1.0]], ['2, k, 9', [-0.146537, -0.0531133, 1.0]], ['2, k, 10', [-0.127862, -0.147934, 1.0]], ['2, k, 11', [-0.124789, -0.185006, 1.0]], ['2, k, 12', [-0.455455, -0.487551, 1.0]], ['2, k, 13', [-0.492748, -0.763286, 1.0]], ['2, k, 14', [-0.446006, -1.12764, 1.0]], ['2, k, 15', [-0.489327, -1.18671, 1.0]], ['2, k, 16', [-0.306973, -0.484217, 1.0]], ['2, k, 17', [-0.233944, -0.767266, 1.0]], ['2, k, 18', [-0.1998, -1.13096, 1.0]], ['2, k, 19', [-0.182142, -1.18325, 1.0]], ['2, k, 20', [-0.371019, -0.00261147, 1.0]], ['2, k, 21', [-0.724974, -0.227509, 1.0]], ['2, k, 22', [-0.708209, -0.230759, 1.0]], ['2, k, 23', [-0.120775, -0.212827, 1.0]], ['2, k, 24', [-0.130667, -0.20556, 1.0]]]
[['2, k, 0', [-0.387711, -0.49275, 1.0]], ['2, k, 1', [-0.37904, -0.211376, 1.0]], ['2, k, 2', [-0.367644, 0.0651083, 1.0]], ['2, k, 3', [-0.389876, 0.178573, 1.0]], ['2, k, 4', [-0.547783, 0.0115159, 1.0]], ['2, k, 5', [-0.653154, -0.0896362, 1.0]], ['2, k, 6', [-0.714158, -0.161492, 1.0]], ['2, k, 7', [-0.73686, -0.256488, 1.0]], ['2, k, 8', [-0.221646, 0.0196783, 1.0]], ['2, k, 9', [-0.134295, -0.0903882, 1.0]], ['2, k, 10', [-0.126847, -0.19118, 1.0]], ['2, k, 11', [-0.159191, -0.252111, 1.0]], ['2, k, 12', [-0.455899, -0.486383, 1.0]], ['2, k, 13', [-0.492719, -0.763088, 1.0]], ['2, k, 14', [-0.446287, -1.12723, 1.0]], ['2, k, 15', [-0.486211, -1.18731, 1.0]], ['2, k, 16', [-0.307268, -0.483397, 1.0]], ['2, k, 17', [-0.234119, -0.766959, 1.0]], ['2, k, 18', [-0.199837, -1.12712, 1.0]], ['2, k, 19', [-0.181087, -1.17964, 1.0]], ['2, k, 20', [-0.371028, -0.00304581, 1.0]], ['2, k, 21', [-0.733534, -0.271717, 1.0]], ['2, k, 22', [-0.647309, -0.25936, 1.0]], ['2, k, 23', [-0.203461, -0.290867, 1.0]], ['2, k, 24', [-0.229695, -0.26158, 1.0]]]
[['2, k, 0', [-0.387865, -0.49231, 1.0]], ['2, k, 1', [-0.379182, -0.211732, 1.0]], ['2, k, 2', [-0.368012, 0.0625916, 1.0]], ['2, k, 3', [-0.389814, 0.175322, 1.0]], ['2, k, 4', [-0.547726, 0.0113041, 1.0]], ['2, k, 5', [-0.652788, -0.0928657, 1.0]], ['2, k, 6', [-0.713915, -0.167371, 1.0]], ['2, k, 7', [-0.737685, -0.265836, 1.0]], ['2, k, 8', [-0.221521, 0.0193692, 1.0]], ['2, k, 9', [-0.132263, -0.0942484, 1.0]], ['2, k, 10', [-0.176191, -0.201601, 1.0]], ['2, k, 11', [-0.176294, -0.263973, 1.0]], ['2, k, 12', [-0.456095, -0.485878, 1.0]], ['2, k, 13', [-0.492693, -0.763084, 1.0]], ['2, k, 14', [-0.446208, -1.12735, 1.0]], ['2, k, 15', [-0.482931, -1.18876, 1.0]], ['2, k, 16', [-0.30739, -0.483074, 1.0]], ['2, k, 17', [-0.233876, -0.76729, 1.0]], ['2, k, 18', [-0.19979, -1.12758, 1.0]], ['2, k, 19', [-0.180076, -1.17825, 1.0]], ['2, k, 20', [-0.371337, -0.0048681, 1.0]], ['2, k, 21', [-0.73286, -0.28352, 1.0]], ['2, k, 22', [-0.646517, -0.266801, 1.0]], ['2, k, 23', [-0.204409, -0.302824, 1.0]], ['2, k, 24', [-0.260596, -0.268117, 1.0]]]
[['2, k, 0', [-0.387911, -0.491775, 1.0]], ['2, k, 1', [-0.378694, -0.212779, 1.0]], ['2, k, 2', [-0.365571, 0.0568791, 1.0]], ['2, k, 3', [-0.388864, 0.169135, 1.0]], ['2, k, 4', [-0.547516, 0.0102757, 1.0]], ['2, k, 5', [-0.652097, -0.0982325, 1.0]], ['2, k, 6', [-0.713362, -0.173817, 1.0]], ['2, k, 7', [-0.737333, -0.27425, 1.0]], ['2, k, 8', [-0.221349, 0.018734, 1.0]], ['2, k, 9', [-0.131294, -0.0988358, 1.0]], ['2, k, 10', [-0.126943, -0.227115, 1.0]], ['2, k, 11', [-0.165485, -0.271873, 1.0]], ['2, k, 12', [-0.456151, -0.485372, 1.0]], ['2, k, 13', [-0.492663, -0.763407, 1.0]], ['2, k, 14', [-0.445911, -1.12658, 1.0]], ['2, k, 15', [-0.480541, -1.18682, 1.0]], ['2, k, 16', [-0.307459, -0.482574, 1.0]], ['2, k, 17', [-0.231106, -0.776138, 1.0]], ['2, k, 18', [-0.199273, -1.12868, 1.0]], ['2, k, 19', [-0.178886, -1.17765, 1.0]], ['2, k, 20', [-0.369502, -0.00922722, 1.0]], ['2, k, 21', [-0.733386, -0.291034, 1.0]], ['2, k, 22', [-0.652469, -0.272427, 1.0]], ['2, k, 23', [-0.204273, -0.310786, 1.0]], ['2, k, 24', [-0.250721, -0.27592, 1.0]]]
[['2, k, 0', [-0.388361, -0.490275, 1.0]], ['2, k, 1', [-0.379747, -0.202804, 1.0]], ['2, k, 2', [-0.368529, 0.0873356, 1.0]], ['2, k, 3', [-0.391802, 0.19135, 1.0]], ['2, k, 4', [-0.547439, 0.00880196, 1.0]], ['2, k, 5', [-0.652487, -0.104786, 1.0]], ['2, k, 6', [-0.71243, -0.179828, 1.0]], ['2, k, 7', [-0.735939, -0.282191, 1.0]], ['2, k, 8', [-0.221316, 0.0177692, 1.0]], ['2, k, 9', [-0.131216, -0.100431, 1.0]], ['2, k, 10', [-0.126344, -0.230211, 1.0]], ['2, k, 11', [-0.165445, -0.280712, 1.0]], ['2, k, 12', [-0.456511, -0.483987, 1.0]], ['2, k, 13', [-0.493065, -0.763644, 1.0]], ['2, k, 14', [-0.446271, -1.12483, 1.0]], ['2, k, 15', [-0.480183, -1.18636, 1.0]], ['2, k, 16', [-0.307821, -0.480878, 1.0]], ['2, k, 17', [-0.230865, -0.775561, 1.0]], ['2, k, 18', [-0.199243, -1.12863, 1.0]], ['2, k, 19', [-0.178754, -1.1769, 1.0]], ['2, k, 20', [-0.371767, 0.0145182, 1.0]], ['2, k, 21', [-0.734418, -0.298204, 1.0]], ['2, k, 22', [-0.648068, -0.281503, 1.0]], ['2, k, 23', [-0.203933, -0.319047, 1.0]], ['2, k, 24', [-0.249852, -0.28308, 1.0]]]
[['2, k, 0', [-0.388565, -0.487833, 1.0]], ['2, k, 1', [-0.378228, -0.208348, 1.0]], ['2, k, 2', [-0.35907, 0.0392811, 1.0]], ['2, k, 3', [-0.386072, 0.153989, 1.0]], ['2, k, 4', [-0.546034, -8.80091e-05, 1.0]], ['2, k, 5', [-0.651916, -0.108898, 1.0]], ['2, k, 6', [-0.711579, -0.187872, 1.0]], ['2, k, 7', [-0.733385, -0.292275, 1.0]], ['2, k, 8', [-0.221079, 0.0161231, 1.0]], ['2, k, 9', [-0.130719, -0.104348, 1.0]], ['2, k, 10', [-0.127254, -0.238033, 1.0]], ['2, k, 11', [-0.167682, -0.288573, 1.0]], ['2, k, 12', [-0.456607, -0.48262, 1.0]], ['2, k, 13', [-0.492835, -0.767113, 1.0]], ['2, k, 14', [-0.446221, -1.12273, 1.0]], ['2, k, 15', [-0.475648, -1.18178, 1.0]], ['2, k, 16', [-0.308265, -0.477192, 1.0]], ['2, k, 17', [-0.229822, -0.769779, 1.0]], ['2, k, 18', [-0.199331, -1.12729, 1.0]], ['2, k, 19', [-0.180546, -1.17605, 1.0]], ['2, k, 20', [-0.36392, -0.0235604, 1.0]], ['2, k, 21', [-0.729129, -0.310301, 1.0]], ['2, k, 22', [-0.645592, -0.295807, 1.0]], ['2, k, 23', [-0.200818, -0.326673, 1.0]], ['2, k, 24', [-0.251831, -0.291748, 1.0]]]
[['2, k, 0', [-0.388376, -0.484731, 1.0]], ['2, k, 1', [-0.377415, -0.210497, 1.0]], ['2, k, 2', [-0.359032, 0.0389877, 1.0]], ['2, k, 3', [-0.385379, 0.151341, 1.0]], ['2, k, 4', [-0.54511, -0.00443918, 1.0]], ['2, k, 5', [-0.651233, -0.112523, 1.0]], ['2, k, 6', [-0.710068, -0.193428, 1.0]], ['2, k, 7', [-0.73188, -0.30066, 1.0]], ['2, k, 8', [-0.219398, 0.00754783, 1.0]], ['2, k, 9', [-0.13009, -0.108023, 1.0]], ['2, k, 10', [-0.126747, -0.240788, 1.0]], ['2, k, 11', [-0.163082, -0.293946, 1.0]], ['2, k, 12', [-0.456422, -0.479323, 1.0]], ['2, k, 13', [-0.493159, -0.76804, 1.0]], ['2, k, 14', [-0.446052, -1.11911, 1.0]], ['2, k, 15', [-0.470137, -1.17441, 1.0]], ['2, k, 16', [-0.30814, -0.474633, 1.0]], ['2, k, 17', [-0.2296, -0.769771, 1.0]], ['2, k, 18', [-0.198558, -1.12727, 1.0]], ['2, k, 19', [-0.178773, -1.17936, 1.0]], ['2, k, 20', [-0.36383, -0.0238116, 1.0]], ['2, k, 21', [-0.729019, -0.319119, 1.0]], ['2, k, 22', [-0.63848, -0.300947, 1.0]], ['2, k, 23', [-0.199102, -0.334559, 1.0]], ['2, k, 24', [-0.247522, -0.297821, 1.0]]]
[['2, k, 0', [-0.388212, -0.484453, 1.0]], ['2, k, 1', [-0.376538, -0.214405, 1.0]], ['2, k, 2', [-0.359049, 0.0374248, 1.0]], ['2, k, 3', [-0.384513, 0.147572, 1.0]], ['2, k, 4', [-0.544576, -0.00918152, 1.0]], ['2, k, 5', [-0.650548, -0.116526, 1.0]], ['2, k, 6', [-0.708288, -0.199373, 1.0]], ['2, k, 7', [-0.729951, -0.306965, 1.0]], ['2, k, 8', [-0.218233, 0.00323504, 1.0]], ['2, k, 9', [-0.129247, -0.112014, 1.0]], ['2, k, 10', [-0.125586, -0.243434, 1.0]], ['2, k, 11', [-0.164071, -0.29871, 1.0]], ['2, k, 12', [-0.456286, -0.479142, 1.0]], ['2, k, 13', [-0.493473, -0.768857, 1.0]], ['2, k, 14', [-0.446341, -1.11776, 1.0]], ['2, k, 15', [-0.468863, -1.17381, 1.0]], ['2, k, 16', [-0.308024, -0.474371, 1.0]], ['2, k, 17', [-0.228835, -0.770141, 1.0]], ['2, k, 18', [-0.198975, -1.12572, 1.0]], ['2, k, 19', [-0.178548, -1.181, 1.0]], ['2, k, 20', [-0.363748, -0.0253723, 1.0]], ['2, k, 21', [-0.727944, -0.325072, 1.0]], ['2, k, 22', [-0.644767, -0.310039, 1.0]], ['2, k, 23', [-0.198877, -0.340002, 1.0]], ['2, k, 24', [-0.252486, -0.302095, 1.0]]]
[['2, k, 0', [-0.388045, -0.484212, 1.0]], ['2, k, 1', [-0.375816, -0.216871, 1.0]], ['2, k, 2', [-0.358816, 0.0359885, 1.0]], ['2, k, 3', [-0.383943, 0.144851, 1.0]], ['2, k, 4', [-0.54412, -0.0122317, 1.0]], ['2, k, 5', [-0.649732, -0.120463, 1.0]], ['2, k, 6', [-0.707442, -0.204467, 1.0]], ['2, k, 7', [-0.72861, -0.312454, 1.0]], ['2, k, 8', [-0.217075, -0.000146877, 1.0]], ['2, k, 9', [-0.128738, -0.114386, 1.0]], ['2, k, 10', [-0.1247, -0.248513, 1.0]], ['2, k, 11', [-0.161934, -0.301984, 1.0]], ['2, k, 12', [-0.456139, -0.478968, 1.0]], ['2, k, 13', [-0.493913, -0.770256, 1.0]], ['2, k, 14', [-0.446341, -1.11794, 1.0]], ['2, k, 15', [-0.46923, -1.17435, 1.0]], ['2, k, 16', [-0.307897, -0.474159, 1.0]], ['2, k, 17', [-0.228224, -0.770659, 1.0]], ['2, k, 18', [-0.197868, -1.12395, 1.0]], ['2, k, 19', [-0.177584, -1.1822, 1.0]], ['2, k, 20', [-0.363458, -0.0268199, 1.0]], ['2, k, 21', [-0.727016, -0.329914, 1.0]], ['2, k, 22', [-0.643, -0.316038, 1.0]], ['2, k, 23', [-0.198109, -0.343181, 1.0]], ['2, k, 24', [-0.24576, -0.304378, 1.0]]]
[['2, k, 0', [-0.386497, -0.488263, 1.0]], ['2, k, 1', [-0.374027, -0.222655, 1.0]], ['2, k, 2', [-0.358219, 0.0342296, 1.0]], ['2, k, 3', [-0.383292, 0.142252, 1.0]], ['2, k, 4', [-0.543087, -0.0157472, 1.0]], ['2, k, 5', [-0.649047, -0.124212, 1.0]], ['2, k, 6', [-0.706513, -0.207443, 1.0]], ['2, k, 7', [-0.728699, -0.315841, 1.0]], ['2, k, 8', [-0.216455, -0.00357159, 1.0]], ['2, k, 9', [-0.128207, -0.116261, 1.0]], ['2, k, 10', [-0.12361, -0.251229, 1.0]], ['2, k, 11', [-0.164268, -0.305354, 1.0]], ['2, k, 12', [-0.455907, -0.480193, 1.0]], ['2, k, 13', [-0.49485, -0.774922, 1.0]], ['2, k, 14', [-0.445696, -1.11652, 1.0]], ['2, k, 15', [-0.466377, -1.1705, 1.0]], ['2, k, 16', [-0.304112, -0.482972, 1.0]], ['2, k, 17', [-0.227371, -0.772625, 1.0]], ['2, k, 18', [-0.19789, -1.12248, 1.0]], ['2, k, 19', [-0.177449, -1.18272, 1.0]], ['2, k, 20', [-0.362668, -0.0292117, 1.0]], ['2, k, 21', [-0.726562, -0.333642, 1.0]], ['2, k, 22', [-0.641901, -0.317941, 1.0]], ['2, k, 23', [-0.197814, -0.345617, 1.0]], ['2, k, 24', [-0.248832, -0.309185, 1.0]]]
[['2, k, 0', [-0.386652, -0.461432, 1.0]], ['2, k, 1', [-0.372466, -0.218495, 1.0]], ['2, k, 2', [-0.356812, 0.0334047, 1.0]], ['2, k, 3', [-0.3811, 0.138263, 1.0]], ['2, k, 4', [-0.540286, -0.0195219, 1.0]], ['2, k, 5', [-0.647238, -0.127723, 1.0]], ['2, k, 6', [-0.706711, -0.219184, 1.0]], ['2, k, 7', [-0.7284, -0.318807, 1.0]], ['2, k, 8', [-0.215081, -0.00729201, 1.0]], ['2, k, 9', [-0.127804, -0.11817, 1.0]], ['2, k, 10', [-0.122724, -0.252936, 1.0]], ['2, k, 11', [-0.160597, -0.308827, 1.0]], ['2, k, 12', [-0.455338, -0.458468, 1.0]], ['2, k, 13', [-0.493636, -0.77193, 1.0]], ['2, k, 14', [-0.445169, -1.11539, 1.0]], ['2, k, 15', [-0.474377, -1.18305, 1.0]], ['2, k, 16', [-0.306853, -0.449526, 1.0]], ['2, k, 17', [-0.227036, -0.772954, 1.0]], ['2, k, 18', [-0.197951, -1.12128, 1.0]], ['2, k, 19', [-0.171834, -1.19482, 1.0]], ['2, k, 20', [-0.361401, -0.0291871, 1.0]], ['2, k, 21', [-0.729492, -0.333804, 1.0]], ['2, k, 22', [-0.647878, -0.321319, 1.0]], ['2, k, 23', [-0.196763, -0.349759, 1.0]], ['2, k, 24', [-0.245294, -0.314799, 1.0]]]
