[['2, k, 0', [-0.0004097509, -0.2644808, 1.0]], ['2, k, 1', [0.003603189, 0.03104843, 1.0]], ['2, k, 2', [0.007123015, 0.319712, 1.0]], ['2, k, 3', [0.008750334, 0.4508685, 1.0]], ['2, k, 4', [-0.1644859, 0.2060703, 1.0]], ['2, k, 5', [-0.2265842, -0.04524064, 1.0]], ['2, k, 6', [-0.2531216, -0.2157186, 1.0]], ['2, k, 7', [-0.2646108, -0.2569767, 1.0]], ['2, k, 8', [0.1842785, 0.2110875, 1.0]], ['2, k, 9', [0.2361944, -0.03606398, 1.0]], ['2, k, 10', [0.2873821, -0.2336362, 1.0]], ['2, k, 11', [0.2950792, -0.2959323, 1.0]], ['2, k, 12', [-0.08768331, -0.2597797, 1.0]], ['2, k, 13', [-0.1277683, -0.2776433, 1.0]], ['2, k, 14', [-0.1197472, -0.6192428, 1.0]], ['2, k, 15', [-0.1169447, -0.6547806, 1.0]], ['2, k, 16', [0.08659618, -0.2622849, 1.0]], ['2, k, 17', [0.1693145, -0.2752408, 1.0]], ['2, k, 18', [0.1423666, -0.6190312, 1.0]], ['2, k, 19', [0.1859078, -0.7017509, 1.0]], ['2, k, 20', [0.006275529, 0.2484673, 1.0]], ['2, k, 21', [-0.262756, -0.3085745, 1.0]], ['2, k, 22', [-0.2824863, -0.2247251, 1.0]], ['2, k, 23', [0.3131849, -0.365837, 1.0]], ['2, k, 24', [0.2631616, -0.2942357, 1.0]]]
[['2, k, 0', [-0.0004589555, -0.2646897, 1.0]], ['2, k, 1', [0.003564805, 0.03113661, 1.0]], ['2, k, 2', [0.007094992, 0.3203922, 1.0]], ['2, k, 3', [0.008469624, 0.4513782, 1.0]], ['2, k, 4', [-0.165205, 0.2054197, 1.0]], ['2, k, 5', [-0.2280901, -0.04009032, 1.0]], ['2, k, 6', [-0.2539333, -0.2018435, 1.0]], ['2, k, 7', [-0.2657112, -0.24439, 1.0]], ['2, k, 8', [0.1828081, 0.2091469, 1.0]], ['2, k, 9', [0.2379381, -0.03423147, 1.0]], ['2, k, 10', [0.2880509, -0.2269612, 1.0]], ['2, k, 11', [0.3003347, -0.294752, 1.0]], ['2, k, 12', [-0.08795157, -0.2602284, 1.0]], ['2, k, 13', [-0.1277801, -0.2775882, 1.0]], ['2, k, 14', [-0.1188755, -0.6192219, 1.0]], ['2, k, 15', [-0.1173108, -0.6547558, 1.0]], ['2, k, 16', [0.08664779, -0.2624241, 1.0]], ['2, k, 17', [0.1691356, -0.27518, 1.0]], ['2, k, 18', [0.1419997, -0.6188267, 1.0]], ['2, k, 19', [0.1857273, -0.7014515, 1.0]], ['2, k, 20', [0.006234935, 0.248978, 1.0]], ['2, k, 21', [-0.2655958, -0.2905731, 1.0]], ['2, k, 22', [-0.2837445, -0.2089386, 1.0]], ['2, k, 23', [0.3159176, -0.365285, 1.0]], ['2, k, 24', [0.2628298, -0.295763, 1.0]]]
[['2, k, 0', [-0.0004933949, -0.2648256, 1.0]], ['2, k, 1', [0.003537014, 0.03118881, 1.0]], ['2, k, 2', [0.007067726, 0.3206863, 1.0]], ['2, k, 3', [0.007801455, 0.4521182, 1.0]], ['2, k, 4', [-0.1662861, 0.2049438, 1.0]], ['2, k, 5', [-0.2284679, -0.03793464, 1.0]], ['2, k, 6', [-0.250368, -0.180899, 1.0]], ['2, k, 7', [-0.2631708, -0.2311199, 1.0]], ['2, k, 8', [0.1811116, 0.20902, 1.0]], ['2, k, 9', [0.23816, -0.02603712, 1.0]], ['2, k, 10', [0.2923968, -0.2148599, 1.0]], ['2, k, 11', [0.3022001, -0.2757695, 1.0]], ['2, k, 12', [-0.08813903, -0.260581, 1.0]], ['2, k, 13', [-0.1277823, -0.2775923, 1.0]], ['2, k, 14', [-0.1187138, -0.6192253, 1.0]], ['2, k, 15', [-0.1182974, -0.6547715, 1.0]], ['2, k, 16', [0.08671796, -0.2625252, 1.0]], ['2, k, 17', [0.1691134, -0.2755263, 1.0]], ['2, k, 18', [0.1418947, -0.619192, 1.0]], ['2, k, 19', [0.1859709, -0.7016392, 1.0]], ['2, k, 20', [0.006203539, 0.2492142, 1.0]], ['2, k, 21', [-0.2671453, -0.2798223, 1.0]], ['2, k, 22', [-0.2514527, -0.1921352, 1.0]], ['2, k, 23', [0.3221434, -0.3403489, 1.0]], ['2, k, 24', [0.2582419, -0.2829437, 1.0]]]
[['2, k, 0', [-0.0004553036, -0.2651511, 1.0]], ['2, k, 1', [0.003272952, 0.03109472, 1.0]], ['2, k, 2', [0.006111489, 0.3207117, 1.0]], ['2, k, 3', [0.00698432, 0.4522622, 1.0]], ['2, k, 4', [-0.1665318, 0.2050102, 1.0]], ['2, k, 5', [-0.2285054, -0.03652, 1.0]], ['2, k, 6', [-0.2493698, -0.1775988, 1.0]], ['2, k, 7', [-0.2573251, -0.2259486, 1.0]], ['2, k, 8', [0.1792768, 0.2076956, 1.0]], ['2, k, 9', [0.2392615, -0.002587123, 1.0]], ['2, k, 10', [0.2897282, -0.1714944, 1.0]], ['2, k, 11', [0.3067199, -0.2427733, 1.0]], ['2, k, 12', [-0.08815377, -0.2608619, 1.0]], ['2, k, 13', [-0.1277426, -0.2774752, 1.0]], ['2, k, 14', [-0.1187278, -0.6191266, 1.0]], ['2, k, 15', [-0.1196078, -0.6546831, 1.0]], ['2, k, 16', [0.08684738, -0.262824, 1.0]], ['2, k, 17', [0.1727056, -0.2744947, 1.0]], ['2, k, 18', [0.1424253, -0.6185805, 1.0]], ['2, k, 19', [0.1858559, -0.7013573, 1.0]], ['2, k, 20', [0.005461886, 0.2492121, 1.0]], ['2, k, 21', [-0.2624177, -0.2725166, 1.0]], ['2, k, 22', [-0.2688065, -0.1890875, 1.0]], ['2, k, 23', [0.3280761, -0.3017105, 1.0]], ['2, k, 24', [0.2448014, -0.2530374, 1.0]]]
[['2, k, 0', [-0.0004776087, -0.2654464, 1.0]], ['2, k, 1', [0.003259473, 0.031072, 1.0]], ['2, k, 2', [0.0061188, 0.3207499, 1.0]], ['2, k, 3', [0.006405622, 0.4523801, 1.0]], ['2, k, 4', [-0.1669407, 0.205062, 1.0]], ['2, k, 5', [-0.2285247, -0.03422498, 1.0]], ['2, k, 6', [-0.2475408, -0.175812, 1.0]], ['2, k, 7', [-0.251308, -0.2321267, 1.0]], ['2, k, 8', [0.177227, 0.2078675, 1.0]], ['2, k, 9', [0.2417511, 0.01059277, 1.0]], ['2, k, 10', [0.2979133, -0.1318168, 1.0]], ['2, k, 11', [0.3209589, -0.2025508, 1.0]], ['2, k, 12', [-0.08823602, -0.2610831, 1.0]], ['2, k, 13', [-0.127736, -0.2774689, 1.0]], ['2, k, 14', [-0.1192589, -0.6192553, 1.0]], ['2, k, 15', [-0.1212535, -0.6548174, 1.0]], ['2, k, 16', [0.0869225, -0.2630823, 1.0]], ['2, k, 17', [0.171687, -0.2768899, 1.0]], ['2, k, 18', [0.1422998, -0.6207461, 1.0]], ['2, k, 19', [0.186687, -0.7030038, 1.0]], ['2, k, 20', [0.005462312, 0.2492387, 1.0]], ['2, k, 21', [-0.2522351, -0.2867625, 1.0]], ['2, k, 22', [-0.2612414, -0.2126239, 1.0]], ['2, k, 23', [0.3557124, -0.2554699, 1.0]], ['2, k, 24', [0.2704625, -0.2293651, 1.0]]]
[['2, k, 0', [-0.0004849843, -0.2661493, 1.0]], ['2, k, 1', [0.003212564, 0.03091364, 1.0]], ['2, k, 2', [0.006095287, 0.3207309, 1.0]], ['2, k, 3', [0.006007074, 0.4520628, 1.0]], ['2, k, 4', [-0.1674063, 0.2047656, 1.0]], ['2, k, 5', [-0.2293484, -0.03296757, 1.0]], ['2, k, 6', [-0.2461089, -0.1754378, 1.0]], ['2, k, 7', [-0.24416, -0.2316611, 1.0]], ['2, k, 8', [0.1743178, 0.2087303, 1.0]], ['2, k, 9', [0.2475008, 0.05122201, 1.0]], ['2, k, 10', [0.2962278, -0.08293638, 1.0]], ['2, k, 11', [0.3280491, -0.1492146, 1.0]], ['2, k, 12', [-0.08832975, -0.2618104, 1.0]], ['2, k, 13', [-0.1277122, -0.2775008, 1.0]], ['2, k, 14', [-0.1193527, -0.6193082, 1.0]], ['2, k, 15', [-0.1224947, -0.654872, 1.0]], ['2, k, 16', [0.08703087, -0.2635989, 1.0]], ['2, k, 17', [0.1711751, -0.2776068, 1.0]], ['2, k, 18', [0.1426784, -0.6215556, 1.0]], ['2, k, 19', [0.1869363, -0.7038631, 1.0]], ['2, k, 20', [0.005433374, 0.2492036, 1.0]], ['2, k, 21', [-0.2486084, -0.2932583, 1.0]], ['2, k, 22', [-0.2458346, -0.218941, 1.0]], ['2, k, 23', [0.3553459, -0.1934798, 1.0]], ['2, k, 24', [0.2794974, -0.1711699, 1.0]]]
[['2, k, 0', [-0.0004083081, -0.2661848, 1.0]], ['2, k, 1', [0.003219817, 0.03092309, 1.0]], ['2, k, 2', [0.00609929, 0.3207626, 1.0]], ['2, k, 3', [0.005883862, 0.4521193, 1.0]], ['2, k, 4', [-0.1680063, 0.2043027, 1.0]], ['2, k, 5', [-0.2283364, -0.03040611, 1.0]], ['2, k, 6', [-0.2437034, -0.1779914, 1.0]], ['2, k, 7', [-0.2395547, -0.2374577, 1.0]], ['2, k, 8', [0.171461, 0.2139034, 1.0]], ['2, k, 9', [0.2376166, 0.08565848, 1.0]], ['2, k, 10', [0.294283, -0.02281742, 1.0]], ['2, k, 11', [0.3304926, -0.08523568, 1.0]], ['2, k, 12', [-0.0882609, -0.2619176, 1.0]], ['2, k, 13', [-0.127915, -0.2779758, 1.0]], ['2, k, 14', [-0.1166563, -0.6199991, 1.0]], ['2, k, 15', [-0.1204684, -0.6555528, 1.0]], ['2, k, 16', [0.08721215, -0.2634761, 1.0]], ['2, k, 17', [0.171112, -0.2776614, 1.0]], ['2, k, 18', [0.1424784, -0.6215106, 1.0]], ['2, k, 19', [0.1868699, -0.7037476, 1.0]], ['2, k, 20', [0.005437646, 0.2492321, 1.0]], ['2, k, 21', [-0.231211, -0.2992323, 1.0]], ['2, k, 22', [-0.2484521, -0.2268521, 1.0]], ['2, k, 23', [0.3549455, -0.1165998, 1.0]], ['2, k, 24', [0.2846862, -0.1210157, 1.0]]]
[['2, k, 0', [-0.0003137912, -0.2662573, 1.0]], ['2, k, 1', [0.003257799, 0.03096597, 1.0]], ['2, k, 2', [0.006144455, 0.3210409, 1.0]], ['2, k, 3', [0.005701295, 0.4524239, 1.0]], ['2, k, 4', [-0.1682326, 0.2036128, 1.0]], ['2, k, 5', [-0.225696, -0.02915471, 1.0]], ['2, k, 6', [-0.1757217, -0.1574841, 1.0]], ['2, k, 7', [-0.1007453, -0.1435995, 1.0]], ['2, k, 8', [0.1662572, 0.2190969, 1.0]], ['2, k, 9', [0.2463667, 0.1300394, 1.0]], ['2, k, 10', [0.2971839, 0.08854453, 1.0]], ['2, k, 11', [0.3237259, 0.0754761, 1.0]], ['2, k, 12', [-0.08819433, -0.2621745, 1.0]], ['2, k, 13', [-0.1279579, -0.2781946, 1.0]], ['2, k, 14', [-0.1169762, -0.6200189, 1.0]], ['2, k, 15', [-0.1213764, -0.6555847, 1.0]], ['2, k, 16', [0.08748625, -0.2633955, 1.0]], ['2, k, 17', [0.1710011, -0.2775227, 1.0]], ['2, k, 18', [0.1424661, -0.6213979, 1.0]], ['2, k, 19', [0.1865567, -0.7038105, 1.0]], ['2, k, 20', [0.005480627, 0.249442, 1.0]], ['2, k, 21', [-0.07524522, -0.1961157, 1.0]], ['2, k, 22', [-0.1318617, -0.1722489, 1.0]], ['2, k, 23', [0.3606146, 0.0521653, 1.0]], ['2, k, 24', [0.2867404, 0.03929728, 1.0]]]
[['2, k, 0', [-0.0002624294, -0.2665092, 1.0]], ['2, k, 1', [0.003311698, 0.03095646, 1.0]], ['2, k, 2', [0.006378357, 0.3211943, 1.0]], ['2, k, 3', [0.005539482, 0.4524576, 1.0]], ['2, k, 4', [-0.1681487, 0.20266, 1.0]], ['2, k, 5', [-0.2224128, -0.04329025, 1.0]], ['2, k, 6', [-0.1694437, -0.1716882, 1.0]], ['2, k, 7', [-0.1018879, -0.1457768, 1.0]], ['2, k, 8', [0.1657791, 0.2190578, 1.0]], ['2, k, 9', [0.2486666, 0.157916, 1.0]], ['2, k, 10', [0.3030048, 0.1753134, 1.0]], ['2, k, 11', [0.3022026, 0.1526304, 1.0]], ['2, k, 12', [-0.08823893, -0.2625137, 1.0]], ['2, k, 13', [-0.1279622, -0.2779584, 1.0]], ['2, k, 14', [-0.1064058, -0.6177557, 1.0]], ['2, k, 15', [-0.1464149, -0.7023634, 1.0]], ['2, k, 16', [0.08768266, -0.2636446, 1.0]], ['2, k, 17', [0.1708666, -0.2775488, 1.0]], ['2, k, 18', [0.1412817, -0.6212155, 1.0]], ['2, k, 19', [0.1877226, -0.7023224, 1.0]], ['2, k, 20', [0.005651269, 0.2495429, 1.0]], ['2, k, 21', [-0.06981097, -0.1942414, 1.0]], ['2, k, 22', [-0.1367454, -0.1715714, 1.0]], ['2, k, 23', [0.3359508, 0.1396828, 1.0]], ['2, k, 24', [0.2887414, 0.1193765, 1.0]]]
[['2, k, 0', [-0.0001987209, -0.2665474, 1.0]], ['2, k, 1', [0.003317355, 0.03099132, 1.0]], ['2, k, 2', [0.006329383, 0.3213679, 1.0]], ['2, k, 3', [0.005067926, 0.452709, 1.0]], ['2, k, 4', [-0.1682166, 0.2018966, 1.0]], ['2, k, 5', [-0.2223264, -0.04611915, 1.0]], ['2, k, 6', [-0.1684812, -0.1754891, 1.0]], ['2, k, 7', [-0.1021723, -0.1452679, 1.0]], ['2, k, 8', [0.165114, 0.2192013, 1.0]], ['2, k, 9', [0.2566017, 0.1726725, 1.0]], ['2, k, 10', [0.3010939, 0.1977483, 1.0]], ['2, k, 11', [0.3073928, 0.2127711, 1.0]], ['2, k, 12', [-0.08819208, -0.2626368, 1.0]], ['2, k, 13', [-0.1279772, -0.2780365, 1.0]], ['2, k, 14', [-0.1073651, -0.6182566, 1.0]], ['2, k, 15', [-0.1470793, -0.7029427, 1.0]], ['2, k, 16', [0.08780723, -0.2635924, 1.0]], ['2, k, 17', [0.1708017, -0.2775786, 1.0]], ['2, k, 18', [0.1415629, -0.6212847, 1.0]], ['2, k, 19', [0.1870798, -0.7029085, 1.0]], ['2, k, 20', [0.005619701, 0.2496849, 1.0]], ['2, k, 21', [-0.06737612, -0.1921695, 1.0]], ['2, k, 22', [-0.1453745, -0.1686106, 1.0]], ['2, k, 23', [0.341931, 0.2140795, 1.0]], ['2, k, 24', [0.3169926, 0.183013, 1.0]]]
[['2, k, 0', [3.807353e-05, -0.2665812, 1.0]], ['2, k, 1', [0.003311379, 0.03099135, 1.0]], ['2, k, 2', [0.00595594, 0.3213378, 1.0]], ['2, k, 3', [0.004935386, 0.452783, 1.0]], ['2, k, 4', [-0.167823, 0.2010735, 1.0]], ['2, k, 5', [-0.2220221, -0.0506191, 1.0]], ['2, k, 6', [-0.242246, -0.2307261, 1.0]], ['2, k, 7', [-0.2482019, -0.239278, 1.0]], ['2, k, 8', [0.1623543, 0.2242305, 1.0]], ['2, k, 9', [0.2561768, 0.2283046, 1.0]], ['2, k, 10', [0.2965764, 0.2680784, 1.0]], ['2, k, 11', [0.3238361, 0.2776152, 1.0]], ['2, k, 12', [-0.08776247, -0.2630697, 1.0]], ['2, k, 13', [-0.1279151, -0.2780444, 1.0]], ['2, k, 14', [-0.1014133, -0.6161091, 1.0]], ['2, k, 15', [-0.144954, -0.6991907, 1.0]], ['2, k, 16', [0.08803685, -0.2633192, 1.0]], ['2, k, 17', [0.1707706, -0.2776814, 1.0]], ['2, k, 18', [0.1416005, -0.6213147, 1.0]], ['2, k, 19', [0.1868454, -0.7030758, 1.0]], ['2, k, 20', [0.005374926, 0.2496812, 1.0]], ['2, k, 21', [-0.2405211, -0.288026, 1.0]], ['2, k, 22', [-0.2503417, -0.2520041, 1.0]], ['2, k, 23', [0.3519205, 0.2964533, 1.0]], ['2, k, 24', [0.3715357, 0.2780894, 1.0]]]
