[['2, k, 0', [0.03809741, -0.2645356, 1.0]], ['2, k, 1', [0.02041547, 0.03274924, 1.0]], ['2, k, 2', [0.002801652, 0.3220441, 1.0]], ['2, k, 3', [0.004722789, 0.4546102, 1.0]], ['2, k, 4', [-0.1621699, 0.2048125, 1.0]], ['2, k, 5', [-0.2143255, -0.04032932, 1.0]], ['2, k, 6', [-0.2589534, -0.2368468, 1.0]], ['2, k, 7', [-0.2665712, -0.2818098, 1.0]], ['2, k, 8', [0.1789877, 0.2066093, 1.0]], ['2, k, 9', [0.2417218, 0.00437825, 1.0]], ['2, k, 10', [0.2020749, -0.1094816, 1.0]], ['2, k, 11', [0.1696769, -0.1390559, 1.0]], ['2, k, 12', [-0.05064987, -0.2642483, 1.0]], ['2, k, 13', [-0.126936, -0.2802235, 1.0]], ['2, k, 14', [-0.1207189, -0.6206719, 1.0]], ['2, k, 15', [-0.1148402, -0.6565012, 1.0]], ['2, k, 16', [0.1257589, -0.2571914, 1.0]], ['2, k, 17', [0.1753235, -0.270464, 1.0]], ['2, k, 18', [0.1501535, -0.6159778, 1.0]], ['2, k, 19', [0.1858128, -0.7004712, 1.0]], ['2, k, 20', [0.007140474, 0.250803, 1.0]], ['2, k, 21', [-0.274496, -0.3484251, 1.0]], ['2, k, 22', [-0.2387928, -0.297624, 1.0]], ['2, k, 23', [0.157386, -0.1800841, 1.0]], ['2, k, 24', [0.1246165, -0.1611126, 1.0]]]
[['2, k, 0', [0.03809989, -0.2645306, 1.0]], ['2, k, 1', [0.02041706, 0.03274794, 1.0]], ['2, k, 2', [0.002815109, 0.3220297, 1.0]], ['2, k, 3', [0.004549413, 0.4544591, 1.0]], ['2, k, 4', [-0.1621242, 0.2047438, 1.0]], ['2, k, 5', [-0.213999, -0.04034993, 1.0]], ['2, k, 6', [-0.2633493, -0.2505895, 1.0]], ['2, k, 7', [-0.2678706, -0.2885244, 1.0]], ['2, k, 8', [0.1789181, 0.2065723, 1.0]], ['2, k, 9', [0.2418403, 0.004299743, 1.0]], ['2, k, 10', [0.1959773, -0.1082164, 1.0]], ['2, k, 11', [0.1590048, -0.1548485, 1.0]], ['2, k, 12', [-0.05064884, -0.2642599, 1.0]], ['2, k, 13', [-0.1269523, -0.280172, 1.0]], ['2, k, 14', [-0.1209004, -0.6207663, 1.0]], ['2, k, 15', [-0.1150647, -0.6565942, 1.0]], ['2, k, 16', [0.125766, -0.2571606, 1.0]], ['2, k, 17', [0.1752815, -0.2703989, 1.0]], ['2, k, 18', [0.1499704, -0.6158788, 1.0]], ['2, k, 19', [0.1857977, -0.7003353, 1.0]], ['2, k, 20', [0.00715021, 0.2507927, 1.0]], ['2, k, 21', [-0.2781117, -0.3427141, 1.0]], ['2, k, 22', [-0.23881, -0.3022044, 1.0]], ['2, k, 23', [0.14842, -0.1969202, 1.0]], ['2, k, 24', [0.1125021, -0.1658781, 1.0]]]
[['2, k, 0', [0.03810142, -0.2645283, 1.0]], ['2, k, 1', [0.02037534, 0.03272174, 1.0]], ['2, k, 2', [0.00267613, 0.3219268, 1.0]], ['2, k, 3', [0.004532419, 0.4544609, 1.0]], ['2, k, 4', [-0.162131, 0.2046512, 1.0]], ['2, k, 5', [-0.2141087, -0.04033449, 1.0]], ['2, k, 6', [-0.2617372, -0.244198, 1.0]], ['2, k, 7', [-0.2691173, -0.2795776, 1.0]], ['2, k, 8', [0.1787969, 0.2065347, 1.0]], ['2, k, 9', [0.2418523, 0.004298175, 1.0]], ['2, k, 10', [0.2023606, -0.1093741, 1.0]], ['2, k, 11', [0.1711322, -0.139491, 1.0]], ['2, k, 12', [-0.05064861, -0.2642803, 1.0]], ['2, k, 13', [-0.1270285, -0.2801514, 1.0]], ['2, k, 14', [-0.1209985, -0.6208177, 1.0]], ['2, k, 15', [-0.1152082, -0.6566433, 1.0]], ['2, k, 16', [0.1257753, -0.2571175, 1.0]], ['2, k, 17', [0.1752572, -0.270382, 1.0]], ['2, k, 18', [0.1499462, -0.6158912, 1.0]], ['2, k, 19', [0.1857179, -0.7003376, 1.0]], ['2, k, 20', [0.007041347, 0.2507117, 1.0]], ['2, k, 21', [-0.2677896, -0.3263887, 1.0]], ['2, k, 22', [-0.2388093, -0.2890982, 1.0]], ['2, k, 23', [0.1602428, -0.1816065, 1.0]], ['2, k, 24', [0.1157934, -0.1226017, 1.0]]]
[['2, k, 0', [0.03810429, -0.264491, 1.0]], ['2, k, 1', [0.02037325, 0.03269442, 1.0]], ['2, k, 2', [0.002680704, 0.3216748, 1.0]], ['2, k, 3', [0.004448375, 0.4544478, 1.0]], ['2, k, 4', [-0.1623973, 0.2044937, 1.0]], ['2, k, 5', [-0.2153913, -0.03972369, 1.0]], ['2, k, 6', [-0.2626551, -0.2292092, 1.0]], ['2, k, 7', [-0.2719188, -0.2660512, 1.0]], ['2, k, 8', [0.1788551, 0.2064714, 1.0]], ['2, k, 9', [0.2419468, 0.0041693, 1.0]], ['2, k, 10', [0.2029598, -0.1111832, 1.0]], ['2, k, 11', [0.1748571, -0.1380823, 1.0]], ['2, k, 12', [-0.05062831, -0.2642572, 1.0]], ['2, k, 13', [-0.1270221, -0.280168, 1.0]], ['2, k, 14', [-0.1214911, -0.620697, 1.0]], ['2, k, 15', [-0.1157574, -0.6565299, 1.0]], ['2, k, 16', [0.1257597, -0.2570585, 1.0]], ['2, k, 17', [0.1752708, -0.2702588, 1.0]], ['2, k, 18', [0.14987, -0.6157908, 1.0]], ['2, k, 19', [0.1857173, -0.7001768, 1.0]], ['2, k, 20', [0.007043743, 0.2505337, 1.0]], ['2, k, 21', [-0.2819405, -0.3181864, 1.0]], ['2, k, 22', [-0.244866, -0.2785181, 1.0]], ['2, k, 23', [0.1619776, -0.1774141, 1.0]], ['2, k, 24', [0.1277522, -0.155506, 1.0]]]
[['2, k, 0', [0.03811716, -0.2644272, 1.0]], ['2, k, 1', [0.02034166, 0.03272768, 1.0]], ['2, k, 2', [0.002565028, 0.3217015, 1.0]], ['2, k, 3', [0.004163197, 0.4543755, 1.0]], ['2, k, 4', [-0.1624292, 0.2044436, 1.0]], ['2, k, 5', [-0.2178135, -0.03762052, 1.0]], ['2, k, 6', [-0.2607871, -0.2212485, 1.0]], ['2, k, 7', [-0.2735478, -0.2532676, 1.0]], ['2, k, 8', [0.178952, 0.2065393, 1.0]], ['2, k, 9', [0.2420436, 0.003934462, 1.0]], ['2, k, 10', [0.1936171, -0.1114085, 1.0]], ['2, k, 11', [0.1566033, -0.1593936, 1.0]], ['2, k, 12', [-0.05060722, -0.2642215, 1.0]], ['2, k, 13', [-0.1270253, -0.2801624, 1.0]], ['2, k, 14', [-0.1216004, -0.6207464, 1.0]], ['2, k, 15', [-0.1158807, -0.6565834, 1.0]], ['2, k, 16', [0.1257608, -0.2569687, 1.0]], ['2, k, 17', [0.175284, -0.2694228, 1.0]], ['2, k, 18', [0.1495749, -0.6148679, 1.0]], ['2, k, 19', [0.1513215, -0.650734, 1.0]], ['2, k, 20', [0.006956954, 0.2505615, 1.0]], ['2, k, 21', [-0.2798375, -0.3010681, 1.0]], ['2, k, 22', [-0.2509131, -0.2576892, 1.0]], ['2, k, 23', [0.1442909, -0.2014503, 1.0]], ['2, k, 24', [0.1078362, -0.1632814, 1.0]]]
[['2, k, 0', [0.03812023, -0.2644228, 1.0]], ['2, k, 1', [0.02030104, 0.03271808, 1.0]], ['2, k, 2', [0.002399533, 0.3216609, 1.0]], ['2, k, 3', [0.003669904, 0.4541053, 1.0]], ['2, k, 4', [-0.1625155, 0.2042818, 1.0]], ['2, k, 5', [-0.2187687, -0.02679148, 1.0]], ['2, k, 6', [-0.2575713, -0.2167043, 1.0]], ['2, k, 7', [-0.2649652, -0.2380105, 1.0]], ['2, k, 8', [0.1785917, 0.2064351, 1.0]], ['2, k, 9', [0.2420272, 0.003730179, 1.0]], ['2, k, 10', [0.1956603, -0.1111938, 1.0]], ['2, k, 11', [0.1595847, -0.157057, 1.0]], ['2, k, 12', [-0.05060674, -0.2642458, 1.0]], ['2, k, 13', [-0.1269282, -0.2800635, 1.0]], ['2, k, 14', [-0.1219806, -0.6206148, 1.0]], ['2, k, 15', [-0.1162758, -0.6564597, 1.0]], ['2, k, 16', [0.1257646, -0.2569567, 1.0]], ['2, k, 17', [0.1752762, -0.2694555, 1.0]], ['2, k, 18', [0.1497991, -0.6149751, 1.0]], ['2, k, 19', [0.151522, -0.6508451, 1.0]], ['2, k, 20', [0.006831368, 0.2505281, 1.0]], ['2, k, 21', [-0.287298, -0.2753791, 1.0]], ['2, k, 22', [-0.1983282, -0.2303305, 1.0]], ['2, k, 23', [0.1467572, -0.2007905, 1.0]], ['2, k, 24', [0.103696, -0.149038, 1.0]]]
[['2, k, 0', [0.03810937, -0.264436, 1.0]], ['2, k, 1', [0.02028581, 0.03268136, 1.0]], ['2, k, 2', [0.002393544, 0.3215967, 1.0]], ['2, k, 3', [0.003585644, 0.4540629, 1.0]], ['2, k, 4', [-0.1626504, 0.2042864, 1.0]], ['2, k, 5', [-0.2202447, -0.01884848, 1.0]], ['2, k, 6', [-0.25228, -0.2004655, 1.0]], ['2, k, 7', [-0.2624736, -0.2164455, 1.0]], ['2, k, 8', [0.1782577, 0.2058845, 1.0]], ['2, k, 9', [0.2419412, 0.00371954, 1.0]], ['2, k, 10', [0.2068201, -0.1102533, 1.0]], ['2, k, 11', [0.1631739, -0.1628042, 1.0]], ['2, k, 12', [-0.05062307, -0.2642695, 1.0]], ['2, k, 13', [-0.1274283, -0.2795092, 1.0]], ['2, k, 14', [-0.1230928, -0.6201085, 1.0]], ['2, k, 15', [-0.1174525, -0.6559627, 1.0]], ['2, k, 16', [0.1257583, -0.2569659, 1.0]], ['2, k, 17', [0.1752785, -0.269529, 1.0]], ['2, k, 18', [0.1497634, -0.6150762, 1.0]], ['2, k, 19', [0.1514058, -0.6509465, 1.0]], ['2, k, 20', [0.006822363, 0.2504691, 1.0]], ['2, k, 21', [-0.2851139, -0.2478683, 1.0]], ['2, k, 22', [-0.1985383, -0.229802, 1.0]], ['2, k, 23', [0.1502996, -0.2048955, 1.0]], ['2, k, 24', [0.1141715, -0.1755746, 1.0]]]
[['2, k, 0', [0.03810687, -0.2644567, 1.0]], ['2, k, 1', [0.02026702, 0.03266962, 1.0]], ['2, k, 2', [0.002365527, 0.3216068, 1.0]], ['2, k, 3', [0.00345458, 0.4538533, 1.0]], ['2, k, 4', [-0.1627681, 0.204043, 1.0]], ['2, k, 5', [-0.2207586, -0.009472261, 1.0]], ['2, k, 6', [-0.2472104, -0.1576968, 1.0]], ['2, k, 7', [-0.2573926, -0.1835491, 1.0]], ['2, k, 8', [0.1781562, 0.205586, 1.0]], ['2, k, 9', [0.2418698, 0.004131666, 1.0]], ['2, k, 10', [0.2066972, -0.1103032, 1.0]], ['2, k, 11', [0.1637156, -0.1619582, 1.0]], ['2, k, 12', [-0.05063216, -0.2643178, 1.0]], ['2, k, 13', [-0.1274535, -0.2793366, 1.0]], ['2, k, 14', [-0.123095, -0.6199185, 1.0]], ['2, k, 15', [-0.1175283, -0.655775, 1.0]], ['2, k, 16', [0.1257607, -0.2569744, 1.0]], ['2, k, 17', [0.1750962, -0.2695372, 1.0]], ['2, k, 18', [0.1497146, -0.615063, 1.0]], ['2, k, 19', [0.1512841, -0.6509332, 1.0]], ['2, k, 20', [0.006797122, 0.2504711, 1.0]], ['2, k, 21', [-0.2833731, -0.1909914, 1.0]], ['2, k, 22', [-0.1981587, -0.2256932, 1.0]], ['2, k, 23', [0.1497804, -0.2026198, 1.0]], ['2, k, 24', [0.1139947, -0.1633838, 1.0]]]
[['2, k, 0', [0.03810327, -0.2644513, 1.0]], ['2, k, 1', [0.02021833, 0.03265751, 1.0]], ['2, k, 2', [0.002250293, 0.3215573, 1.0]], ['2, k, 3', [0.003366308, 0.4538539, 1.0]], ['2, k, 4', [-0.1629232, 0.2040533, 1.0]], ['2, k, 5', [-0.2131772, -0.005802611, 1.0]], ['2, k, 6', [-0.2469108, -0.125235, 1.0]], ['2, k, 7', [-0.2526737, -0.1503914, 1.0]], ['2, k, 8', [0.1781459, 0.2055644, 1.0]], ['2, k, 9', [0.2416768, 0.004032091, 1.0]], ['2, k, 10', [0.2067012, -0.1077345, 1.0]], ['2, k, 11', [0.1609189, -0.1590555, 1.0]], ['2, k, 12', [-0.05063393, -0.2643141, 1.0]], ['2, k, 13', [-0.1273482, -0.2796364, 1.0]], ['2, k, 14', [-0.123158, -0.6200053, 1.0]], ['2, k, 15', [-0.1175339, -0.6558629, 1.0]], ['2, k, 16', [0.1257524, -0.2569664, 1.0]], ['2, k, 17', [0.1750892, -0.2695931, 1.0]], ['2, k, 18', [0.149781, -0.6151156, 1.0]], ['2, k, 19', [0.1514065, -0.6509854, 1.0]], ['2, k, 20', [0.006700291, 0.2504307, 1.0]], ['2, k, 21', [-0.2784276, -0.1477706, 1.0]], ['2, k, 22', [-0.1998124, -0.2196215, 1.0]], ['2, k, 23', [0.1518367, -0.2025002, 1.0]], ['2, k, 24', [0.1092445, -0.1667183, 1.0]]]
[['2, k, 0', [0.0381037, -0.2644501, 1.0]], ['2, k, 1', [0.02021305, 0.03267058, 1.0]], ['2, k, 2', [0.002243268, 0.3216055, 1.0]], ['2, k, 3', [0.003246712, 0.4538255, 1.0]], ['2, k, 4', [-0.1628715, 0.2040452, 1.0]], ['2, k, 5', [-0.2090876, 5.075968e-05, 1.0]], ['2, k, 6', [-0.2385363, -0.0759642, 1.0]], ['2, k, 7', [-0.2555324, -0.09127938, 1.0]], ['2, k, 8', [0.1781464, 0.2055502, 1.0]], ['2, k, 9', [0.2415094, 0.003979034, 1.0]], ['2, k, 10', [0.2065483, -0.1078475, 1.0]], ['2, k, 11', [0.1604842, -0.1599298, 1.0]], ['2, k, 12', [-0.05063307, -0.2643133, 1.0]], ['2, k, 13', [-0.1271279, -0.2794005, 1.0]], ['2, k, 14', [-0.1235943, -0.6195974, 1.0]], ['2, k, 15', [-0.1179432, -0.655462, 1.0]], ['2, k, 16', [0.1257522, -0.2569655, 1.0]], ['2, k, 17', [0.1751497, -0.2697005, 1.0]], ['2, k, 18', [0.1497689, -0.6151509, 1.0]], ['2, k, 19', [0.1514157, -0.6510207, 1.0]], ['2, k, 20', [0.006693596, 0.2504658, 1.0]], ['2, k, 21', [-0.2746193, -0.07383927, 1.0]], ['2, k, 22', [-0.2334182, -0.1232113, 1.0]], ['2, k, 23', [0.1539044, -0.2026769, 1.0]], ['2, k, 24', [0.1104088, -0.1728774, 1.0]]]
[['2, k, 0', [0.03812096, -0.2644679, 1.0]], ['2, k, 1', [0.02019795, 0.0326505, 1.0]], ['2, k, 2', [0.002183809, 0.3215787, 1.0]], ['2, k, 3', [0.003228968, 0.4538519, 1.0]], ['2, k, 4', [-0.1627729, 0.2039283, 1.0]], ['2, k, 5', [-0.2059209, 0.004886243, 1.0]], ['2, k, 6', [-0.2362153, -0.03162058, 1.0]], ['2, k, 7', [-0.2506856, -0.04053441, 1.0]], ['2, k, 8', [0.1780745, 0.2056503, 1.0]], ['2, k, 9', [0.2414299, 0.00383353, 1.0]], ['2, k, 10', [0.2049876, -0.1113911, 1.0]], ['2, k, 11', [0.1678561, -0.138952, 1.0]], ['2, k, 12', [-0.05060923, -0.2643901, 1.0]], ['2, k, 13', [-0.1271306, -0.2792924, 1.0]], ['2, k, 14', [-0.1240495, -0.6193581, 1.0]], ['2, k, 15', [-0.1183768, -0.6552275, 1.0]], ['2, k, 16', [0.1257727, -0.2569634, 1.0]], ['2, k, 17', [0.175075, -0.2697971, 1.0]], ['2, k, 18', [0.1492922, -0.6152388, 1.0]], ['2, k, 19', [0.1848507, -0.6998432, 1.0]], ['2, k, 20', [0.006647641, 0.2504391, 1.0]], ['2, k, 21', [-0.2690198, -0.01866416, 1.0]], ['2, k, 22', [-0.2594607, -0.0619827, 1.0]], ['2, k, 23', [0.1513807, -0.1810727, 1.0]], ['2, k, 24', [0.1162903, -0.1184297, 1.0]]]
