[['2, k, 0', [-0.1631262, 0.06107363, 1.0]], ['2, k, 1', [-0.1686638, 0.3316034, 1.0]], ['2, k, 2', [-0.1741219, 0.595399, 1.0]], ['2, k, 3', [-0.1651895, 0.7321769, 1.0]], ['2, k, 4', [-0.317324, 0.477324, 1.0]], ['2, k, 5', [-0.3540781, 0.2508425, 1.0]], ['2, k, 6', [-0.359796, 0.06846566, 1.0]], ['2, k, 7', [-0.369777, 0.007403781, 1.0]], ['2, k, 8', [-0.004189958, 0.4770063, 1.0]], ['2, k, 9', [0.03431775, 0.2375683, 1.0]], ['2, k, 10', [0.04604107, 0.05583368, 1.0]], ['2, k, 11', [0.0366633, 0.005129147, 1.0]], ['2, k, 12', [-0.2241597, 0.061324, 1.0]], ['2, k, 13', [-0.2217036, -0.2526059, 1.0]], ['2, k, 14', [-0.214001, -0.5264079, 1.0]], ['2, k, 15', [-0.1979871, -0.5731723, 1.0]], ['2, k, 16', [-0.09843157, 0.05946385, 1.0]], ['2, k, 17', [-0.1161695, -0.2557181, 1.0]], ['2, k, 18', [-0.1051894, -0.5288826, 1.0]], ['2, k, 19', [-0.1141478, -0.6228489, 1.0]], ['2, k, 20', [-0.1728168, 0.5304025, 1.0]], ['2, k, 21', [-0.3730934, -0.05399203, 1.0]], ['2, k, 22', [-0.3966764, 0.02720723, 1.0]], ['2, k, 23', [0.04975297, -0.04869231, 1.0]], ['2, k, 24', [0.0004666563, -0.0003596556, 1.0]]]
[['2, k, 0', [-0.1633987, 0.06110288, 1.0]], ['2, k, 1', [-0.168979, 0.331803, 1.0]], ['2, k, 2', [-0.1744111, 0.5956957, 1.0]], ['2, k, 3', [-0.1656448, 0.7328614, 1.0]], ['2, k, 4', [-0.3183588, 0.4768936, 1.0]], ['2, k, 5', [-0.3563964, 0.2507361, 1.0]], ['2, k, 6', [-0.3608384, 0.06902177, 1.0]], ['2, k, 7', [-0.3671456, 0.005637371, 1.0]], ['2, k, 8', [-0.005139907, 0.4772251, 1.0]], ['2, k, 9', [0.03812204, 0.2366345, 1.0]], ['2, k, 10', [0.07615367, 0.05521121, 1.0]], ['2, k, 11', [0.07974808, 0.00819224, 1.0]], ['2, k, 12', [-0.2243888, 0.06128687, 1.0]], ['2, k, 13', [-0.2205616, -0.2528169, 1.0]], ['2, k, 14', [-0.2145029, -0.5263568, 1.0]], ['2, k, 15', [-0.1985499, -0.5731479, 1.0]], ['2, k, 16', [-0.09873378, 0.05955069, 1.0]], ['2, k, 17', [-0.115374, -0.255814, 1.0]], ['2, k, 18', [-0.1023766, -0.5291635, 1.0]], ['2, k, 19', [-0.1143136, -0.6231596, 1.0]], ['2, k, 20', [-0.173118, 0.5306816, 1.0]], ['2, k, 21', [-0.359581, -0.05420895, 1.0]], ['2, k, 22', [-0.3784683, 0.03871886, 1.0]], ['2, k, 23', [0.08462329, -0.05582693, 1.0]], ['2, k, 24', [0.05844991, -0.01053016, 1.0]]]
[['2, k, 0', [-0.1636205, 0.06101655, 1.0]], ['2, k, 1', [-0.1693445, 0.331882, 1.0]], ['2, k, 2', [-0.1750911, 0.5959741, 1.0]], ['2, k, 3', [-0.1658692, 0.7328638, 1.0]], ['2, k, 4', [-0.3196415, 0.4749731, 1.0]], ['2, k, 5', [-0.3576133, 0.2506128, 1.0]], ['2, k, 6', [-0.3610988, 0.06865631, 1.0]], ['2, k, 7', [-0.3677055, 0.01080521, 1.0]], ['2, k, 8', [-0.005525378, 0.4775667, 1.0]], ['2, k, 9', [0.04069251, 0.2386551, 1.0]], ['2, k, 10', [0.08841443, 0.0586872, 1.0]], ['2, k, 11', [0.1009481, 0.01014426, 1.0]], ['2, k, 12', [-0.2245967, 0.06123468, 1.0]], ['2, k, 13', [-0.2206368, -0.2529224, 1.0]], ['2, k, 14', [-0.2154015, -0.5532703, 1.0]], ['2, k, 15', [-0.2073245, -0.6254122, 1.0]], ['2, k, 16', [-0.09895084, 0.05941716, 1.0]], ['2, k, 17', [-0.1156597, -0.2560879, 1.0]], ['2, k, 18', [-0.1028119, -0.5294123, 1.0]], ['2, k, 19', [-0.1094077, -0.623123, 1.0]], ['2, k, 20', [-0.1737047, 0.5309021, 1.0]], ['2, k, 21', [-0.3567602, -0.05371997, 1.0]], ['2, k, 22', [-0.3737942, 0.02946975, 1.0]], ['2, k, 23', [0.1122055, -0.05814325, 1.0]], ['2, k, 24', [0.07408539, 0.01925108, 1.0]]]
[['2, k, 0', [-0.1651248, 0.06129333, 1.0]], ['2, k, 1', [-0.1705137, 0.3325604, 1.0]], ['2, k, 2', [-0.1759911, 0.5970585, 1.0]], ['2, k, 3', [-0.1661062, 0.7329921, 1.0]], ['2, k, 4', [-0.3177159, 0.4778583, 1.0]], ['2, k, 5', [-0.3596452, 0.2519622, 1.0]], ['2, k, 6', [-0.3616965, 0.06996495, 1.0]], ['2, k, 7', [-0.3683437, 0.01215139, 1.0]], ['2, k, 8', [-0.005876203, 0.4776062, 1.0]], ['2, k, 9', [0.04867831, 0.2439129, 1.0]], ['2, k, 10', [0.1155824, 0.06894934, 1.0]], ['2, k, 11', [0.1298653, 0.008413344, 1.0]], ['2, k, 12', [-0.2259426, 0.06166161, 1.0]], ['2, k, 13', [-0.2247623, -0.2528325, 1.0]], ['2, k, 14', [-0.2157773, -0.5265571, 1.0]], ['2, k, 15', [-0.198965, -0.5733916, 1.0]], ['2, k, 16', [-0.1005832, 0.05952083, 1.0]], ['2, k, 17', [-0.1144942, -0.2565278, 1.0]], ['2, k, 18', [-0.1032879, -0.530011, 1.0]], ['2, k, 19', [-0.1094429, -0.6227675, 1.0]], ['2, k, 20', [-0.174676, 0.5318826, 1.0]], ['2, k, 21', [-0.356968, -0.0455843, 1.0]], ['2, k, 22', [-0.3741561, 0.03260487, 1.0]], ['2, k, 23', [0.1454117, -0.05461401, 1.0]], ['2, k, 24', [0.1062871, 0.006218696, 1.0]]]
[['2, k, 0', [-0.166773, 0.06166328, 1.0]], ['2, k, 1', [-0.1714258, 0.3332871, 1.0]], ['2, k, 2', [-0.1764699, 0.5982969, 1.0]], ['2, k, 3', [-0.1664949, 0.7331816, 1.0]], ['2, k, 4', [-0.3167696, 0.4789653, 1.0]], ['2, k, 5', [-0.3620369, 0.2516143, 1.0]], ['2, k, 6', [-0.3628283, 0.0700784, 1.0]], ['2, k, 7', [-0.3661465, 0.01611713, 1.0]], ['2, k, 8', [-0.006417523, 0.4779133, 1.0]], ['2, k, 9', [0.08776285, 0.2676088, 1.0]], ['2, k, 10', [0.1700994, 0.1003805, 1.0]], ['2, k, 11', [0.1954093, 0.04017796, 1.0]], ['2, k, 12', [-0.2273474, 0.06222215, 1.0]], ['2, k, 13', [-0.225448, -0.2524778, 1.0]], ['2, k, 14', [-0.2176739, -0.5562993, 1.0]], ['2, k, 15', [-0.2071674, -0.628741, 1.0]], ['2, k, 16', [-0.1024578, 0.05966775, 1.0]], ['2, k, 17', [-0.1138523, -0.2570276, 1.0]], ['2, k, 18', [-0.1066802, -0.5304419, 1.0]], ['2, k, 19', [-0.1091354, -0.6248143, 1.0]], ['2, k, 20', [-0.1752636, 0.5329562, 1.0]], ['2, k, 21', [-0.35357, -0.05207041, 1.0]], ['2, k, 22', [-0.3734315, 0.04148716, 1.0]], ['2, k, 23', [0.2212165, -0.02005391, 1.0]], ['2, k, 24', [0.1808999, 0.03191708, 1.0]]]
[['2, k, 0', [-0.1672819, 0.06207741, 1.0]], ['2, k, 1', [-0.1727269, 0.3339728, 1.0]], ['2, k, 2', [-0.1785959, 0.5991942, 1.0]], ['2, k, 3', [-0.1670074, 0.7333858, 1.0]], ['2, k, 4', [-0.3186541, 0.4785031, 1.0]], ['2, k, 5', [-0.3650103, 0.251433, 1.0]], ['2, k, 6', [-0.3639225, 0.06992225, 1.0]], ['2, k, 7', [-0.3611023, 0.01798672, 1.0]], ['2, k, 8', [-0.007111344, 0.4827215, 1.0]], ['2, k, 9', [0.1283169, 0.2917511, 1.0]], ['2, k, 10', [0.2302961, 0.1370623, 1.0]], ['2, k, 11', [0.2649404, 0.09519563, 1.0]], ['2, k, 12', [-0.2277494, 0.06242167, 1.0]], ['2, k, 13', [-0.2253967, -0.2522826, 1.0]], ['2, k, 14', [-0.2192225, -0.5532405, 1.0]], ['2, k, 15', [-0.2071725, -0.6257678, 1.0]], ['2, k, 16', [-0.1030659, 0.06036396, 1.0]], ['2, k, 17', [-0.113826, -0.2565956, 1.0]], ['2, k, 18', [-0.1064905, -0.5301031, 1.0]], ['2, k, 19', [-0.1102273, -0.6234849, 1.0]], ['2, k, 20', [-0.1771968, 0.5338271, 1.0]], ['2, k, 21', [-0.3589104, -0.04856741, 1.0]], ['2, k, 22', [-0.3792165, 0.02521345, 1.0]], ['2, k, 23', [0.3031163, 0.04230952, 1.0]], ['2, k, 24', [0.2570656, 0.08164075, 1.0]]]
[['2, k, 0', [-0.167885, 0.06302581, 1.0]], ['2, k, 1', [-0.1740942, 0.3345016, 1.0]], ['2, k, 2', [-0.1808805, 0.5990316, 1.0]], ['2, k, 3', [-0.16892, 0.7328182, 1.0]], ['2, k, 4', [-0.3234962, 0.4781484, 1.0]], ['2, k, 5', [-0.367976, 0.2525351, 1.0]], ['2, k, 6', [-0.3643671, 0.07076061, 1.0]], ['2, k, 7', [-0.3589771, 0.01804478, 1.0]], ['2, k, 8', [-0.009210357, 0.4886922, 1.0]], ['2, k, 9', [0.1659929, 0.349017, 1.0]], ['2, k, 10', [0.3107302, 0.2402183, 1.0]], ['2, k, 11', [0.3447009, 0.2062414, 1.0]], ['2, k, 12', [-0.2282936, 0.06326348, 1.0]], ['2, k, 13', [-0.2263912, -0.2515317, 1.0]], ['2, k, 14', [-0.2152912, -0.552694, 1.0]], ['2, k, 15', [-0.2084141, -0.626472, 1.0]], ['2, k, 16', [-0.1036941, 0.06138228, 1.0]], ['2, k, 17', [-0.1159295, -0.2558682, 1.0]], ['2, k, 18', [-0.1074566, -0.5654502, 1.0]], ['2, k, 19', [-0.1128648, -0.6339095, 1.0]], ['2, k, 20', [-0.1792438, 0.5338873, 1.0]], ['2, k, 21', [-0.355547, -0.05084964, 1.0]], ['2, k, 22', [-0.3783165, 0.01872922, 1.0]], ['2, k, 23', [0.3861283, 0.1677977, 1.0]], ['2, k, 24', [0.3359663, 0.1964116, 1.0]]]
[['2, k, 0', [-0.168852, 0.06396975, 1.0]], ['2, k, 1', [-0.1751691, 0.3348751, 1.0]], ['2, k, 2', [-0.1818931, 0.5988673, 1.0]], ['2, k, 3', [-0.1708238, 0.7326381, 1.0]], ['2, k, 4', [-0.3266577, 0.4763377, 1.0]], ['2, k, 5', [-0.3692124, 0.2527878, 1.0]], ['2, k, 6', [-0.3644823, 0.07106221, 1.0]], ['2, k, 7', [-0.3568293, 0.01895639, 1.0]], ['2, k, 8', [-0.01107314, 0.4932758, 1.0]], ['2, k, 9', [0.1673443, 0.3600793, 1.0]], ['2, k, 10', [0.3212276, 0.2700802, 1.0]], ['2, k, 11', [0.35785, 0.2484609, 1.0]], ['2, k, 12', [-0.2291628, 0.06409657, 1.0]], ['2, k, 13', [-0.2276604, -0.2506422, 1.0]], ['2, k, 14', [-0.2178216, -0.5520408, 1.0]], ['2, k, 15', [-0.2091541, -0.625833, 1.0]], ['2, k, 16', [-0.1047527, 0.06243766, 1.0]], ['2, k, 17', [-0.1161046, -0.2548756, 1.0]], ['2, k, 18', [-0.1076173, -0.5705084, 1.0]], ['2, k, 19', [-0.1111953, -0.6369731, 1.0]], ['2, k, 20', [-0.1802807, 0.5338616, 1.0]], ['2, k, 21', [-0.3565534, -0.04978618, 1.0]], ['2, k, 22', [-0.3770979, 0.0214492, 1.0]], ['2, k, 23', [0.415668, 0.2072244, 1.0]], ['2, k, 24', [0.3190696, 0.2577464, 1.0]]]
[['2, k, 0', [-0.1696212, 0.06512937, 1.0]], ['2, k, 1', [-0.1767119, 0.3357293, 1.0]], ['2, k, 2', [-0.1843019, 0.5993435, 1.0]], ['2, k, 3', [-0.1725875, 0.7332187, 1.0]], ['2, k, 4', [-0.3291394, 0.4759, 1.0]], ['2, k, 5', [-0.3709549, 0.2521377, 1.0]], ['2, k, 6', [-0.3643963, 0.0701215, 1.0]], ['2, k, 7', [-0.3553826, 0.01973426, 1.0]], ['2, k, 8', [-0.01134587, 0.4974972, 1.0]], ['2, k, 9', [0.1715134, 0.3818451, 1.0]], ['2, k, 10', [0.3368812, 0.3138646, 1.0]], ['2, k, 11', [0.365593, 0.290578, 1.0]], ['2, k, 12', [-0.2296664, 0.06508353, 1.0]], ['2, k, 13', [-0.2271701, -0.2499165, 1.0]], ['2, k, 14', [-0.2175218, -0.5519663, 1.0]], ['2, k, 15', [-0.2099321, -0.6255023, 1.0]], ['2, k, 16', [-0.1058138, 0.06376031, 1.0]], ['2, k, 17', [-0.1163379, -0.2537735, 1.0]], ['2, k, 18', [-0.1075338, -0.570405, 1.0]], ['2, k, 19', [-0.1122106, -0.6377882, 1.0]], ['2, k, 20', [-0.1824692, 0.5344537, 1.0]], ['2, k, 21', [-0.3536879, -0.04849621, 1.0]], ['2, k, 22', [-0.3788787, 0.01175202, 1.0]], ['2, k, 23', [0.426028, 0.2500687, 1.0]], ['2, k, 24', [0.3411385, 0.2887287, 1.0]]]
[['2, k, 0', [-0.1705279, 0.06655001, 1.0]], ['2, k, 1', [-0.1785476, 0.3364649, 1.0]], ['2, k, 2', [-0.1872567, 0.5991127, 1.0]], ['2, k, 3', [-0.1743599, 0.7322931, 1.0]], ['2, k, 4', [-0.3320482, 0.4778422, 1.0]], ['2, k, 5', [-0.3718053, 0.2525879, 1.0]], ['2, k, 6', [-0.3643052, 0.07044609, 1.0]], ['2, k, 7', [-0.3525467, 0.01890599, 1.0]], ['2, k, 8', [-0.01039241, 0.4992423, 1.0]], ['2, k, 9', [0.1767288, 0.4075288, 1.0]], ['2, k, 10', [0.3392783, 0.3400604, 1.0]], ['2, k, 11', [0.4015645, 0.3112088, 1.0]], ['2, k, 12', [-0.2304614, 0.06670314, 1.0]], ['2, k, 13', [-0.2287861, -0.2487535, 1.0]], ['2, k, 14', [-0.2204877, -0.5597838, 1.0]], ['2, k, 15', [-0.2085056, -0.6298585, 1.0]], ['2, k, 16', [-0.1068199, 0.06503211, 1.0]], ['2, k, 17', [-0.1164458, -0.2529126, 1.0]], ['2, k, 18', [-0.1074547, -0.5705451, 1.0]], ['2, k, 19', [-0.1095118, -0.6375804, 1.0]], ['2, k, 20', [-0.1851377, 0.5345109, 1.0]], ['2, k, 21', [-0.348846, -0.05235973, 1.0]], ['2, k, 22', [-0.3727668, 0.02702844, 1.0]], ['2, k, 23', [0.4523863, 0.2805399, 1.0]], ['2, k, 24', [0.3928203, 0.2982498, 1.0]]]
[['2, k, 0', [-0.1706961, 0.06754854, 1.0]], ['2, k, 1', [-0.1791611, 0.3370293, 1.0]], ['2, k, 2', [-0.188216, 0.5993819, 1.0]], ['2, k, 3', [-0.1751851, 0.7322468, 1.0]], ['2, k, 4', [-0.332512, 0.4774638, 1.0]], ['2, k, 5', [-0.3722688, 0.2523872, 1.0]], ['2, k, 6', [-0.3643301, 0.07028762, 1.0]], ['2, k, 7', [-0.3529992, 0.01923261, 1.0]], ['2, k, 8', [-0.009015622, 0.5023905, 1.0]], ['2, k, 9', [0.1921919, 0.428785, 1.0]], ['2, k, 10', [0.3566416, 0.3697672, 1.0]], ['2, k, 11', [0.4043821, 0.3570459, 1.0]], ['2, k, 12', [-0.2305779, 0.06757153, 1.0]], ['2, k, 13', [-0.225673, -0.247571, 1.0]], ['2, k, 14', [-0.2207815, -0.5597172, 1.0]], ['2, k, 15', [-0.2088015, -0.6295057, 1.0]], ['2, k, 16', [-0.1070588, 0.06635199, 1.0]], ['2, k, 17', [-0.1164639, -0.2519014, 1.0]], ['2, k, 18', [-0.1064944, -0.5692756, 1.0]], ['2, k, 19', [-0.1097916, -0.6361402, 1.0]], ['2, k, 20', [-0.1860164, 0.5348521, 1.0]], ['2, k, 21', [-0.3519076, -0.04920458, 1.0]], ['2, k, 22', [-0.3796567, 0.01446275, 1.0]], ['2, k, 23', [0.4657521, 0.3226688, 1.0]], ['2, k, 24', [0.3979547, 0.3426407, 1.0]]]
