[['2, k, 0', [0.0491049, -0.435843, 1.0]], ['2, k, 1', [0.0511594, -0.144177, 1.0]], ['2, k, 2', [0.0529768, 0.142721, 1.0]], ['2, k, 3', [0.0578019, 0.285855, 1.0]], ['2, k, 4', [-0.0840798, 0.0763291, 1.0]], ['2, k, 5', [-0.167331, 0.196856, 1.0]], ['2, k, 6', [-0.215691, 0.387128, 1.0]], ['2, k, 7', [-0.251008, 0.570262, 1.0]], ['2, k, 8', [0.203236, 0.0819641, 1.0]], ['2, k, 9', [0.167533, -0.0984584, 1.0]], ['2, k, 10', [0.160607, -0.31006, 1.0]], ['2, k, 11', [0.145463, -0.382862, 1.0]], ['2, k, 12', [-0.0166833, -0.432653, 1.0]], ['2, k, 13', [-0.0560087, -0.851674, 1.0]], ['2, k, 14', [-0.0308991, -0.701198, 1.0]], ['2, k, 15', [-0.0343118, -0.805012, 1.0]], ['2, k, 16', [0.113872, -0.430039, 1.0]], ['2, k, 17', [0.141222, -0.849954, 1.0]], ['2, k, 18', [0.165104, -0.775415, 1.0]], ['2, k, 19', [0.170106, -0.874327, 1.0]], ['2, k, 20', [0.0525642, 0.0716463, 1.0]], ['2, k, 21', [-0.26876, 0.614995, 1.0]], ['2, k, 22', [-0.290928, 0.568879, 1.0]], ['2, k, 23', [0.153324, -0.450156, 1.0]], ['2, k, 24', [0.0939887, -0.379144, 1.0]]]
[['2, k, 0', [0.0525195, -0.432156, 1.0]], ['2, k, 1', [0.0514379, -0.143519, 1.0]], ['2, k, 2', [0.0524494, 0.142517, 1.0]], ['2, k, 3', [0.0574457, 0.285146, 1.0]], ['2, k, 4', [-0.0839712, 0.0764368, 1.0]], ['2, k, 5', [-0.152484, 0.218194, 1.0]], ['2, k, 6', [-0.206213, 0.407499, 1.0]], ['2, k, 7', [-0.251965, 0.570184, 1.0]], ['2, k, 8', [0.203213, 0.0819523, 1.0]], ['2, k, 9', [0.163248, -0.0969535, 1.0]], ['2, k, 10', [0.242057, 0.0977539, 1.0]], ['2, k, 11', [0.244218, 0.148027, 1.0]], ['2, k, 12', [-0.0131304, -0.428614, 1.0]], ['2, k, 13', [-0.0755565, -0.835945, 1.0]], ['2, k, 14', [-0.0719615, -1.1426, 1.0]], ['2, k, 15', [-0.0604104, -1.20143, 1.0]], ['2, k, 16', [0.11708, -0.426769, 1.0]], ['2, k, 17', [0.158545, -0.88764, 1.0]], ['2, k, 18', [0.177341, -1.15194, 1.0]], ['2, k, 19', [0.1488, -1.22568, 1.0]], ['2, k, 20', [0.0522853, 0.071595, 1.0]], ['2, k, 21', [-0.263991, 0.613435, 1.0]], ['2, k, 22', [-0.290752, 0.568136, 1.0]], ['2, k, 23', [0.264528, 0.207119, 1.0]], ['2, k, 24', [0.27553, 0.131176, 1.0]]]
[['2, k, 0', [0.0311101, -0.430293, 1.0]], ['2, k, 1', [0.046562, -0.141827, 1.0]], ['2, k, 2', [0.0521433, 0.143059, 1.0]], ['2, k, 3', [0.0570603, 0.285262, 1.0]], ['2, k, 4', [-0.0835607, 0.0758066, 1.0]], ['2, k, 5', [-0.167243, 0.203964, 1.0]], ['2, k, 6', [-0.214375, 0.397218, 1.0]], ['2, k, 7', [-0.238471, 0.561022, 1.0]], ['2, k, 8', [0.199362, 0.0731966, 1.0]], ['2, k, 9', [0.154877, -0.112853, 1.0]], ['2, k, 10', [0.228897, 0.0909782, 1.0]], ['2, k, 11', [0.246454, 0.15393, 1.0]], ['2, k, 12', [-0.0313586, -0.424671, 1.0]], ['2, k, 13', [-0.0641285, -0.770285, 1.0]], ['2, k, 14', [-0.0597655, -1.09919, 1.0]], ['2, k, 15', [-0.0620422, -1.17188, 1.0]], ['2, k, 16', [0.0954651, -0.427655, 1.0]], ['2, k, 17', [0.128538, -0.735489, 1.0]], ['2, k, 18', [0.150789, -1.10181, 1.0]], ['2, k, 19', [0.138299, -1.17055, 1.0]], ['2, k, 20', [0.0518641, 0.0719442, 1.0]], ['2, k, 21', [-0.250541, 0.604305, 1.0]], ['2, k, 22', [-0.27714, 0.558125, 1.0]], ['2, k, 23', [0.249573, 0.215661, 1.0]], ['2, k, 24', [0.27637, 0.132373, 1.0]]]
[['2, k, 0', [0.0312934, -0.430537, 1.0]], ['2, k, 1', [0.0456477, -0.14192, 1.0]], ['2, k, 2', [0.0521442, 0.143122, 1.0]], ['2, k, 3', [0.0569519, 0.285404, 1.0]], ['2, k, 4', [-0.0835126, 0.0753596, 1.0]], ['2, k, 5', [-0.152122, 0.223973, 1.0]], ['2, k, 6', [-0.203877, 0.415264, 1.0]], ['2, k, 7', [-0.246769, 0.558027, 1.0]], ['2, k, 8', [0.199168, 0.0727975, 1.0]], ['2, k, 9', [0.152115, -0.107865, 1.0]], ['2, k, 10', [0.228094, 0.096188, 1.0]], ['2, k, 11', [0.245765, 0.152062, 1.0]], ['2, k, 12', [-0.0314142, -0.425088, 1.0]], ['2, k, 13', [-0.0633431, -0.770671, 1.0]], ['2, k, 14', [-0.0616082, -1.0981, 1.0]], ['2, k, 15', [-0.0624449, -1.17201, 1.0]], ['2, k, 16', [0.095633, -0.427771, 1.0]], ['2, k, 17', [0.127884, -0.744154, 1.0]], ['2, k, 18', [0.150891, -1.10588, 1.0]], ['2, k, 19', [0.136227, -1.16921, 1.0]], ['2, k, 20', [0.0517255, 0.0720372, 1.0]], ['2, k, 21', [-0.256949, 0.602489, 1.0]], ['2, k, 22', [-0.288311, 0.554786, 1.0]], ['2, k, 23', [0.253412, 0.214501, 1.0]], ['2, k, 24', [0.277965, 0.132644, 1.0]]]
[['2, k, 0', [0.0313596, -0.430895, 1.0]], ['2, k, 1', [0.0447913, -0.142099, 1.0]], ['2, k, 2', [0.0518174, 0.143197, 1.0]], ['2, k, 3', [0.0566593, 0.285895, 1.0]], ['2, k, 4', [-0.0835598, 0.0748531, 1.0]], ['2, k, 5', [-0.152196, 0.220566, 1.0]], ['2, k, 6', [-0.203796, 0.407472, 1.0]], ['2, k, 7', [-0.25065, 0.546756, 1.0]], ['2, k, 8', [0.197145, 0.0678813, 1.0]], ['2, k, 9', [0.140644, -0.100089, 1.0]], ['2, k, 10', [0.214909, 0.10725, 1.0]], ['2, k, 11', [0.220319, 0.144211, 1.0]], ['2, k, 12', [-0.0316165, -0.425343, 1.0]], ['2, k, 13', [-0.0626963, -0.772964, 1.0]], ['2, k, 14', [-0.0621362, -1.0964, 1.0]], ['2, k, 15', [-0.0633769, -1.1723, 1.0]], ['2, k, 16', [0.0957676, -0.428607, 1.0]], ['2, k, 17', [0.1279, -0.743973, 1.0]], ['2, k, 18', [0.150747, -1.10362, 1.0]], ['2, k, 19', [0.137028, -1.1657, 1.0]], ['2, k, 20', [0.0512884, 0.0721074, 1.0]], ['2, k, 21', [-0.26511, 0.585909, 1.0]], ['2, k, 22', [-0.286065, 0.523461, 1.0]], ['2, k, 23', [0.228009, 0.206664, 1.0]], ['2, k, 24', [0.253535, 0.12534, 1.0]]]
[['2, k, 0', [0.0312052, -0.431264, 1.0]], ['2, k, 1', [0.0444286, -0.142355, 1.0]], ['2, k, 2', [0.0517802, 0.142412, 1.0]], ['2, k, 3', [0.0569015, 0.285646, 1.0]], ['2, k, 4', [-0.0835542, 0.0751247, 1.0]], ['2, k, 5', [-0.166902, 0.204834, 1.0]], ['2, k, 6', [-0.215294, 0.386991, 1.0]], ['2, k, 7', [-0.252189, 0.527136, 1.0]], ['2, k, 8', [0.197136, 0.0678491, 1.0]], ['2, k, 9', [0.143985, -0.10955, 1.0]], ['2, k, 10', [0.216415, 0.0982425, 1.0]], ['2, k, 11', [0.216789, 0.1309, 1.0]], ['2, k, 12', [-0.0318963, -0.425538, 1.0]], ['2, k, 13', [-0.0619249, -0.773255, 1.0]], ['2, k, 14', [-0.0641972, -1.11741, 1.0]], ['2, k, 15', [-0.0685132, -1.17665, 1.0]], ['2, k, 16', [0.0955861, -0.429007, 1.0]], ['2, k, 17', [0.123238, -0.769572, 1.0]], ['2, k, 18', [0.150686, -1.1047, 1.0]], ['2, k, 19', [0.143102, -1.16611, 1.0]], ['2, k, 20', [0.0509558, 0.0717097, 1.0]], ['2, k, 21', [-0.265207, 0.567384, 1.0]], ['2, k, 22', [-0.286066, 0.515793, 1.0]], ['2, k, 23', [0.224489, 0.193394, 1.0]], ['2, k, 24', [0.250029, 0.112125, 1.0]]]
[['2, k, 0', [0.031068, -0.431238, 1.0]], ['2, k, 1', [0.0436511, -0.142514, 1.0]], ['2, k, 2', [0.0511303, 0.141799, 1.0]], ['2, k, 3', [0.0571095, 0.285424, 1.0]], ['2, k, 4', [-0.083563, 0.0746889, 1.0]], ['2, k, 5', [-0.167244, 0.195297, 1.0]], ['2, k, 6', [-0.213063, 0.371724, 1.0]], ['2, k, 7', [-0.236754, 0.413508, 1.0]], ['2, k, 8', [0.197906, 0.0721099, 1.0]], ['2, k, 9', [0.140922, -0.100146, 1.0]], ['2, k, 10', [0.217979, 0.102561, 1.0]], ['2, k, 11', [0.197152, 0.145249, 1.0]], ['2, k, 12', [-0.0323622, -0.425855, 1.0]], ['2, k, 13', [-0.0604282, -0.779107, 1.0]], ['2, k, 14', [-0.06142, -1.10637, 1.0]], ['2, k, 15', [-0.0695081, -1.17814, 1.0]], ['2, k, 16', [0.0952549, -0.42846, 1.0]], ['2, k, 17', [0.124411, -0.772922, 1.0]], ['2, k, 18', [0.151346, -1.10599, 1.0]], ['2, k, 19', [0.142798, -1.16818, 1.0]], ['2, k, 20', [0.0502284, 0.0713208, 1.0]], ['2, k, 21', [-0.238584, 0.456087, 1.0]], ['2, k, 22', [-0.258997, 0.430761, 1.0]], ['2, k, 23', [0.204913, 0.207698, 1.0]], ['2, k, 24', [0.230533, 0.126367, 1.0]]]
[['2, k, 0', [0.0304091, -0.43328, 1.0]], ['2, k, 1', [0.0421352, -0.143584, 1.0]], ['2, k, 2', [0.0489268, 0.141142, 1.0]], ['2, k, 3', [0.0570935, 0.284731, 1.0]], ['2, k, 4', [-0.0837976, 0.0744334, 1.0]], ['2, k, 5', [-0.168416, 0.187441, 1.0]], ['2, k, 6', [-0.217206, 0.356434, 1.0]], ['2, k, 7', [-0.25651, 0.479325, 1.0]], ['2, k, 8', [0.197279, 0.0783457, 1.0]], ['2, k, 9', [0.141292, -0.099902, 1.0]], ['2, k, 10', [0.214513, 0.100009, 1.0]], ['2, k, 11', [0.239094, 0.166536, 1.0]], ['2, k, 12', [-0.033485, -0.429477, 1.0]], ['2, k, 13', [-0.0602106, -0.782041, 1.0]], ['2, k, 14', [-0.0613827, -1.11636, 1.0]], ['2, k, 15', [-0.113037, -1.17969, 1.0]], ['2, k, 16', [0.0947369, -0.429151, 1.0]], ['2, k, 17', [0.124678, -0.772745, 1.0]], ['2, k, 18', [0.152407, -1.10631, 1.0]], ['2, k, 19', [0.14462, -1.16665, 1.0]], ['2, k, 20', [0.0480116, 0.0705418, 1.0]], ['2, k, 21', [-0.277737, 0.52456, 1.0]], ['2, k, 22', [-0.288488, 0.467009, 1.0]], ['2, k, 23', [0.246722, 0.228917, 1.0]], ['2, k, 24', [0.272165, 0.147495, 1.0]]]
[['2, k, 0', [0.0306576, -0.434503, 1.0]], ['2, k, 1', [0.0421823, -0.14429, 1.0]], ['2, k, 2', [0.0499446, 0.140273, 1.0]], ['2, k, 3', [0.05716, 0.283891, 1.0]], ['2, k, 4', [-0.0849899, 0.0747658, 1.0]], ['2, k, 5', [-0.167889, 0.18158, 1.0]], ['2, k, 6', [-0.223299, 0.32999, 1.0]], ['2, k, 7', [-0.264263, 0.452186, 1.0]], ['2, k, 8', [0.197453, 0.0800568, 1.0]], ['2, k, 9', [0.143276, -0.107506, 1.0]], ['2, k, 10', [0.224991, 0.0908874, 1.0]], ['2, k, 11', [0.226333, 0.150294, 1.0]], ['2, k, 12', [-0.0333739, -0.430956, 1.0]], ['2, k, 13', [-0.0600698, -0.78105, 1.0]], ['2, k, 14', [-0.060862, -1.1162, 1.0]], ['2, k, 15', [-0.0712891, -1.18164, 1.0]], ['2, k, 16', [0.0949136, -0.42982, 1.0]], ['2, k, 17', [0.127961, -0.779119, 1.0]], ['2, k, 18', [0.153161, -1.10912, 1.0]], ['2, k, 19', [0.148001, -1.17145, 1.0]], ['2, k, 20', [0.0485067, 0.0697323, 1.0]], ['2, k, 21', [-0.305942, 0.483395, 1.0]], ['2, k, 22', [-0.294771, 0.431473, 1.0]], ['2, k, 23', [0.233997, 0.212725, 1.0]], ['2, k, 24', [0.259488, 0.131367, 1.0]]]
[['2, k, 0', [0.0306117, -0.434232, 1.0]], ['2, k, 1', [0.0419981, -0.144237, 1.0]], ['2, k, 2', [0.049892, 0.139957, 1.0]], ['2, k, 3', [0.0568229, 0.283589, 1.0]], ['2, k, 4', [-0.0848954, 0.0743847, 1.0]], ['2, k, 5', [-0.170021, 0.174428, 1.0]], ['2, k, 6', [-0.227711, 0.316559, 1.0]], ['2, k, 7', [-0.266426, 0.42061, 1.0]], ['2, k, 8', [0.198016, 0.0796667, 1.0]], ['2, k, 9', [0.145089, -0.110463, 1.0]], ['2, k, 10', [0.226253, 0.0868254, 1.0]], ['2, k, 11', [0.222287, 0.13579, 1.0]], ['2, k, 12', [-0.0336889, -0.430188, 1.0]], ['2, k, 13', [-0.0600486, -0.781028, 1.0]], ['2, k, 14', [-0.0594279, -1.12128, 1.0]], ['2, k, 15', [-0.07212, -1.18354, 1.0]], ['2, k, 16', [0.0949269, -0.429752, 1.0]], ['2, k, 17', [0.127082, -0.77879, 1.0]], ['2, k, 18', [0.153139, -1.10916, 1.0]], ['2, k, 19', [0.141731, -1.17009, 1.0]], ['2, k, 20', [0.0482883, 0.0695679, 1.0]], ['2, k, 21', [-0.30053, 0.446543, 1.0]], ['2, k, 22', [-0.310231, 0.417161, 1.0]], ['2, k, 23', [0.229961, 0.198266, 1.0]], ['2, k, 24', [0.255463, 0.116964, 1.0]]]
[['2, k, 0', [0.0306768, -0.434987, 1.0]], ['2, k, 1', [0.0418986, -0.144649, 1.0]], ['2, k, 2', [0.0502736, 0.140082, 1.0]], ['2, k, 3', [0.0570546, 0.2821, 1.0]], ['2, k, 4', [-0.0848236, 0.0711812, 1.0]], ['2, k, 5', [-0.185628, 0.17094, 1.0]], ['2, k, 6', [-0.23957, 0.311295, 1.0]], ['2, k, 7', [-0.267374, 0.380073, 1.0]], ['2, k, 8', [0.191631, 0.0537562, 1.0]], ['2, k, 9', [0.307442, 0.176746, 1.0]], ['2, k, 10', [0.354341, 0.340792, 1.0]], ['2, k, 11', [0.362101, 0.410508, 1.0]], ['2, k, 12', [-0.0337866, -0.43049, 1.0]], ['2, k, 13', [-0.0606188, -0.797669, 1.0]], ['2, k, 14', [-0.0597343, -1.11671, 1.0]], ['2, k, 15', [-0.0710028, -1.18401, 1.0]], ['2, k, 16', [0.095077, -0.430861, 1.0]], ['2, k, 17', [0.127356, -0.759854, 1.0]], ['2, k, 18', [0.153844, -1.11093, 1.0]], ['2, k, 19', [0.156425, -1.17852, 1.0]], ['2, k, 20', [0.0484446, 0.0695076, 1.0]], ['2, k, 21', [-0.286771, 0.417059, 1.0]], ['2, k, 22', [-0.306477, 0.374969, 1.0]], ['2, k, 23', [0.372769, 0.441342, 1.0]], ['2, k, 24', [0.393881, 0.400643, 1.0]]]
