[['2, k, 0', [-0.262217, -0.359249, 1.0]], ['2, k, 1', [-0.264888, -0.0536292, 1.0]], ['2, k, 2', [-0.266019, 0.244642, 1.0]], ['2, k, 3', [-0.304305, 0.380286, 1.0]], ['2, k, 4', [-0.421821, 0.113687, 1.0]], ['2, k, 5', [-0.507718, -0.00343894, 1.0]], ['2, k, 6', [-0.606153, -0.0130498, 1.0]], ['2, k, 7', [-0.59847, -0.0307125, 1.0]], ['2, k, 8', [-0.133189, 0.142052, 1.0]], ['2, k, 9', [-0.0401212, 0.0325534, 1.0]], ['2, k, 10', [-0.0449412, -0.0552508, 1.0]], ['2, k, 11', [-0.0616135, -0.101691, 1.0]], ['2, k, 12', [-0.324285, -0.36054, 1.0]], ['2, k, 13', [-0.393385, -0.642438, 1.0]], ['2, k, 14', [-0.412524, -1.00548, 1.0]], ['2, k, 15', [-0.426514, -1.08496, 1.0]], ['2, k, 16', [-0.192743, -0.347862, 1.0]], ['2, k, 17', [-0.0913613, -0.622301, 1.0]], ['2, k, 18', [-0.0686117, -0.984548, 1.0]], ['2, k, 19', [-0.0856249, -1.03445, 1.0]], ['2, k, 20', [-0.266004, 0.171103, 1.0]], ['2, k, 21', [-0.570212, -0.0408833, 1.0]], ['2, k, 22', [-0.646708, -0.0221491, 1.0]], ['2, k, 23', [-0.078046, -0.115284, 1.0]], ['2, k, 24', [-0.119023, -0.0987558, 1.0]]]
[['2, k, 0', [-0.250742, -0.355503, 1.0]], ['2, k, 1', [-0.262201, -0.0526718, 1.0]], ['2, k, 2', [-0.266075, 0.24462, 1.0]], ['2, k, 3', [-0.304681, 0.380242, 1.0]], ['2, k, 4', [-0.421802, 0.113689, 1.0]], ['2, k, 5', [-0.500891, 0.0205467, 1.0]], ['2, k, 6', [-0.582469, -0.0120177, 1.0]], ['2, k, 7', [-0.592535, -0.0329946, 1.0]], ['2, k, 8', [-0.13316, 0.141894, 1.0]], ['2, k, 9', [-0.0560783, 0.0446861, 1.0]], ['2, k, 10', [-0.0440055, -0.0471032, 1.0]], ['2, k, 11', [-0.0567141, -0.100081, 1.0]], ['2, k, 12', [-0.313366, -0.356601, 1.0]], ['2, k, 13', [-0.393639, -0.643075, 1.0]], ['2, k, 14', [-0.412665, -1.00558, 1.0]], ['2, k, 15', [-0.426103, -1.08777, 1.0]], ['2, k, 16', [-0.180985, -0.344378, 1.0]], ['2, k, 17', [-0.0911079, -0.62212, 1.0]], ['2, k, 18', [-0.0685313, -0.984489, 1.0]], ['2, k, 19', [-0.0859545, -1.03506, 1.0]], ['2, k, 20', [-0.265898, 0.171155, 1.0]], ['2, k, 21', [-0.580121, -0.0412594, 1.0]], ['2, k, 22', [-0.631479, -0.0148803, 1.0]], ['2, k, 23', [-0.0767029, -0.115391, 1.0]], ['2, k, 24', [-0.11837, -0.0990127, 1.0]]]
[['2, k, 0', [-0.258358, -0.360946, 1.0]], ['2, k, 1', [-0.263546, -0.05338, 1.0]], ['2, k, 2', [-0.266109, 0.244959, 1.0]], ['2, k, 3', [-0.305702, 0.380508, 1.0]], ['2, k, 4', [-0.422672, 0.114625, 1.0]], ['2, k, 5', [-0.496318, 0.0321332, 1.0]], ['2, k, 6', [-0.572727, -0.0112411, 1.0]], ['2, k, 7', [-0.589436, -0.0347433, 1.0]], ['2, k, 8', [-0.133121, 0.139809, 1.0]], ['2, k, 9', [-0.0559623, 0.0447583, 1.0]], ['2, k, 10', [-0.0309887, -0.0486712, 1.0]], ['2, k, 11', [-0.0470304, -0.0992944, 1.0]], ['2, k, 12', [-0.320154, -0.359713, 1.0]], ['2, k, 13', [-0.393578, -0.695718, 1.0]], ['2, k, 14', [-0.415005, -1.01825, 1.0]], ['2, k, 15', [-0.426182, -1.0893, 1.0]], ['2, k, 16', [-0.189258, -0.352198, 1.0]], ['2, k, 17', [-0.0977269, -0.636006, 1.0]], ['2, k, 18', [-0.0574779, -1.03436, 1.0]], ['2, k, 19', [-0.0633679, -1.09864, 1.0]], ['2, k, 20', [-0.265995, 0.171549, 1.0]], ['2, k, 21', [-0.571588, -0.044629, 1.0]], ['2, k, 22', [-0.637213, -0.0197923, 1.0]], ['2, k, 23', [-0.0701412, -0.113574, 1.0]], ['2, k, 24', [-0.111012, -0.09819, 1.0]]]
[['2, k, 0', [-0.258754, -0.36151, 1.0]], ['2, k, 1', [-0.263838, -0.0539237, 1.0]], ['2, k, 2', [-0.266214, 0.244926, 1.0]], ['2, k, 3', [-0.305926, 0.380549, 1.0]], ['2, k, 4', [-0.422726, 0.114648, 1.0]], ['2, k, 5', [-0.49415, 0.0310922, 1.0]], ['2, k, 6', [-0.570143, -0.0120914, 1.0]], ['2, k, 7', [-0.587034, -0.0351467, 1.0]], ['2, k, 8', [-0.132588, 0.138505, 1.0]], ['2, k, 9', [-0.0556046, 0.0446349, 1.0]], ['2, k, 10', [-0.0302877, -0.046352, 1.0]], ['2, k, 11', [-0.046703, -0.0971687, 1.0]], ['2, k, 12', [-0.320767, -0.360237, 1.0]], ['2, k, 13', [-0.394179, -0.697677, 1.0]], ['2, k, 14', [-0.415397, -1.02337, 1.0]], ['2, k, 15', [-0.425266, -1.09236, 1.0]], ['2, k, 16', [-0.189418, -0.352664, 1.0]], ['2, k, 17', [-0.0981577, -0.637743, 1.0]], ['2, k, 18', [-0.0584018, -1.03176, 1.0]], ['2, k, 19', [-0.0627373, -1.09288, 1.0]], ['2, k, 20', [-0.266179, 0.171404, 1.0]], ['2, k, 21', [-0.571896, -0.0454553, 1.0]], ['2, k, 22', [-0.638352, -0.0196082, 1.0]], ['2, k, 23', [-0.0463726, -0.109806, 1.0]], ['2, k, 24', [-0.109069, -0.0965865, 1.0]]]
[['2, k, 0', [-0.258698, -0.361681, 1.0]], ['2, k, 1', [-0.263905, -0.0546602, 1.0]], ['2, k, 2', [-0.266464, 0.244275, 1.0]], ['2, k, 3', [-0.306862, 0.379528, 1.0]], ['2, k, 4', [-0.422742, 0.114643, 1.0]], ['2, k, 5', [-0.487161, 0.0382415, 1.0]], ['2, k, 6', [-0.568127, -0.0129947, 1.0]], ['2, k, 7', [-0.583425, -0.0365692, 1.0]], ['2, k, 8', [-0.132272, 0.137459, 1.0]], ['2, k, 9', [-0.0551195, 0.0421531, 1.0]], ['2, k, 10', [-0.0280486, -0.0465045, 1.0]], ['2, k, 11', [-0.0422606, -0.0955754, 1.0]], ['2, k, 12', [-0.320822, -0.360371, 1.0]], ['2, k, 13', [-0.394437, -0.698281, 1.0]], ['2, k, 14', [-0.416026, -1.02579, 1.0]], ['2, k, 15', [-0.425323, -1.09431, 1.0]], ['2, k, 16', [-0.189241, -0.352808, 1.0]], ['2, k, 17', [-0.0985126, -0.640018, 1.0]], ['2, k, 18', [-0.0585619, -1.03206, 1.0]], ['2, k, 19', [-0.0627299, -1.09105, 1.0]], ['2, k, 20', [-0.266378, 0.170653, 1.0]], ['2, k, 21', [-0.565395, -0.0479351, 1.0]], ['2, k, 22', [-0.626207, -0.017784, 1.0]], ['2, k, 23', [-0.0633116, -0.110642, 1.0]], ['2, k, 24', [-0.109088, -0.0939716, 1.0]]]
[['2, k, 0', [-0.259131, -0.361874, 1.0]], ['2, k, 1', [-0.26407, -0.0550309, 1.0]], ['2, k, 2', [-0.266472, 0.244007, 1.0]], ['2, k, 3', [-0.306983, 0.379027, 1.0]], ['2, k, 4', [-0.42273, 0.114637, 1.0]], ['2, k, 5', [-0.486308, 0.039775, 1.0]], ['2, k, 6', [-0.566072, -0.0133648, 1.0]], ['2, k, 7', [-0.58087, -0.0376347, 1.0]], ['2, k, 8', [-0.132055, 0.136888, 1.0]], ['2, k, 9', [-0.0548542, 0.0422748, 1.0]], ['2, k, 10', [-0.0279539, -0.0446593, 1.0]], ['2, k, 11', [-0.0412203, -0.0936175, 1.0]], ['2, k, 12', [-0.32138, -0.360621, 1.0]], ['2, k, 13', [-0.394437, -0.698268, 1.0]], ['2, k, 14', [-0.416495, -1.0276, 1.0]], ['2, k, 15', [-0.425452, -1.09503, 1.0]], ['2, k, 16', [-0.189527, -0.352921, 1.0]], ['2, k, 17', [-0.0983707, -0.641597, 1.0]], ['2, k, 18', [-0.0591265, -1.02729, 1.0]], ['2, k, 19', [-0.062426, -1.08571, 1.0]], ['2, k, 20', [-0.266389, 0.170296, 1.0]], ['2, k, 21', [-0.564436, -0.0454607, 1.0]], ['2, k, 22', [-0.626176, -0.0202937, 1.0]], ['2, k, 23', [-0.0604742, -0.110481, 1.0]], ['2, k, 24', [-0.108814, -0.0927107, 1.0]]]
[['2, k, 0', [-0.25892, -0.362015, 1.0]], ['2, k, 1', [-0.264055, -0.0556751, 1.0]], ['2, k, 2', [-0.266879, 0.242805, 1.0]], ['2, k, 3', [-0.306547, 0.378268, 1.0]], ['2, k, 4', [-0.422905, 0.114641, 1.0]], ['2, k, 5', [-0.487036, 0.0389019, 1.0]], ['2, k, 6', [-0.562176, -0.0139704, 1.0]], ['2, k, 7', [-0.580457, -0.0376943, 1.0]], ['2, k, 8', [-0.131543, 0.136398, 1.0]], ['2, k, 9', [-0.0535961, 0.0417976, 1.0]], ['2, k, 10', [-0.0436644, -0.037963, 1.0]], ['2, k, 11', [-0.0420284, -0.0913728, 1.0]], ['2, k, 12', [-0.321167, -0.360852, 1.0]], ['2, k, 13', [-0.393807, -0.703613, 1.0]], ['2, k, 14', [-0.41668, -1.02875, 1.0]], ['2, k, 15', [-0.42542, -1.09531, 1.0]], ['2, k, 16', [-0.189361, -0.352982, 1.0]], ['2, k, 17', [-0.0986055, -0.647031, 1.0]], ['2, k, 18', [-0.0591775, -1.02724, 1.0]], ['2, k, 19', [-0.0627113, -1.08468, 1.0]], ['2, k, 20', [-0.266646, 0.169237, 1.0]], ['2, k, 21', [-0.567543, -0.0459332, 1.0]], ['2, k, 22', [-0.622125, -0.0168596, 1.0]], ['2, k, 23', [-0.0558598, -0.105895, 1.0]], ['2, k, 24', [-0.112521, -0.0903358, 1.0]]]
[['2, k, 0', [-0.259204, -0.362267, 1.0]], ['2, k, 1', [-0.26432, -0.0565402, 1.0]], ['2, k, 2', [-0.267144, 0.241003, 1.0]], ['2, k, 3', [-0.305364, 0.376796, 1.0]], ['2, k, 4', [-0.423109, 0.114678, 1.0]], ['2, k, 5', [-0.486596, 0.0401639, 1.0]], ['2, k, 6', [-0.559863, -0.014348, 1.0]], ['2, k, 7', [-0.57858, -0.0396489, 1.0]], ['2, k, 8', [-0.130993, 0.136318, 1.0]], ['2, k, 9', [-0.0530427, 0.0415527, 1.0]], ['2, k, 10', [-0.0310836, -0.0303097, 1.0]], ['2, k, 11', [-0.0379647, -0.0903277, 1.0]], ['2, k, 12', [-0.321637, -0.361256, 1.0]], ['2, k, 13', [-0.393976, -0.701365, 1.0]], ['2, k, 14', [-0.416631, -1.0288, 1.0]], ['2, k, 15', [-0.425256, -1.09528, 1.0]], ['2, k, 16', [-0.189548, -0.353152, 1.0]], ['2, k, 17', [-0.0986429, -0.649802, 1.0]], ['2, k, 18', [-0.0592126, -1.02721, 1.0]], ['2, k, 19', [-0.0620754, -1.08382, 1.0]], ['2, k, 20', [-0.266878, 0.167714, 1.0]], ['2, k, 21', [-0.558198, -0.0487411, 1.0]], ['2, k, 22', [-0.621543, -0.0270734, 1.0]], ['2, k, 23', [-0.048894, -0.103025, 1.0]], ['2, k, 24', [-0.106937, -0.0891515, 1.0]]]
[['2, k, 0', [-0.259372, -0.362387, 1.0]], ['2, k, 1', [-0.264492, -0.05698, 1.0]], ['2, k, 2', [-0.267353, 0.240182, 1.0]], ['2, k, 3', [-0.303821, 0.374362, 1.0]], ['2, k, 4', [-0.423389, 0.114727, 1.0]], ['2, k, 5', [-0.486488, 0.0409191, 1.0]], ['2, k, 6', [-0.557475, -0.0151017, 1.0]], ['2, k, 7', [-0.581244, -0.0407113, 1.0]], ['2, k, 8', [-0.130538, 0.136225, 1.0]], ['2, k, 9', [-0.0528778, 0.0417347, 1.0]], ['2, k, 10', [-0.031168, -0.029632, 1.0]], ['2, k, 11', [-0.0359794, -0.0888506, 1.0]], ['2, k, 12', [-0.321941, -0.361461, 1.0]], ['2, k, 13', [-0.394251, -0.699871, 1.0]], ['2, k, 14', [-0.416634, -1.02881, 1.0]], ['2, k, 15', [-0.424877, -1.09478, 1.0]], ['2, k, 16', [-0.189646, -0.353227, 1.0]], ['2, k, 17', [-0.0985659, -0.651811, 1.0]], ['2, k, 18', [-0.0589145, -1.02874, 1.0]], ['2, k, 19', [-0.0636069, -1.08434, 1.0]], ['2, k, 20', [-0.267056, 0.166998, 1.0]], ['2, k, 21', [-0.560008, -0.0476798, 1.0]], ['2, k, 22', [-0.625143, -0.0243439, 1.0]], ['2, k, 23', [-0.0533321, -0.108631, 1.0]], ['2, k, 24', [-0.107577, -0.0890503, 1.0]]]
[['2, k, 0', [-0.259639, -0.362349, 1.0]], ['2, k, 1', [-0.264628, -0.0571351, 1.0]], ['2, k, 2', [-0.267458, 0.239784, 1.0]], ['2, k, 3', [-0.302154, 0.373374, 1.0]], ['2, k, 4', [-0.423877, 0.114778, 1.0]], ['2, k, 5', [-0.494339, 0.0326851, 1.0]], ['2, k, 6', [-0.551754, -0.0135778, 1.0]], ['2, k, 7', [-0.579677, -0.0409621, 1.0]], ['2, k, 8', [-0.129858, 0.136215, 1.0]], ['2, k, 9', [-0.0523567, 0.0410233, 1.0]], ['2, k, 10', [-0.0305839, -0.0305296, 1.0]], ['2, k, 11', [-0.034447, -0.0885666, 1.0]], ['2, k, 12', [-0.322365, -0.361418, 1.0]], ['2, k, 13', [-0.394491, -0.698778, 1.0]], ['2, k, 14', [-0.416651, -1.0288, 1.0]], ['2, k, 15', [-0.424594, -1.09501, 1.0]], ['2, k, 16', [-0.189867, -0.353163, 1.0]], ['2, k, 17', [-0.0986959, -0.653679, 1.0]], ['2, k, 18', [-0.0589968, -1.02797, 1.0]], ['2, k, 19', [-0.0636568, -1.08279, 1.0]], ['2, k, 20', [-0.267157, 0.166672, 1.0]], ['2, k, 21', [-0.557548, -0.0495226, 1.0]], ['2, k, 22', [-0.618185, -0.0285516, 1.0]], ['2, k, 23', [-0.0474556, -0.103024, 1.0]], ['2, k, 24', [-0.107472, -0.0896171, 1.0]]]
[['2, k, 0', [-0.259746, -0.362357, 1.0]], ['2, k, 1', [-0.264788, -0.057438, 1.0]], ['2, k, 2', [-0.267719, 0.23902, 1.0]], ['2, k, 3', [-0.300084, 0.372324, 1.0]], ['2, k, 4', [-0.424683, 0.115061, 1.0]], ['2, k, 5', [-0.502107, 0.0284667, 1.0]], ['2, k, 6', [-0.553661, -0.0166643, 1.0]], ['2, k, 7', [-0.577211, -0.0414067, 1.0]], ['2, k, 8', [-0.129608, 0.1363, 1.0]], ['2, k, 9', [-0.0509919, 0.0364977, 1.0]], ['2, k, 10', [-0.0457806, -0.0391963, 1.0]], ['2, k, 11', [-0.0357616, -0.0882034, 1.0]], ['2, k, 12', [-0.322632, -0.361402, 1.0]], ['2, k, 13', [-0.394563, -0.698811, 1.0]], ['2, k, 14', [-0.416658, -1.02883, 1.0]], ['2, k, 15', [-0.424367, -1.09526, 1.0]], ['2, k, 16', [-0.190024, -0.353212, 1.0]], ['2, k, 17', [-0.0987199, -0.653658, 1.0]], ['2, k, 18', [-0.0588357, -1.02656, 1.0]], ['2, k, 19', [-0.0636308, -1.08081, 1.0]], ['2, k, 20', [-0.267384, 0.166008, 1.0]], ['2, k, 21', [-0.557824, -0.0489701, 1.0]], ['2, k, 22', [-0.619215, -0.0323094, 1.0]], ['2, k, 23', [-0.0446061, -0.104412, 1.0]], ['2, k, 24', [-0.111557, -0.0902291, 1.0]]]
