[['2, k, 0', [0.1611128, 0.003003654, 1.0]], ['2, k, 1', [0.1650451, 0.3158883, 1.0]], ['2, k, 2', [0.167666, 0.6178478, 1.0]], ['2, k, 3', [0.1599665, 0.7584759, 1.0]], ['2, k, 4', [-0.009701243, 0.4987111, 1.0]], ['2, k, 5', [0.03106229, 0.3031462, 1.0]], ['2, k, 6', [0.1041843, 0.1362801, 1.0]], ['2, k, 7', [0.1489175, 0.07214508, 1.0]], ['2, k, 8', [0.3355461, 0.5000734, 1.0]], ['2, k, 9', [0.2847895, 0.2860969, 1.0]], ['2, k, 10', [0.199938, 0.1263543, 1.0]], ['2, k, 11', [0.1587025, 0.07328062, 1.0]], ['2, k, 12', [0.08077548, 0.004075575, 1.0]], ['2, k, 13', [0.07668834, -0.320171, 1.0]], ['2, k, 14', [0.09891377, -0.6445639, 1.0]], ['2, k, 15', [0.0608782, -0.7234255, 1.0]], ['2, k, 16', [0.2364458, 0.001900863, 1.0]], ['2, k, 17', [0.2442945, -0.3471199, 1.0]], ['2, k, 18', [0.2376335, -0.6556161, 1.0]], ['2, k, 19', [0.2249468, -0.7226343, 1.0]], ['2, k, 20', [0.1672142, 0.5439114, 1.0]], ['2, k, 21', [0.1654494, 0.03763223, 1.0]], ['2, k, 22', [0.1832541, 0.1079189, 1.0]], ['2, k, 23', [0.1436654, 0.04038526, 1.0]], ['2, k, 24', [0.1431752, 0.01592703, 1.0]]]
[['2, k, 0', [0.1611223, 0.002997205, 1.0]], ['2, k, 1', [0.1652074, 0.3158735, 1.0]], ['2, k, 2', [0.1681072, 0.6178676, 1.0]], ['2, k, 3', [0.1600662, 0.758516, 1.0]], ['2, k, 4', [-0.009706116, 0.4986105, 1.0]], ['2, k, 5', [0.03089613, 0.3031924, 1.0]], ['2, k, 6', [0.10423, 0.1363118, 1.0]], ['2, k, 7', [0.1488497, 0.07257071, 1.0]], ['2, k, 8', [0.335656, 0.499828, 1.0]], ['2, k, 9', [0.2820457, 0.2865883, 1.0]], ['2, k, 10', [0.2032542, 0.1255959, 1.0]], ['2, k, 11', [0.1575755, 0.07420394, 1.0]], ['2, k, 12', [0.08078114, 0.004078561, 1.0]], ['2, k, 13', [0.0767698, -0.320015, 1.0]], ['2, k, 14', [0.09890066, -0.6443855, 1.0]], ['2, k, 15', [0.05976525, -0.7231226, 1.0]], ['2, k, 16', [0.2364715, 0.001869451, 1.0]], ['2, k, 17', [0.2447685, -0.3454855, 1.0]], ['2, k, 18', [0.237584, -0.655435, 1.0]], ['2, k, 19', [0.2255172, -0.7221444, 1.0]], ['2, k, 20', [0.1675694, 0.5439175, 1.0]], ['2, k, 21', [0.1672772, 0.0385656, 1.0]], ['2, k, 22', [0.1836991, 0.1083381, 1.0]], ['2, k, 23', [0.1446475, 0.0399251, 1.0]], ['2, k, 24', [0.1196054, 0.09670609, 1.0]]]
[['2, k, 0', [0.1611239, 0.0029876, 1.0]], ['2, k, 1', [0.1652346, 0.3158658, 1.0]], ['2, k, 2', [0.1681847, 0.6178768, 1.0]], ['2, k, 3', [0.1601511, 0.7585264, 1.0]], ['2, k, 4', [-0.009719303, 0.4985928, 1.0]], ['2, k, 5', [0.0311453, 0.3033422, 1.0]], ['2, k, 6', [0.1043844, 0.1362587, 1.0]], ['2, k, 7', [0.1492342, 0.07298778, 1.0]], ['2, k, 8', [0.3357209, 0.4998118, 1.0]], ['2, k, 9', [0.2848797, 0.2873916, 1.0]], ['2, k, 10', [0.2014653, 0.1234918, 1.0]], ['2, k, 11', [0.1580617, 0.07439242, 1.0]], ['2, k, 12', [0.08078005, 0.004064248, 1.0]], ['2, k, 13', [0.07666494, -0.3199952, 1.0]], ['2, k, 14', [0.09894031, -0.6443332, 1.0]], ['2, k, 15', [0.05957587, -0.7229415, 1.0]], ['2, k, 16', [0.2364734, 0.001864782, 1.0]], ['2, k, 17', [0.2448224, -0.3446291, 1.0]], ['2, k, 18', [0.2382387, -0.655915, 1.0]], ['2, k, 19', [0.2268715, -0.7224457, 1.0]], ['2, k, 20', [0.1676324, 0.5439203, 1.0]], ['2, k, 21', [0.1679989, 0.0377975, 1.0]], ['2, k, 22', [0.1841246, 0.1078743, 1.0]], ['2, k, 23', [0.1448761, 0.03857211, 1.0]], ['2, k, 24', [0.1200502, 0.09717139, 1.0]]]
[['2, k, 0', [0.1610249, 0.003056884, 1.0]], ['2, k, 1', [0.1652121, 0.3158435, 1.0]], ['2, k, 2', [0.1681902, 0.6177193, 1.0]], ['2, k, 3', [0.1601688, 0.7585127, 1.0]], ['2, k, 4', [-0.009756079, 0.4985206, 1.0]], ['2, k, 5', [0.03185708, 0.3035848, 1.0]], ['2, k, 6', [0.1046127, 0.1359359, 1.0]], ['2, k, 7', [0.1491785, 0.07310025, 1.0]], ['2, k, 8', [0.3358049, 0.49976, 1.0]], ['2, k, 9', [0.2869177, 0.2885198, 1.0]], ['2, k, 10', [0.2022274, 0.1249948, 1.0]], ['2, k, 11', [0.1581336, 0.0754825, 1.0]], ['2, k, 12', [0.08068679, 0.004120194, 1.0]], ['2, k, 13', [0.07755347, -0.3207756, 1.0]], ['2, k, 14', [0.09953114, -0.6438606, 1.0]], ['2, k, 15', [0.0340271, -0.7109375, 1.0]], ['2, k, 16', [0.2363736, 0.001940307, 1.0]], ['2, k, 17', [0.2450252, -0.3435177, 1.0]], ['2, k, 18', [0.2379538, -0.6556395, 1.0]], ['2, k, 19', [0.2273288, -0.7218772, 1.0]], ['2, k, 20', [0.1676252, 0.5438097, 1.0]], ['2, k, 21', [0.16806, 0.0396648, 1.0]], ['2, k, 22', [0.184128, 0.107877, 1.0]], ['2, k, 23', [0.145974, 0.04053152, 1.0]], ['2, k, 24', [0.120189, 0.09800107, 1.0]]]
[['2, k, 0', [0.1610165, 0.003088088, 1.0]], ['2, k, 1', [0.1651463, 0.3157245, 1.0]], ['2, k, 2', [0.1679536, 0.6171514, 1.0]], ['2, k, 3', [0.1605817, 0.7579606, 1.0]], ['2, k, 4', [-0.009743968, 0.4985326, 1.0]], ['2, k, 5', [0.03177192, 0.3036387, 1.0]], ['2, k, 6', [0.104941, 0.1358594, 1.0]], ['2, k, 7', [0.1494031, 0.07369147, 1.0]], ['2, k, 8', [0.33592, 0.4996435, 1.0]], ['2, k, 9', [0.2833215, 0.2862898, 1.0]], ['2, k, 10', [0.2018317, 0.123902, 1.0]], ['2, k, 11', [0.1582127, 0.07561675, 1.0]], ['2, k, 12', [0.0806859, 0.004157822, 1.0]], ['2, k, 13', [0.07801224, -0.3205239, 1.0]], ['2, k, 14', [0.09922486, -0.644446, 1.0]], ['2, k, 15', [0.05373217, -0.7248492, 1.0]], ['2, k, 16', [0.2363631, 0.001959764, 1.0]], ['2, k, 17', [0.2453003, -0.3463706, 1.0]], ['2, k, 18', [0.2385148, -0.6566112, 1.0]], ['2, k, 19', [0.2277455, -0.7218949, 1.0]], ['2, k, 20', [0.1674394, 0.5433783, 1.0]], ['2, k, 21', [0.1663206, 0.03837771, 1.0]], ['2, k, 22', [0.1841624, 0.1093226, 1.0]], ['2, k, 23', [0.1451368, 0.039079, 1.0]], ['2, k, 24', [0.1196918, 0.09682806, 1.0]]]
[['2, k, 0', [0.1610011, 0.003081813, 1.0]], ['2, k, 1', [0.1651924, 0.3156949, 1.0]], ['2, k, 2', [0.1681989, 0.6170725, 1.0]], ['2, k, 3', [0.1607161, 0.7578208, 1.0]], ['2, k, 4', [-0.009736203, 0.4985505, 1.0]], ['2, k, 5', [0.03171377, 0.3036698, 1.0]], ['2, k, 6', [0.1050425, 0.1356924, 1.0]], ['2, k, 7', [0.1494554, 0.07622953, 1.0]], ['2, k, 8', [0.335966, 0.4995797, 1.0]], ['2, k, 9', [0.2800571, 0.2852489, 1.0]], ['2, k, 10', [0.2009674, 0.1252111, 1.0]], ['2, k, 11', [0.1585376, 0.07738397, 1.0]], ['2, k, 12', [0.08066401, 0.004157998, 1.0]], ['2, k, 13', [0.07854255, -0.3211294, 1.0]], ['2, k, 14', [0.09932337, -0.6451474, 1.0]], ['2, k, 15', [0.05228153, -0.7247078, 1.0]], ['2, k, 16', [0.2363549, 0.001950944, 1.0]], ['2, k, 17', [0.2456893, -0.3482747, 1.0]], ['2, k, 18', [0.2394974, -0.6560437, 1.0]], ['2, k, 19', [0.2276118, -0.7210209, 1.0]], ['2, k, 20', [0.1676204, 0.5433092, 1.0]], ['2, k, 21', [0.1678799, 0.04044081, 1.0]], ['2, k, 22', [0.1846599, 0.1097271, 1.0]], ['2, k, 23', [0.1455907, 0.04122131, 1.0]], ['2, k, 24', [0.1206095, 0.1008723, 1.0]]]
[['2, k, 0', [0.1610356, 0.003093749, 1.0]], ['2, k, 1', [0.1652001, 0.3156409, 1.0]], ['2, k, 2', [0.1681816, 0.6168919, 1.0]], ['2, k, 3', [0.1608382, 0.7578245, 1.0]], ['2, k, 4', [-0.009712207, 0.4985255, 1.0]], ['2, k, 5', [0.0326578, 0.3044208, 1.0]], ['2, k, 6', [0.1051848, 0.1356812, 1.0]], ['2, k, 7', [0.1494672, 0.07657758, 1.0]], ['2, k, 8', [0.3360419, 0.4996636, 1.0]], ['2, k, 9', [0.2788424, 0.2849789, 1.0]], ['2, k, 10', [0.2031403, 0.1255616, 1.0]], ['2, k, 11', [0.1586494, 0.07676321, 1.0]], ['2, k, 12', [0.08069931, 0.004186767, 1.0]], ['2, k, 13', [0.07851452, -0.3191756, 1.0]], ['2, k, 14', [0.09935669, -0.6452005, 1.0]], ['2, k, 15', [0.05438181, -0.7250264, 1.0]], ['2, k, 16', [0.2363831, 0.001947721, 1.0]], ['2, k, 17', [0.2459957, -0.3494152, 1.0]], ['2, k, 18', [0.239518, -0.656061, 1.0]], ['2, k, 19', [0.2278552, -0.7206996, 1.0]], ['2, k, 20', [0.1676122, 0.5431611, 1.0]], ['2, k, 21', [0.1678779, 0.03901533, 1.0]], ['2, k, 22', [0.1854024, 0.108682, 1.0]], ['2, k, 23', [0.1469041, 0.04082168, 1.0]], ['2, k, 24', [0.1206318, 0.1014998, 1.0]]]
[['2, k, 0', [0.1610905, 0.003123018, 1.0]], ['2, k, 1', [0.1653276, 0.3156367, 1.0]], ['2, k, 2', [0.1684204, 0.6168666, 1.0]], ['2, k, 3', [0.1609262, 0.7578158, 1.0]], ['2, k, 4', [-0.009644526, 0.49848, 1.0]], ['2, k, 5', [0.03280834, 0.304732, 1.0]], ['2, k, 6', [0.105981, 0.1354863, 1.0]], ['2, k, 7', [0.1485992, 0.07643493, 1.0]], ['2, k, 8', [0.336081, 0.4996669, 1.0]], ['2, k, 9', [0.278701, 0.2856672, 1.0]], ['2, k, 10', [0.2051727, 0.1270276, 1.0]], ['2, k, 11', [0.1590618, 0.07806711, 1.0]], ['2, k, 12', [0.08075178, 0.004228627, 1.0]], ['2, k, 13', [0.07829866, -0.3195411, 1.0]], ['2, k, 14', [0.09941708, -0.6443071, 1.0]], ['2, k, 15', [0.02635193, -0.7109375, 1.0]], ['2, k, 16', [0.2364377, 0.00196356, 1.0]], ['2, k, 17', [0.2460189, -0.3494508, 1.0]], ['2, k, 18', [0.2395272, -0.6560245, 1.0]], ['2, k, 19', [0.2278726, -0.720603, 1.0]], ['2, k, 20', [0.1678219, 0.5431378, 1.0]], ['2, k, 21', [0.1682867, 0.04126626, 1.0]], ['2, k, 22', [0.189178, 0.1068216, 1.0]], ['2, k, 23', [0.1465508, 0.04190996, 1.0]], ['2, k, 24', [0.1209799, 0.1015239, 1.0]]]
[['2, k, 0', [0.1611321, 0.003122991, 1.0]], ['2, k, 1', [0.1653505, 0.315652, 1.0]], ['2, k, 2', [0.1684509, 0.6169499, 1.0]], ['2, k, 3', [0.1611231, 0.7579001, 1.0]], ['2, k, 4', [-0.009594795, 0.4984955, 1.0]], ['2, k, 5', [0.03265167, 0.3048723, 1.0]], ['2, k, 6', [0.1064765, 0.1353604, 1.0]], ['2, k, 7', [0.1511116, 0.08047572, 1.0]], ['2, k, 8', [0.3361202, 0.4996038, 1.0]], ['2, k, 9', [0.2786061, 0.2857786, 1.0]], ['2, k, 10', [0.2057651, 0.1280538, 1.0]], ['2, k, 11', [0.1608374, 0.08034736, 1.0]], ['2, k, 12', [0.08082458, 0.004239108, 1.0]], ['2, k, 13', [0.0789569, -0.3202342, 1.0]], ['2, k, 14', [0.1008082, -0.6481266, 1.0]], ['2, k, 15', [0.02513911, -0.7118714, 1.0]], ['2, k, 16', [0.2364574, 0.001959293, 1.0]], ['2, k, 17', [0.2460572, -0.3491568, 1.0]], ['2, k, 18', [0.2388431, -0.6558169, 1.0]], ['2, k, 19', [0.2279692, -0.7204449, 1.0]], ['2, k, 20', [0.167851, 0.543196, 1.0]], ['2, k, 21', [0.1686146, 0.04395187, 1.0]], ['2, k, 22', [0.1847351, 0.1096723, 1.0]], ['2, k, 23', [0.1497853, 0.04372509, 1.0]], ['2, k, 24', [0.1241283, 0.1047474, 1.0]]]
[['2, k, 0', [0.1612129, 0.003148415, 1.0]], ['2, k, 1', [0.1656433, 0.3157562, 1.0]], ['2, k, 2', [0.1691237, 0.6172612, 1.0]], ['2, k, 3', [0.1615665, 0.7583705, 1.0]], ['2, k, 4', [-0.009544843, 0.4985882, 1.0]], ['2, k, 5', [0.036017, 0.3099833, 1.0]], ['2, k, 6', [0.1021212, 0.149274, 1.0]], ['2, k, 7', [0.1447916, 0.08778509, 1.0]], ['2, k, 8', [0.3361664, 0.4996037, 1.0]], ['2, k, 9', [0.2783701, 0.2867177, 1.0]], ['2, k, 10', [0.2073094, 0.1306765, 1.0]], ['2, k, 11', [0.1603529, 0.08916748, 1.0]], ['2, k, 12', [0.08091753, 0.004270812, 1.0]], ['2, k, 13', [0.07938968, -0.3211112, 1.0]], ['2, k, 14', [0.1003911, -0.6481503, 1.0]], ['2, k, 15', [0.03825784, -0.7154572, 1.0]], ['2, k, 16', [0.2365496, 0.001984249, 1.0]], ['2, k, 17', [0.246069, -0.3497122, 1.0]], ['2, k, 18', [0.2389213, -0.6556984, 1.0]], ['2, k, 19', [0.2281144, -0.7209548, 1.0]], ['2, k, 20', [0.1684132, 0.5434396, 1.0]], ['2, k, 21', [0.1668361, 0.05136384, 1.0]], ['2, k, 22', [0.1637661, 0.1235432, 1.0]], ['2, k, 23', [0.1504913, 0.05073, 1.0]], ['2, k, 24', [0.1254002, 0.1123182, 1.0]]]
[['2, k, 0', [0.1613478, 0.003329986, 1.0]], ['2, k, 1', [0.1657363, 0.3158051, 1.0]], ['2, k, 2', [0.1691872, 0.6172533, 1.0]], ['2, k, 3', [0.1617715, 0.7584105, 1.0]], ['2, k, 4', [-0.006777367, 0.5007093, 1.0]], ['2, k, 5', [0.03523815, 0.3097411, 1.0]], ['2, k, 6', [0.1026785, 0.1492207, 1.0]], ['2, k, 7', [0.1518757, 0.09621712, 1.0]], ['2, k, 8', [0.3362141, 0.4994736, 1.0]], ['2, k, 9', [0.287198, 0.2947453, 1.0]], ['2, k, 10', [0.2017863, 0.1285537, 1.0]], ['2, k, 11', [0.1591303, 0.09604469, 1.0]], ['2, k, 12', [0.08103976, 0.00443889, 1.0]], ['2, k, 13', [0.07961386, -0.3214058, 1.0]], ['2, k, 14', [0.1004431, -0.6479244, 1.0]], ['2, k, 15', [0.04958006, -0.7224931, 1.0]], ['2, k, 16', [0.2366938, 0.002174909, 1.0]], ['2, k, 17', [0.2464677, -0.3504425, 1.0]], ['2, k, 18', [0.2390337, -0.6555483, 1.0]], ['2, k, 19', [0.2280999, -0.7209901, 1.0]], ['2, k, 20', [0.1684805, 0.5434417, 1.0]], ['2, k, 21', [0.1680009, 0.05765743, 1.0]], ['2, k, 22', [0.1812294, 0.1190537, 1.0]], ['2, k, 23', [0.1500849, 0.05633795, 1.0]], ['2, k, 24', [0.1360951, 0.05306574, 1.0]]]
