[['2, k, 0', [-0.332658, -0.749341, 1.0]], ['2, k, 1', [-0.321762, -0.42462, 1.0]], ['2, k, 2', [-0.309377, -0.104936, 1.0]], ['2, k, 3', [-0.314422, 0.028235, 1.0]], ['2, k, 4', [-0.449563, -0.232507, 1.0]], ['2, k, 5', [-0.559243, -0.243352, 1.0]], ['2, k, 6', [-0.387686, -0.181669, 1.0]], ['2, k, 7', [-0.320502, -0.142729, 1.0]], ['2, k, 8', [-0.161606, -0.214187, 1.0]], ['2, k, 9', [-0.0388894, -0.216219, 1.0]], ['2, k, 10', [-0.12047, -0.164435, 1.0]], ['2, k, 11', [-0.074985, -0.135314, 1.0]], ['2, k, 12', [-0.393885, -0.743765, 1.0]], ['2, k, 13', [-0.367002, -1.05922, 1.0]], ['2, k, 14', [-0.33997, -1.46131, 1.0]], ['2, k, 15', [-0.30542, -1.51074, 1.0]], ['2, k, 16', [-0.262788, -0.735453, 1.0]], ['2, k, 17', [-0.199637, -1.0466, 1.0]], ['2, k, 18', [-0.225389, -1.45129, 1.0]], ['2, k, 19', [-0.258057, -1.50781, 1.0]], ['2, k, 20', [-0.312744, -0.184195, 1.0]], ['2, k, 21', [-0.245824, -0.139309, 1.0]], ['2, k, 22', [-0.318249, -0.137571, 1.0]], ['2, k, 23', [-0.00750409, -0.131609, 1.0]], ['2, k, 24', [0.00754852, -0.127407, 1.0]]]
[['2, k, 0', [-0.326947, -0.740717, 1.0]], ['2, k, 1', [-0.320716, -0.422348, 1.0]], ['2, k, 2', [-0.309428, -0.104889, 1.0]], ['2, k, 3', [-0.314316, 0.0279672, 1.0]], ['2, k, 4', [-0.449404, -0.232519, 1.0]], ['2, k, 5', [-0.55653, -0.243875, 1.0]], ['2, k, 6', [-0.392392, -0.183945, 1.0]], ['2, k, 7', [-0.318079, -0.143093, 1.0]], ['2, k, 8', [-0.161863, -0.214498, 1.0]], ['2, k, 9', [-0.0423733, -0.216076, 1.0]], ['2, k, 10', [-0.119922, -0.166418, 1.0]], ['2, k, 11', [-0.0991765, -0.137339, 1.0]], ['2, k, 12', [-0.3884, -0.73481, 1.0]], ['2, k, 13', [-0.372739, -1.0342, 1.0]], ['2, k, 14', [-0.347281, -1.456, 1.0]], ['2, k, 15', [-0.30548, -1.5105, 1.0]], ['2, k, 16', [-0.256934, -0.727268, 1.0]], ['2, k, 17', [-0.231802, -1.13237, 1.0]], ['2, k, 18', [-0.26409, -1.43835, 1.0]], ['2, k, 19', [-0.253877, -1.46, 1.0]], ['2, k, 20', [-0.31275, -0.184023, 1.0]], ['2, k, 21', [-0.255899, -0.139872, 1.0]], ['2, k, 22', [-0.259316, -0.135593, 1.0]], ['2, k, 23', [-0.133192, -0.136941, 1.0]], ['2, k, 24', [-0.0444581, -0.134185, 1.0]]]
[['2, k, 0', [-0.30692, -0.730347, 1.0]], ['2, k, 1', [-0.313145, -0.417326, 1.0]], ['2, k, 2', [-0.309467, -0.104847, 1.0]], ['2, k, 3', [-0.314303, 0.0278475, 1.0]], ['2, k, 4', [-0.44896, -0.232809, 1.0]], ['2, k, 5', [-0.451955, -0.212817, 1.0]], ['2, k, 6', [-0.330709, -0.160732, 1.0]], ['2, k, 7', [-0.325214, -0.143385, 1.0]], ['2, k, 8', [-0.16176, -0.214229, 1.0]], ['2, k, 9', [-0.0437644, -0.215733, 1.0]], ['2, k, 10', [-0.119401, -0.166898, 1.0]], ['2, k, 11', [-0.100086, -0.138376, 1.0]], ['2, k, 12', [-0.367058, -0.725347, 1.0]], ['2, k, 13', [-0.390511, -1.01947, 1.0]], ['2, k, 14', [-0.347591, -1.44492, 1.0]], ['2, k, 15', [-0.322125, -1.51234, 1.0]], ['2, k, 16', [-0.238577, -0.716291, 1.0]], ['2, k, 17', [-0.259346, -1.11844, 1.0]], ['2, k, 18', [-0.247304, -1.43257, 1.0]], ['2, k, 19', [-0.285994, -1.5096, 1.0]], ['2, k, 20', [-0.312364, -0.18356, 1.0]], ['2, k, 21', [-0.27263, -0.142282, 1.0]], ['2, k, 22', [-0.274788, -0.139175, 1.0]], ['2, k, 23', [-0.118214, -0.136932, 1.0]], ['2, k, 24', [-0.0465985, -0.135394, 1.0]]]
[['2, k, 0', [-0.305135, -0.725802, 1.0]], ['2, k, 1', [-0.311136, -0.414594, 1.0]], ['2, k, 2', [-0.309466, -0.104854, 1.0]], ['2, k, 3', [-0.314457, 0.027678, 1.0]], ['2, k, 4', [-0.447732, -0.233413, 1.0]], ['2, k, 5', [-0.557263, -0.242309, 1.0]], ['2, k, 6', [-0.393923, -0.183695, 1.0]], ['2, k, 7', [-0.362964, -0.144261, 1.0]], ['2, k, 8', [-0.161748, -0.214212, 1.0]], ['2, k, 9', [-0.0404794, -0.21958, 1.0]], ['2, k, 10', [-0.11833, -0.16841, 1.0]], ['2, k, 11', [-0.099705, -0.138277, 1.0]], ['2, k, 12', [-0.365799, -0.721484, 1.0]], ['2, k, 13', [-0.39041, -1.01594, 1.0]], ['2, k, 14', [-0.349023, -1.44408, 1.0]], ['2, k, 15', [-0.321681, -1.50446, 1.0]], ['2, k, 16', [-0.236341, -0.711217, 1.0]], ['2, k, 17', [-0.259059, -1.11373, 1.0]], ['2, k, 18', [-0.243615, -1.42983, 1.0]], ['2, k, 19', [-0.28229, -1.51101, 1.0]], ['2, k, 20', [-0.311984, -0.183164, 1.0]], ['2, k, 21', [-0.293054, -0.142071, 1.0]], ['2, k, 22', [-0.387759, -0.14376, 1.0]], ['2, k, 23', [-0.114605, -0.137083, 1.0]], ['2, k, 24', [-0.0461989, -0.135713, 1.0]]]
[['2, k, 0', [-0.304525, -0.724477, 1.0]], ['2, k, 1', [-0.310449, -0.413707, 1.0]], ['2, k, 2', [-0.309559, -0.104926, 1.0]], ['2, k, 3', [-0.314392, 0.0276239, 1.0]], ['2, k, 4', [-0.44731, -0.233375, 1.0]], ['2, k, 5', [-0.558092, -0.242385, 1.0]], ['2, k, 6', [-0.397621, -0.185354, 1.0]], ['2, k, 7', [-0.364969, -0.144482, 1.0]], ['2, k, 8', [-0.161404, -0.21483, 1.0]], ['2, k, 9', [-0.0406807, -0.219965, 1.0]], ['2, k, 10', [-0.118721, -0.168763, 1.0]], ['2, k, 11', [-0.0904715, -0.140099, 1.0]], ['2, k, 12', [-0.365213, -0.719605, 1.0]], ['2, k, 13', [-0.391037, -1.02061, 1.0]], ['2, k, 14', [-0.349001, -1.44366, 1.0]], ['2, k, 15', [-0.324666, -1.52616, 1.0]], ['2, k, 16', [-0.235797, -0.710401, 1.0]], ['2, k, 17', [-0.274207, -1.12107, 1.0]], ['2, k, 18', [-0.224906, -1.42831, 1.0]], ['2, k, 19', [-0.27934, -1.51559, 1.0]], ['2, k, 20', [-0.311834, -0.18299, 1.0]], ['2, k, 21', [-0.293115, -0.142101, 1.0]], ['2, k, 22', [-0.386085, -0.144006, 1.0]], ['2, k, 23', [-0.102221, -0.137706, 1.0]], ['2, k, 24', [-0.044584, -0.135261, 1.0]]]
[['2, k, 0', [-0.304426, -0.724329, 1.0]], ['2, k, 1', [-0.309975, -0.41343, 1.0]], ['2, k, 2', [-0.309529, -0.104951, 1.0]], ['2, k, 3', [-0.314403, 0.0277317, 1.0]], ['2, k, 4', [-0.447136, -0.233487, 1.0]], ['2, k, 5', [-0.560088, -0.244227, 1.0]], ['2, k, 6', [-0.400224, -0.184796, 1.0]], ['2, k, 7', [-0.459017, -0.14579, 1.0]], ['2, k, 8', [-0.161221, -0.215112, 1.0]], ['2, k, 9', [-0.0399924, -0.220361, 1.0]], ['2, k, 10', [-0.119069, -0.168677, 1.0]], ['2, k, 11', [-0.0963088, -0.142022, 1.0]], ['2, k, 12', [-0.365144, -0.71944, 1.0]], ['2, k, 13', [-0.391022, -1.01978, 1.0]], ['2, k, 14', [-0.348289, -1.44572, 1.0]], ['2, k, 15', [-0.319444, -1.52583, 1.0]], ['2, k, 16', [-0.23568, -0.710306, 1.0]], ['2, k, 17', [-0.261301, -1.12024, 1.0]], ['2, k, 18', [-0.242865, -1.4346, 1.0]], ['2, k, 19', [-0.269125, -1.50776, 1.0]], ['2, k, 20', [-0.311505, -0.182844, 1.0]], ['2, k, 21', [-0.518959, -0.145223, 1.0]], ['2, k, 22', [-0.50354, -0.145238, 1.0]], ['2, k, 23', [-0.125804, -0.139938, 1.0]], ['2, k, 24', [-0.0468068, -0.136372, 1.0]]]
[['2, k, 0', [-0.304333, -0.723176, 1.0]], ['2, k, 1', [-0.30952, -0.412689, 1.0]], ['2, k, 2', [-0.309495, -0.104961, 1.0]], ['2, k, 3', [-0.31444, 0.0279029, 1.0]], ['2, k, 4', [-0.446962, -0.234247, 1.0]], ['2, k, 5', [-0.558214, -0.231884, 1.0]], ['2, k, 6', [-0.395823, -0.179242, 1.0]], ['2, k, 7', [-0.455104, -0.146095, 1.0]], ['2, k, 8', [-0.16126, -0.215425, 1.0]], ['2, k, 9', [-0.04003, -0.220272, 1.0]], ['2, k, 10', [-0.127353, -0.170403, 1.0]], ['2, k, 11', [-0.139863, -0.143565, 1.0]], ['2, k, 12', [-0.36513, -0.7184, 1.0]], ['2, k, 13', [-0.3459, -1.12852, 1.0]], ['2, k, 14', [-0.342579, -1.45034, 1.0]], ['2, k, 15', [-0.337592, -1.5206, 1.0]], ['2, k, 16', [-0.235534, -0.70912, 1.0]], ['2, k, 17', [-0.277724, -1.13602, 1.0]], ['2, k, 18', [-0.222897, -1.43333, 1.0]], ['2, k, 19', [-0.26621, -1.50777, 1.0]], ['2, k, 20', [-0.311138, -0.182585, 1.0]], ['2, k, 21', [-0.508999, -0.146805, 1.0]], ['2, k, 22', [-0.512733, -0.144773, 1.0]], ['2, k, 23', [-0.186764, -0.142699, 1.0]], ['2, k, 24', [-0.0892549, -0.14056, 1.0]]]
[['2, k, 0', [-0.304192, -0.722949, 1.0]], ['2, k, 1', [-0.309217, -0.412435, 1.0]], ['2, k, 2', [-0.309477, -0.104971, 1.0]], ['2, k, 3', [-0.314346, 0.027512, 1.0]], ['2, k, 4', [-0.446958, -0.234196, 1.0]], ['2, k, 5', [-0.562292, -0.240161, 1.0]], ['2, k, 6', [-0.40119, -0.184055, 1.0]], ['2, k, 7', [-0.457378, -0.147565, 1.0]], ['2, k, 8', [-0.160672, -0.213642, 1.0]], ['2, k, 9', [-0.0458156, -0.215859, 1.0]], ['2, k, 10', [-0.15181, -0.169889, 1.0]], ['2, k, 11', [-0.150835, -0.143678, 1.0]], ['2, k, 12', [-0.365045, -0.718304, 1.0]], ['2, k, 13', [-0.388048, -1.02968, 1.0]], ['2, k, 14', [-0.336537, -1.44354, 1.0]], ['2, k, 15', [-0.327062, -1.51301, 1.0]], ['2, k, 16', [-0.235348, -0.708738, 1.0]], ['2, k, 17', [-0.263543, -1.13375, 1.0]], ['2, k, 18', [-0.24294, -1.4394, 1.0]], ['2, k, 19', [-0.267577, -1.50874, 1.0]], ['2, k, 20', [-0.310938, -0.18245, 1.0]], ['2, k, 21', [-0.503586, -0.146947, 1.0]], ['2, k, 22', [-0.514782, -0.146595, 1.0]], ['2, k, 23', [-0.19585, -0.142786, 1.0]], ['2, k, 24', [-0.0973938, -0.141891, 1.0]]]
[['2, k, 0', [-0.303756, -0.722017, 1.0]], ['2, k, 1', [-0.308838, -0.411898, 1.0]], ['2, k, 2', [-0.309474, -0.104969, 1.0]], ['2, k, 3', [-0.313877, 0.0270259, 1.0]], ['2, k, 4', [-0.446758, -0.234241, 1.0]], ['2, k, 5', [-0.56289, -0.243586, 1.0]], ['2, k, 6', [-0.464373, -0.175886, 1.0]], ['2, k, 7', [-0.478816, -0.149518, 1.0]], ['2, k, 8', [-0.160251, -0.213476, 1.0]], ['2, k, 9', [-0.0453109, -0.218177, 1.0]], ['2, k, 10', [-0.144454, -0.175036, 1.0]], ['2, k, 11', [-0.135475, -0.144769, 1.0]], ['2, k, 12', [-0.364679, -0.717515, 1.0]], ['2, k, 13', [-0.388301, -1.03135, 1.0]], ['2, k, 14', [-0.337282, -1.44403, 1.0]], ['2, k, 15', [-0.329383, -1.51548, 1.0]], ['2, k, 16', [-0.234832, -0.707632, 1.0]], ['2, k, 17', [-0.279786, -1.13563, 1.0]], ['2, k, 18', [-0.234148, -1.43583, 1.0]], ['2, k, 19', [-0.285165, -1.52271, 1.0]], ['2, k, 20', [-0.310779, -0.182256, 1.0]], ['2, k, 21', [-0.45345, -0.147371, 1.0]], ['2, k, 22', [-0.530463, -0.146512, 1.0]], ['2, k, 23', [-0.188001, -0.144875, 1.0]], ['2, k, 24', [-0.0914354, -0.141751, 1.0]]]
[['2, k, 0', [-0.303277, -0.721451, 1.0]], ['2, k, 1', [-0.308441, -0.411631, 1.0]], ['2, k, 2', [-0.309449, -0.105036, 1.0]], ['2, k, 3', [-0.313339, 0.0268232, 1.0]], ['2, k, 4', [-0.446811, -0.233686, 1.0]], ['2, k, 5', [-0.564704, -0.250159, 1.0]], ['2, k, 6', [-0.466668, -0.179237, 1.0]], ['2, k, 7', [-0.475947, -0.150975, 1.0]], ['2, k, 8', [-0.16012, -0.213409, 1.0]], ['2, k, 9', [-0.0455642, -0.219118, 1.0]], ['2, k, 10', [-0.10665, -0.170393, 1.0]], ['2, k, 11', [-0.119532, -0.147057, 1.0]], ['2, k, 12', [-0.363943, -0.715007, 1.0]], ['2, k, 13', [-0.338677, -1.12942, 1.0]], ['2, k, 14', [-0.333509, -1.4618, 1.0]], ['2, k, 15', [-0.300129, -1.51476, 1.0]], ['2, k, 16', [-0.234329, -0.707899, 1.0]], ['2, k, 17', [-0.261045, -1.14259, 1.0]], ['2, k, 18', [-0.249866, -1.44354, 1.0]], ['2, k, 19', [-0.269935, -1.52164, 1.0]], ['2, k, 20', [-0.310594, -0.182213, 1.0]], ['2, k, 21', [-0.456418, -0.148232, 1.0]], ['2, k, 22', [-0.532899, -0.147718, 1.0]], ['2, k, 23', [-0.172756, -0.148539, 1.0]], ['2, k, 24', [-0.0766052, -0.143122, 1.0]]]
[['2, k, 0', [-0.302998, -0.720323, 1.0]], ['2, k, 1', [-0.308116, -0.411127, 1.0]], ['2, k, 2', [-0.309411, -0.105052, 1.0]], ['2, k, 3', [-0.31313, 0.0269384, 1.0]], ['2, k, 4', [-0.446762, -0.232996, 1.0]], ['2, k, 5', [-0.564133, -0.251877, 1.0]], ['2, k, 6', [-0.466988, -0.181357, 1.0]], ['2, k, 7', [-0.474316, -0.151347, 1.0]], ['2, k, 8', [-0.159814, -0.213277, 1.0]], ['2, k, 9', [-0.0459214, -0.219882, 1.0]], ['2, k, 10', [-0.0802972, -0.174689, 1.0]], ['2, k, 11', [-0.0936785, -0.147706, 1.0]], ['2, k, 12', [-0.363677, -0.713078, 1.0]], ['2, k, 13', [-0.339645, -1.12817, 1.0]], ['2, k, 14', [-0.333231, -1.46182, 1.0]], ['2, k, 15', [-0.335269, -1.52617, 1.0]], ['2, k, 16', [-0.234182, -0.707605, 1.0]], ['2, k, 17', [-0.214036, -1.02199, 1.0]], ['2, k, 18', [-0.24239, -1.43485, 1.0]], ['2, k, 19', [-0.267302, -1.50609, 1.0]], ['2, k, 20', [-0.310346, -0.182055, 1.0]], ['2, k, 21', [-0.447, -0.150281, 1.0]], ['2, k, 22', [-0.528294, -0.147392, 1.0]], ['2, k, 23', [-0.12546, -0.146061, 1.0]], ['2, k, 24', [-0.0483918, -0.144472, 1.0]]]
