Exercise,Video,Repetition,Start,End,Incomplete
Exercise_3,V1,1,0:00:02.90,0:00:05.66,0
Exercise_3,V1,2,0:00:05.66,0:00:08.50,0
Exercise_3,V1,3,0:00:08.50,0:00:11.06,0
Exercise_3,V1,4,0:00:11.34,0:00:14.02,0
Exercise_3,V1,5,0:00:14.02,0:00:16.58,0
Exercise_3,V1,6,0:00:16.58,0:00:19.46,0
Exercise_3,V2,1,0:00:00.42,0:00:02.86,0
Exercise_3,V2,2,0:00:02.86,0:00:05.14,0
Exercise_3,V2,3,0:00:05.14,0:00:07.54,0
Exercise_3,V2,4,0:00:07.54,0:00:09.98,0
Exercise_3,V2,5,0:00:09.98,0:00:12.46,0
Exercise_3,V2,6,0:00:13.70,0:00:16.18,0
Exercise_3,V2,7,0:00:16.18,0:00:18.58,0
Exercise_3,V2,8,0:00:18.58,0:00:21.18,0
Exercise_3,V2,9,0:00:21.18,0:00:23.78,0
Exercise_3,V2,10,0:00:23.78,0:00:26.38,0
Exercise_3,V2,11,0:00:26.38,0:00:27.66,1
Exercise_3,V3,1,0:00:02.06,0:00:05.74,0
Exercise_3,V3,2,0:00:05.74,0:00:08.86,0
Exercise_3,V3,3,0:00:08.86,0:00:11.98,0
Exercise_3,V3,4,0:00:12.30,0:00:15.42,0
Exercise_3,V3,5,0:00:15.42,0:00:19.14,0
Exercise_3,V3,6,0:00:19.14,0:00:23.02,0
Exercise_3,V4,1,0:00:08.02,0:00:10.82,0
Exercise_3,V4,2,0:00:10.82,0:00:13.26,0
Exercise_3,V4,3,0:00:13.26,0:00:15.90,0
Exercise_3,V4,4,0:00:15.90,0:00:18.70,0
Exercise_3,V4,5,0:00:18.70,0:00:21.34,0
Exercise_3,V4,6,0:00:21.34,0:00:24.46,0
Exercise_3,V4,7,0:00:24.46,0:00:27.78,0
Exercise_3,V4,8,0:00:27.78,0:00:30.34,0
Exercise_3,V4,9,0:00:30.34,0:00:33.14,0
Exercise_3,V4,10,0:00:33.14,0:00:35.98,0
Exercise_3,V4,11,0:00:35.98,0:00:38.58,0
Exercise_3,V4,12,0:00:38.58,0:00:41.66,0
Exercise_3,V5,1,0:00:09.18,0:00:12.14,0
Exercise_3,V5,2,0:00:12.14,0:00:15.50,0
Exercise_3,V5,3,0:00:15.50,0:00:18.58,0
Exercise_3,V5,4,0:00:18.58,0:00:21.30,0
Exercise_3,V5,5,0:00:21.30,0:00:24.18,0
Exercise_3,V5,6,0:00:24.18,0:00:27.50,0
Exercise_3,V5,7,0:00:27.50,0:00:30.02,0
Exercise_3,V5,8,0:00:30.02,0:00:32.46,0
Exercise_3,V5,9,0:00:32.46,0:00:34.82,0
Exercise_3,V5,10,0:00:34.82,0:00:37.14,0
Exercise_3,V6,1,0:00:00.90,0:00:03.86,0
Exercise_3,V6,2,0:00:03.86,0:00:07.02,0
Exercise_3,V6,3,0:00:07.02,0:00:09.58,0
Exercise_3,V6,4,0:00:09.58,0:00:12.98,0
Exercise_3,V6,5,0:00:12.98,0:00:15.74,0
Exercise_3,V6,6,0:00:15.74,0:00:18.82,0
Exercise_3,V6,7,0:00:18.82,0:00:21.26,0
Exercise_3,V6,8,0:00:21.26,0:00:23.46,0
Exercise_3,V6,9,0:00:23.46,0:00:26.58,0
Exercise_3,V7,1,0:00:05.02,0:00:09.82,0
Exercise_3,V7,2,0:00:09.82,0:00:13.02,0
Exercise_3,V7,3,0:00:13.02,0:00:15.94,0
Exercise_3,V7,4,0:00:15.94,0:00:19.58,0
Exercise_3,V7,5,0:00:19.58,0:00:23.30,0
Exercise_3,V7,6,0:00:23.30,0:00:26.86,0
Exercise_3,V8,1,0:00:05.54,0:00:09.06,0
Exercise_3,V8,2,0:00:09.06,0:00:12.26,0
Exercise_3,V8,3,0:00:12.26,0:00:15.46,0
Exercise_3,V8,4,0:00:15.46,0:00:18.14,0
Exercise_3,V8,5,0:00:18.14,0:00:20.94,0
Exercise_3,V8,6,0:00:20.94,0:00:23.54,0
Exercise_3,V8,7,0:00:23.54,0:00:26.06,0
Exercise_3,V8,8,0:00:26.06,0:00:28.34,0
Exercise_3,V8,9,0:00:28.34,0:00:31.06,0
Exercise_3,V8,10,0:00:31.06,0:00:33.54,0
Exercise_3,V9,1,0:00:01.22,0:00:03.82,0
Exercise_3,V9,2,0:00:03.82,0:00:06.14,0
Exercise_3,V9,3,0:00:06.14,0:00:08.30,0
Exercise_3,V9,4,0:00:08.30,0:00:10.62,0
Exercise_3,V9,5,0:00:10.62,0:00:12.86,0
