[['2, k, 0', [0.002922162, -0.3838857, 1.0]], ['2, k, 1', [-0.01057698, -0.09053255, 1.0]], ['2, k, 2', [-0.02411865, 0.1953746, 1.0]], ['2, k, 3', [-0.0150589, 0.3356652, 1.0]], ['2, k, 4', [-0.2084484, 0.1142279, 1.0]], ['2, k, 5', [-0.3248045, -0.1218266, 1.0]], ['2, k, 6', [-0.3121272, -0.3307479, 1.0]], ['2, k, 7', [-0.3046421, -0.3712519, 1.0]], ['2, k, 8', [0.1689689, 0.1094377, 1.0]], ['2, k, 9', [0.2409367, -0.1125647, 1.0]], ['2, k, 10', [0.1643145, -0.224362, 1.0]], ['2, k, 11', [0.1267191, -0.2529193, 1.0]], ['2, k, 12', [-0.08680012, -0.3828624, 1.0]], ['2, k, 13', [-0.1433431, -0.3167725, 1.0]], ['2, k, 14', [-0.1411403, -0.7167091, 1.0]], ['2, k, 15', [-0.1295412, -0.7494926, 1.0]], ['2, k, 16', [0.09301859, -0.3731176, 1.0]], ['2, k, 17', [0.2548359, -0.3549856, 1.0]], ['2, k, 18', [0.2815804, -0.7297662, 1.0]], ['2, k, 19', [0.3273877, -0.7836846, 1.0]], ['2, k, 20', [-0.02051806, 0.1249443, 1.0]], ['2, k, 21', [-0.2716438, -0.4722623, 1.0]], ['2, k, 22', [-0.2505347, -0.3783501, 1.0]], ['2, k, 23', [0.1096221, -0.3162687, 1.0]], ['2, k, 24', [0.193055, -0.2550573, 1.0]]]
[['2, k, 0', [0.003539589, -0.3831505, 1.0]], ['2, k, 1', [-0.01045855, -0.08983772, 1.0]], ['2, k, 2', [-0.0245496, 0.195954, 1.0]], ['2, k, 3', [-0.01481706, 0.3361315, 1.0]], ['2, k, 4', [-0.2083, 0.1144209, 1.0]], ['2, k, 5', [-0.3246029, -0.1230062, 1.0]], ['2, k, 6', [-0.3123521, -0.3319338, 1.0]], ['2, k, 7', [-0.3048053, -0.3724881, 1.0]], ['2, k, 8', [0.1686579, 0.1093265, 1.0]], ['2, k, 9', [0.2408554, -0.1125398, 1.0]], ['2, k, 10', [0.1644371, -0.22427, 1.0]], ['2, k, 11', [0.1275758, -0.2535159, 1.0]], ['2, k, 12', [-0.08617198, -0.3824246, 1.0]], ['2, k, 13', [-0.1409344, -0.3174384, 1.0]], ['2, k, 14', [-0.1386085, -0.7173331, 1.0]], ['2, k, 15', [-0.1265958, -0.7500909, 1.0]], ['2, k, 16', [0.09347545, -0.372157, 1.0]], ['2, k, 17', [0.2556915, -0.3551951, 1.0]], ['2, k, 18', [0.2819225, -0.7302564, 1.0]], ['2, k, 19', [0.3274074, -0.7836847, 1.0]], ['2, k, 20', [-0.02085842, 0.1255529, 1.0]], ['2, k, 21', [-0.2852249, -0.460666, 1.0]], ['2, k, 22', [-0.2599308, -0.3899571, 1.0]], ['2, k, 23', [0.1089112, -0.3188575, 1.0]], ['2, k, 24', [0.1949232, -0.2549652, 1.0]]]
[['2, k, 0', [0.003970586, -0.3825364, 1.0]], ['2, k, 1', [-0.009960126, -0.08935732, 1.0]], ['2, k, 2', [-0.02392543, 0.1961026, 1.0]], ['2, k, 3', [-0.01448355, 0.3368979, 1.0]], ['2, k, 4', [-0.2087748, 0.1148962, 1.0]], ['2, k, 5', [-0.3242409, -0.1214261, 1.0]], ['2, k, 6', [-0.3127518, -0.3301766, 1.0]], ['2, k, 7', [-0.3033364, -0.3733523, 1.0]], ['2, k, 8', [0.168928, 0.1093884, 1.0]], ['2, k, 9', [0.2405497, -0.111755, 1.0]], ['2, k, 10', [0.1692837, -0.2291702, 1.0]], ['2, k, 11', [0.1308523, -0.2563832, 1.0]], ['2, k, 12', [-0.08571891, -0.3819208, 1.0]], ['2, k, 13', [-0.1387992, -0.3180403, 1.0]], ['2, k, 14', [-0.1365618, -0.7179059, 1.0]], ['2, k, 15', [-0.1246292, -0.7506379, 1.0]], ['2, k, 16', [0.0937833, -0.3715163, 1.0]], ['2, k, 17', [0.2562825, -0.3553815, 1.0]], ['2, k, 18', [0.2822229, -0.7306265, 1.0]], ['2, k, 19', [0.3275485, -0.7837482, 1.0]], ['2, k, 20', [-0.02031881, 0.1257895, 1.0]], ['2, k, 21', [-0.273142, -0.4616842, 1.0]], ['2, k, 22', [-0.2574215, -0.3817094, 1.0]], ['2, k, 23', [0.1102399, -0.3194752, 1.0]], ['2, k, 24', [0.1854399, -0.2636903, 1.0]]]
[['2, k, 0', [0.007413393, -0.3861791, 1.0]], ['2, k, 1', [-0.008424121, -0.09068146, 1.0]], ['2, k, 2', [-0.02353794, 0.196097, 1.0]], ['2, k, 3', [-0.01422519, 0.3366673, 1.0]], ['2, k, 4', [-0.2090558, 0.1143868, 1.0]], ['2, k, 5', [-0.3238761, -0.1210047, 1.0]], ['2, k, 6', [-0.3132007, -0.3301125, 1.0]], ['2, k, 7', [-0.3035004, -0.3742803, 1.0]], ['2, k, 8', [0.1691743, 0.1094587, 1.0]], ['2, k, 9', [0.2400843, -0.111655, 1.0]], ['2, k, 10', [0.168596, -0.2281466, 1.0]], ['2, k, 11', [0.1290094, -0.2545916, 1.0]], ['2, k, 12', [-0.08339618, -0.3847562, 1.0]], ['2, k, 13', [-0.1304331, -0.3261794, 1.0]], ['2, k, 14', [-0.1279653, -0.7259148, 1.0]], ['2, k, 15', [-0.1466687, -0.7945927, 1.0]], ['2, k, 16', [0.09798018, -0.3762097, 1.0]], ['2, k, 17', [0.2333331, -0.3561594, 1.0]], ['2, k, 18', [0.2596795, -0.731535, 1.0]], ['2, k, 19', [0.3275881, -0.7837996, 1.0]], ['2, k, 20', [-0.01974865, 0.1255987, 1.0]], ['2, k, 21', [-0.2724491, -0.4670877, 1.0]], ['2, k, 22', [-0.2546973, -0.3774601, 1.0]], ['2, k, 23', [0.107056, -0.3202309, 1.0]], ['2, k, 24', [0.1976544, -0.2576265, 1.0]]]
[['2, k, 0', [0.00764792, -0.3779093, 1.0]], ['2, k, 1', [-0.008450229, -0.08914702, 1.0]], ['2, k, 2', [-0.02368464, 0.1970117, 1.0]], ['2, k, 3', [-0.01431026, 0.3370597, 1.0]], ['2, k, 4', [-0.2089061, 0.114265, 1.0]], ['2, k, 5', [-0.3236966, -0.1201171, 1.0]], ['2, k, 6', [-0.3127553, -0.3309718, 1.0]], ['2, k, 7', [-0.3044287, -0.3733437, 1.0]], ['2, k, 8', [0.1692776, 0.1094926, 1.0]], ['2, k, 9', [0.2401723, -0.1117501, 1.0]], ['2, k, 10', [0.1681548, -0.2275144, 1.0]], ['2, k, 11', [0.1277536, -0.2555257, 1.0]], ['2, k, 12', [-0.08269642, -0.377165, 1.0]], ['2, k, 13', [-0.1379808, -0.3193376, 1.0]], ['2, k, 14', [-0.1356773, -0.7192438, 1.0]], ['2, k, 15', [-0.1246729, -0.7519611, 1.0]], ['2, k, 16', [0.09772195, -0.3675022, 1.0]], ['2, k, 17', [0.2562355, -0.3558161, 1.0]], ['2, k, 18', [0.2828289, -0.7314749, 1.0]], ['2, k, 19', [0.3276843, -0.7837945, 1.0]], ['2, k, 20', [-0.01984049, 0.1262604, 1.0]], ['2, k, 21', [-0.2853889, -0.4642926, 1.0]], ['2, k, 22', [-0.2582901, -0.382836, 1.0]], ['2, k, 23', [0.1072087, -0.320655, 1.0]], ['2, k, 24', [0.1786049, -0.2666939, 1.0]]]
[['2, k, 0', [0.007448174, -0.3779491, 1.0]], ['2, k, 1', [-0.008009759, -0.08863349, 1.0]], ['2, k, 2', [-0.02247232, 0.1970911, 1.0]], ['2, k, 3', [-0.01416345, 0.3376057, 1.0]], ['2, k, 4', [-0.2081937, 0.1150305, 1.0]], ['2, k, 5', [-0.3252262, -0.1181396, 1.0]], ['2, k, 6', [-0.3134288, -0.3317171, 1.0]], ['2, k, 7', [-0.3042414, -0.372539, 1.0]], ['2, k, 8', [0.1695044, 0.1093897, 1.0]], ['2, k, 9', [0.2403267, -0.1123785, 1.0]], ['2, k, 10', [0.1677456, -0.2271987, 1.0]], ['2, k, 11', [0.1274149, -0.2542772, 1.0]], ['2, k, 12', [-0.08280471, -0.3771566, 1.0]], ['2, k, 13', [-0.1380045, -0.3191572, 1.0]], ['2, k, 14', [-0.1389875, -0.7192913, 1.0]], ['2, k, 15', [-0.1286755, -0.7519996, 1.0]], ['2, k, 16', [0.0973796, -0.3676052, 1.0]], ['2, k, 17', [0.2562217, -0.3552806, 1.0]], ['2, k, 18', [0.2830743, -0.7310657, 1.0]], ['2, k, 19', [0.327805, -0.7838139, 1.0]], ['2, k, 20', [-0.01912108, 0.1264107, 1.0]], ['2, k, 21', [-0.3065128, -0.4249071, 1.0]], ['2, k, 22', [-0.2559392, -0.3632036, 1.0]], ['2, k, 23', [0.1078974, -0.3190154, 1.0]], ['2, k, 24', [0.191466, -0.2589831, 1.0]]]
[['2, k, 0', [0.007233825, -0.3778079, 1.0]], ['2, k, 1', [-0.007766966, -0.08819325, 1.0]], ['2, k, 2', [-0.02091381, 0.1973351, 1.0]], ['2, k, 3', [-0.01399494, 0.3380967, 1.0]], ['2, k, 4', [-0.2074153, 0.1151346, 1.0]], ['2, k, 5', [-0.3256926, -0.1186367, 1.0]], ['2, k, 6', [-0.3144414, -0.3300767, 1.0]], ['2, k, 7', [-0.3039622, -0.3823043, 1.0]], ['2, k, 8', [0.1711781, 0.1095327, 1.0]], ['2, k, 9', [0.2408346, -0.1124312, 1.0]], ['2, k, 10', [0.1709994, -0.2313243, 1.0]], ['2, k, 11', [0.128253, -0.2561187, 1.0]], ['2, k, 12', [-0.08295694, -0.3769951, 1.0]], ['2, k, 13', [-0.1392626, -0.319365, 1.0]], ['2, k, 14', [-0.1442579, -0.719587, 1.0]], ['2, k, 15', [-0.1341747, -0.7522749, 1.0]], ['2, k, 16', [0.0970839, -0.3674618, 1.0]], ['2, k, 17', [0.2560564, -0.3554504, 1.0]], ['2, k, 18', [0.283103, -0.7311044, 1.0]], ['2, k, 19', [0.3278295, -0.7837806, 1.0]], ['2, k, 20', [-0.01804469, 0.1267827, 1.0]], ['2, k, 21', [-0.2715313, -0.4720666, 1.0]], ['2, k, 22', [-0.2616661, -0.3522497, 1.0]], ['2, k, 23', [0.1046426, -0.3191186, 1.0]], ['2, k, 24', [0.1924006, -0.2586127, 1.0]]]
[['2, k, 0', [0.007093204, -0.3776227, 1.0]], ['2, k, 1', [-0.007622739, -0.08779141, 1.0]], ['2, k, 2', [-0.02034988, 0.1975078, 1.0]], ['2, k, 3', [-0.01408132, 0.3383218, 1.0]], ['2, k, 4', [-0.2072012, 0.1159196, 1.0]], ['2, k, 5', [-0.326571, -0.1187102, 1.0]], ['2, k, 6', [-0.3160059, -0.3263781, 1.0]], ['2, k, 7', [-0.307, -0.3806173, 1.0]], ['2, k, 8', [0.1717231, 0.1096029, 1.0]], ['2, k, 9', [0.2413378, -0.1123978, 1.0]], ['2, k, 10', [0.1713849, -0.2306018, 1.0]], ['2, k, 11', [0.1274212, -0.2609369, 1.0]], ['2, k, 12', [-0.08311142, -0.3766177, 1.0]], ['2, k, 13', [-0.1450179, -0.3202805, 1.0]], ['2, k, 14', [-0.1511414, -0.720242, 1.0]], ['2, k, 15', [-0.1418458, -0.7529345, 1.0]], ['2, k, 16', [0.09694113, -0.3673664, 1.0]], ['2, k, 17', [0.2557277, -0.3554392, 1.0]], ['2, k, 18', [0.2829747, -0.7310268, 1.0]], ['2, k, 19', [0.3276975, -0.7836569, 1.0]], ['2, k, 20', [-0.01757452, 0.1270582, 1.0]], ['2, k, 21', [-0.2795085, -0.4699674, 1.0]], ['2, k, 22', [-0.2661959, -0.3598986, 1.0]], ['2, k, 23', [0.1094195, -0.3267903, 1.0]], ['2, k, 24', [0.2025267, -0.259538, 1.0]]]
[['2, k, 0', [0.004693951, -0.3791701, 1.0]], ['2, k, 1', [-0.008000589, -0.08789085, 1.0]], ['2, k, 2', [-0.01998548, 0.1977383, 1.0]], ['2, k, 3', [-0.0138666, 0.3393238, 1.0]], ['2, k, 4', [-0.2065707, 0.1159828, 1.0]], ['2, k, 5', [-0.327128, -0.1204816, 1.0]], ['2, k, 6', [-0.3209748, -0.328129, 1.0]], ['2, k, 7', [-0.3103664, -0.3848061, 1.0]], ['2, k, 8', [0.1720491, 0.1097214, 1.0]], ['2, k, 9', [0.2423267, -0.1114603, 1.0]], ['2, k, 10', [0.1691867, -0.2280178, 1.0]], ['2, k, 11', [0.1271031, -0.2578748, 1.0]], ['2, k, 12', [-0.08426779, -0.3773219, 1.0]], ['2, k, 13', [-0.1522871, -0.3215813, 1.0]], ['2, k, 14', [-0.1842722, -0.7192727, 1.0]], ['2, k, 15', [-0.1747585, -0.752028, 1.0]], ['2, k, 16', [0.09292579, -0.3700271, 1.0]], ['2, k, 17', [0.2566667, -0.3548316, 1.0]], ['2, k, 18', [0.2841888, -0.7304768, 1.0]], ['2, k, 19', [0.3274812, -0.7836081, 1.0]], ['2, k, 20', [-0.01740394, 0.1271792, 1.0]], ['2, k, 21', [-0.3008428, -0.4631622, 1.0]], ['2, k, 22', [-0.274966, -0.3874572, 1.0]], ['2, k, 23', [0.1074468, -0.322693, 1.0]], ['2, k, 24', [0.1971134, -0.2587633, 1.0]]]
[['2, k, 0', [0.004738518, -0.37901, 1.0]], ['2, k, 1', [-0.007747986, -0.08765353, 1.0]], ['2, k, 2', [-0.01961727, 0.1976934, 1.0]], ['2, k, 3', [-0.01386829, 0.3394787, 1.0]], ['2, k, 4', [-0.2064066, 0.1160842, 1.0]], ['2, k, 5', [-0.3277886, -0.1204694, 1.0]], ['2, k, 6', [-0.3213376, -0.3282017, 1.0]], ['2, k, 7', [-0.3143269, -0.3838298, 1.0]], ['2, k, 8', [0.17233, 0.1097769, 1.0]], ['2, k, 9', [0.2432187, -0.1115358, 1.0]], ['2, k, 10', [0.16729, -0.2270734, 1.0]], ['2, k, 11', [0.1266081, -0.2560121, 1.0]], ['2, k, 12', [-0.08420503, -0.3771732, 1.0]], ['2, k, 13', [-0.1611816, -0.3223363, 1.0]], ['2, k, 14', [-0.2015391, -0.7197851, 1.0]], ['2, k, 15', [-0.1916367, -0.7525263, 1.0]], ['2, k, 16', [0.09300289, -0.3697764, 1.0]], ['2, k, 17', [0.2568671, -0.3549135, 1.0]], ['2, k, 18', [0.284357, -0.7305917, 1.0]], ['2, k, 19', [0.3274508, -0.7837049, 1.0]], ['2, k, 20', [-0.01706197, 0.1272164, 1.0]], ['2, k, 21', [-0.3089076, -0.464041, 1.0]], ['2, k, 22', [-0.2772722, -0.3752617, 1.0]], ['2, k, 23', [0.11557, -0.3196404, 1.0]], ['2, k, 24', [0.1937951, -0.2582017, 1.0]]]
[['2, k, 0', [0.004755753, -0.3785704, 1.0]], ['2, k, 1', [-0.007348286, -0.08730984, 1.0]], ['2, k, 2', [-0.01829456, 0.1978301, 1.0]], ['2, k, 3', [-0.0141088, 0.3399923, 1.0]], ['2, k, 4', [-0.2061909, 0.1162693, 1.0]], ['2, k, 5', [-0.328698, -0.1222138, 1.0]], ['2, k, 6', [-0.3212793, -0.3292797, 1.0]], ['2, k, 7', [-0.315793, -0.375376, 1.0]], ['2, k, 8', [0.1728578, 0.1101588, 1.0]], ['2, k, 9', [0.2443201, -0.1109103, 1.0]], ['2, k, 10', [0.1668402, -0.226215, 1.0]], ['2, k, 11', [0.1272546, -0.2561696, 1.0]], ['2, k, 12', [-0.0841133, -0.3767609, 1.0]], ['2, k, 13', [-0.1724532, -0.3256075, 1.0]], ['2, k, 14', [-0.232255, -0.7221482, 1.0]], ['2, k, 15', [-0.2220636, -0.7548125, 1.0]], ['2, k, 16', [0.09300414, -0.3692454, 1.0]], ['2, k, 17', [0.257398, -0.3544826, 1.0]], ['2, k, 18', [0.2852493, -0.730559, 1.0]], ['2, k, 19', [0.3275963, -0.7838866, 1.0]], ['2, k, 20', [-0.01589884, 0.1274807, 1.0]], ['2, k, 21', [-0.3166248, -0.4509239, 1.0]], ['2, k, 22', [-0.2856432, -0.3703725, 1.0]], ['2, k, 23', [0.1102694, -0.3188747, 1.0]], ['2, k, 24', [0.1937423, -0.2589669, 1.0]]]
