[['2, k, 0', [0.0542233, -0.403452, 1.0]], ['2, k, 1', [0.046375, -0.111872, 1.0]], ['2, k, 2', [0.0384886, 0.174706, 1.0]], ['2, k, 3', [0.0427075, 0.280959, 1.0]], ['2, k, 4', [-0.0773471, 0.118223, 1.0]], ['2, k, 5', [-0.221158, 0.182508, 1.0]], ['2, k, 6', [-0.294087, 0.247243, 1.0]], ['2, k, 7', [-0.315364, 0.280969, 1.0]], ['2, k, 8', [0.16103, 0.106133, 1.0]], ['2, k, 9', [0.285912, 0.177028, 1.0]], ['2, k, 10', [0.378523, 0.264039, 1.0]], ['2, k, 11', [0.486028, 0.29698, 1.0]], ['2, k, 12', [-0.000514929, -0.39644, 1.0]], ['2, k, 13', [-0.0692288, -0.729334, 1.0]], ['2, k, 14', [-0.0476698, -1.21285, 1.0]], ['2, k, 15', [-0.0738606, -1.26491, 1.0]], ['2, k, 16', [0.107823, -0.401966, 1.0]], ['2, k, 17', [0.141157, -0.808886, 1.0]], ['2, k, 18', [0.150363, -1.19896, 1.0]], ['2, k, 19', [0.146777, -1.24937, 1.0]], ['2, k, 20', [0.0404732, 0.103748, 1.0]], ['2, k, 21', [-0.347445, 0.298341, 1.0]], ['2, k, 22', [-0.235176, 0.281664, 1.0]], ['2, k, 23', [0.549862, 0.294137, 1.0]], ['2, k, 24', [0.444871, 0.304112, 1.0]]]
[['2, k, 0', [0.00805312, -0.398897, 1.0]], ['2, k, 1', [0.0382747, -0.112124, 1.0]], ['2, k, 2', [0.0400009, 0.173482, 1.0]], ['2, k, 3', [0.0361821, 0.304567, 1.0]], ['2, k, 4', [-0.0765471, 0.116827, 1.0]], ['2, k, 5', [-0.192345, 0.148888, 1.0]], ['2, k, 6', [-0.289331, 0.20471, 1.0]], ['2, k, 7', [-0.307998, 0.232655, 1.0]], ['2, k, 8', [0.160954, 0.106143, 1.0]], ['2, k, 9', [0.285901, 0.172562, 1.0]], ['2, k, 10', [0.36589, 0.206566, 1.0]], ['2, k, 11', [0.441699, 0.253426, 1.0]], ['2, k, 12', [-0.0461226, -0.393601, 1.0]], ['2, k, 13', [-0.0669783, -0.731854, 1.0]], ['2, k, 14', [-0.0544502, -1.20818, 1.0]], ['2, k, 15', [-0.0455106, -1.2578, 1.0]], ['2, k, 16', [0.061834, -0.395789, 1.0]], ['2, k, 17', [0.142414, -0.809714, 1.0]], ['2, k, 18', [0.148074, -1.20499, 1.0]], ['2, k, 19', [0.141206, -1.25082, 1.0]], ['2, k, 20', [0.0405293, 0.103234, 1.0]], ['2, k, 21', [-0.326462, 0.258826, 1.0]], ['2, k, 22', [-0.284843, 0.242788, 1.0]], ['2, k, 23', [0.509229, 0.252765, 1.0]], ['2, k, 24', [0.413874, 0.271244, 1.0]]]
[['2, k, 0', [0.035021, -0.3991, 1.0]], ['2, k, 1', [0.0388292, -0.112142, 1.0]], ['2, k, 2', [0.0404075, 0.173075, 1.0]], ['2, k, 3', [0.0368678, 0.308385, 1.0]], ['2, k, 4', [-0.0775, 0.113128, 1.0]], ['2, k, 5', [-0.203521, 0.135206, 1.0]], ['2, k, 6', [-0.297466, 0.172601, 1.0]], ['2, k, 7', [-0.316405, 0.189875, 1.0]], ['2, k, 8', [0.162439, 0.106137, 1.0]], ['2, k, 9', [0.284636, 0.163041, 1.0]], ['2, k, 10', [0.384654, 0.181093, 1.0]], ['2, k, 11', [0.393189, 0.208066, 1.0]], ['2, k, 12', [-0.0195776, -0.394611, 1.0]], ['2, k, 13', [-0.0544669, -0.845998, 1.0]], ['2, k, 14', [-0.0365147, -1.23817, 1.0]], ['2, k, 15', [-0.0843506, -1.28027, 1.0]], ['2, k, 16', [0.0888793, -0.39512, 1.0]], ['2, k, 17', [0.141522, -0.809926, 1.0]], ['2, k, 18', [0.154927, -1.23843, 1.0]], ['2, k, 19', [0.146644, -1.28281, 1.0]], ['2, k, 20', [0.040821, 0.102803, 1.0]], ['2, k, 21', [-0.364132, 0.196997, 1.0]], ['2, k, 22', [-0.288462, 0.20358, 1.0]], ['2, k, 23', [0.365631, 0.219678, 1.0]], ['2, k, 24', [0.278396, 0.201379, 1.0]]]
[['2, k, 0', [0.0369066, -0.442441, 1.0]], ['2, k, 1', [0.0406182, -0.136222, 1.0]], ['2, k, 2', [0.0437582, 0.156966, 1.0]], ['2, k, 3', [0.0364422, 0.305161, 1.0]], ['2, k, 4', [-0.0832078, 0.0894352, 1.0]], ['2, k, 5', [-0.207393, 0.113625, 1.0]], ['2, k, 6', [-0.276147, 0.135008, 1.0]], ['2, k, 7', [-0.311652, 0.144501, 1.0]], ['2, k, 8', [0.162515, 0.0881997, 1.0]], ['2, k, 9', [0.28509, 0.133331, 1.0]], ['2, k, 10', [0.377383, 0.139858, 1.0]], ['2, k, 11', [0.350078, 0.162441, 1.0]], ['2, k, 12', [-0.0178393, -0.436482, 1.0]], ['2, k, 13', [-0.0591533, -0.855665, 1.0]], ['2, k, 14', [-0.0479579, -1.23744, 1.0]], ['2, k, 15', [-0.0829431, -1.27741, 1.0]], ['2, k, 16', [0.0908713, -0.439, 1.0]], ['2, k, 17', [0.141169, -0.813029, 1.0]], ['2, k, 18', [0.159026, -1.19837, 1.0]], ['2, k, 19', [0.17749, -1.27441, 1.0]], ['2, k, 20', [0.0433452, 0.0839695, 1.0]], ['2, k, 21', [-0.342189, 0.158556, 1.0]], ['2, k, 22', [-0.272458, 0.154964, 1.0]], ['2, k, 23', [0.357975, 0.173581, 1.0]], ['2, k, 24', [0.282516, 0.155826, 1.0]]]
[['2, k, 0', [0.0336426, -0.396186, 1.0]], ['2, k, 1', [0.0382607, -0.119862, 1.0]], ['2, k, 2', [0.0415811, 0.165419, 1.0]], ['2, k, 3', [0.0369509, 0.298123, 1.0]], ['2, k, 4', [-0.0874521, 0.140047, 1.0]], ['2, k, 5', [-0.196768, 0.0683432, 1.0]], ['2, k, 6', [-0.26068, 0.0802471, 1.0]], ['2, k, 7', [-0.328451, 0.0961773, 1.0]], ['2, k, 8', [0.164778, 0.130575, 1.0]], ['2, k, 9', [0.287088, 0.100356, 1.0]], ['2, k, 10', [0.35018, 0.122709, 1.0]], ['2, k, 11', [0.347615, 0.119317, 1.0]], ['2, k, 12', [-0.0213646, -0.390341, 1.0]], ['2, k, 13', [-0.0577816, -0.851458, 1.0]], ['2, k, 14', [-0.0562606, -1.22163, 1.0]], ['2, k, 15', [-0.0866805, -1.27521, 1.0]], ['2, k, 16', [0.0879316, -0.393567, 1.0]], ['2, k, 17', [0.140268, -0.825854, 1.0]], ['2, k, 18', [0.164724, -1.23378, 1.0]], ['2, k, 19', [0.173285, -1.27484, 1.0]], ['2, k, 20', [0.0410334, 0.0940278, 1.0]], ['2, k, 21', [-0.392488, 0.0976583, 1.0]], ['2, k, 22', [-0.286031, 0.113012, 1.0]], ['2, k, 23', [0.398128, 0.135409, 1.0]], ['2, k, 24', [0.263053, 0.113269, 1.0]]]
[['2, k, 0', [0.0334317, -0.399741, 1.0]], ['2, k, 1', [0.0381477, -0.118729, 1.0]], ['2, k, 2', [0.0416997, 0.169625, 1.0]], ['2, k, 3', [0.0369277, 0.297138, 1.0]], ['2, k, 4', [-0.0850314, 0.132961, 1.0]], ['2, k, 5', [-0.189848, 0.115503, 1.0]], ['2, k, 6', [-0.254466, 0.0662174, 1.0]], ['2, k, 7', [-0.286685, 0.0505228, 1.0]], ['2, k, 8', [0.164069, 0.12537, 1.0]], ['2, k, 9', [0.27787, 0.1482, 1.0]], ['2, k, 10', [0.362159, 0.0838802, 1.0]], ['2, k, 11', [0.428716, 0.0773432, 1.0]], ['2, k, 12', [-0.0217043, -0.393825, 1.0]], ['2, k, 13', [-0.0575542, -0.849081, 1.0]], ['2, k, 14', [-0.052282, -1.21461, 1.0]], ['2, k, 15', [-0.0802308, -1.27283, 1.0]], ['2, k, 16', [0.0878612, -0.397176, 1.0]], ['2, k, 17', [0.140579, -0.825282, 1.0]], ['2, k, 18', [0.156092, -1.21484, 1.0]], ['2, k, 19', [0.200438, -1.27268, 1.0]], ['2, k, 20', [0.0409935, 0.0976425, 1.0]], ['2, k, 21', [-0.347411, 0.0497424, 1.0]], ['2, k, 22', [-0.205895, 0.0482768, 1.0]], ['2, k, 23', [0.496857, 0.0757403, 1.0]], ['2, k, 24', [0.350574, 0.0623016, 1.0]]]
[['2, k, 0', [0.0370783, -0.409059, 1.0]], ['2, k, 1', [0.0382799, -0.118562, 1.0]], ['2, k, 2', [0.0403888, 0.17251, 1.0]], ['2, k, 3', [0.0374705, 0.298877, 1.0]], ['2, k, 4', [-0.0854127, 0.130892, 1.0]], ['2, k, 5', [-0.183028, 0.0629025, 1.0]], ['2, k, 6', [-0.261929, 0.0326526, 1.0]], ['2, k, 7', [-0.313618, 0.00102151, 1.0]], ['2, k, 8', [0.170009, 0.120938, 1.0]], ['2, k, 9', [0.287161, 0.0768521, 1.0]], ['2, k, 10', [0.347513, 0.0279801, 1.0]], ['2, k, 11', [0.403738, 0.0312057, 1.0]], ['2, k, 12', [-0.0187297, -0.402068, 1.0]], ['2, k, 13', [-0.058339, -0.85274, 1.0]], ['2, k, 14', [-0.0537435, -1.21575, 1.0]], ['2, k, 15', [-0.0783455, -1.27129, 1.0]], ['2, k, 16', [0.0927, -0.408676, 1.0]], ['2, k, 17', [0.138572, -0.848601, 1.0]], ['2, k, 18', [0.15604, -1.21485, 1.0]], ['2, k, 19', [0.152646, -1.27001, 1.0]], ['2, k, 20', [0.0401714, 0.0997345, 1.0]], ['2, k, 21', [-0.380693, 0.000882384, 1.0]], ['2, k, 22', [-0.254331, -0.013682, 1.0]], ['2, k, 23', [0.450067, 0.0301513, 1.0]], ['2, k, 24', [0.316728, 0.019219, 1.0]]]
[['2, k, 0', [0.0371851, -0.407196, 1.0]], ['2, k, 1', [0.0384677, -0.117282, 1.0]], ['2, k, 2', [0.0404373, 0.17254, 1.0]], ['2, k, 3', [0.0381428, 0.299598, 1.0]], ['2, k, 4', [-0.0830409, 0.122818, 1.0]], ['2, k, 5', [-0.210673, 0.0376468, 1.0]], ['2, k, 6', [-0.251236, -0.0229871, 1.0]], ['2, k, 7', [-0.328482, -0.0507519, 1.0]], ['2, k, 8', [0.17012, 0.114924, 1.0]], ['2, k, 9', [0.279984, 0.0593165, 1.0]], ['2, k, 10', [0.375253, 0.0261754, 1.0]], ['2, k, 11', [0.429217, -0.00568835, 1.0]], ['2, k, 12', [-0.0187064, -0.400433, 1.0]], ['2, k, 13', [-0.0586311, -0.859617, 1.0]], ['2, k, 14', [-0.0558445, -1.21376, 1.0]], ['2, k, 15', [-0.0823493, -1.27105, 1.0]], ['2, k, 16', [0.0927924, -0.405764, 1.0]], ['2, k, 17', [0.141831, -0.858925, 1.0]], ['2, k, 18', [0.155712, -1.21264, 1.0]], ['2, k, 19', [0.173557, -1.27232, 1.0]], ['2, k, 20', [0.040217, 0.0999984, 1.0]], ['2, k, 21', [-0.418917, -0.0498778, 1.0]], ['2, k, 22', [-0.295094, -0.032723, 1.0]], ['2, k, 23', [0.479637, -0.0203622, 1.0]], ['2, k, 24', [0.361399, -0.0329816, 1.0]]]
[['2, k, 0', [0.0366151, -0.389261, 1.0]], ['2, k, 1', [0.039888, -0.108391, 1.0]], ['2, k, 2', [0.0419574, 0.174181, 1.0]], ['2, k, 3', [0.0384304, 0.300186, 1.0]], ['2, k, 4', [-0.086243, 0.119611, 1.0]], ['2, k, 5', [-0.211435, 0.0214375, 1.0]], ['2, k, 6', [-0.251771, -0.07132, 1.0]], ['2, k, 7', [-0.30902, -0.0941035, 1.0]], ['2, k, 8', [0.172574, 0.1119, 1.0]], ['2, k, 9', [0.292035, 0.0149431, 1.0]], ['2, k, 10', [0.384705, -0.0169314, 1.0]], ['2, k, 11', [0.449322, -0.063517, 1.0]], ['2, k, 12', [-0.0195772, -0.383651, 1.0]], ['2, k, 13', [-0.0571265, -0.780904, 1.0]], ['2, k, 14', [-0.057092, -1.16045, 1.0]], ['2, k, 15', [-0.0713245, -1.23692, 1.0]], ['2, k, 16', [0.0922215, -0.385689, 1.0]], ['2, k, 17', [0.137945, -0.776947, 1.0]], ['2, k, 18', [0.135939, -1.12597, 1.0]], ['2, k, 19', [0.133289, -1.17278, 1.0]], ['2, k, 20', [0.0417378, 0.103078, 1.0]], ['2, k, 21', [-0.370924, -0.0882005, 1.0]], ['2, k, 22', [-0.256708, -0.104643, 1.0]], ['2, k, 23', [0.522845, -0.0637581, 1.0]], ['2, k, 24', [0.404646, -0.0847878, 1.0]]]
[['2, k, 0', [0.0369549, -0.389593, 1.0]], ['2, k, 1', [0.0399644, -0.10834, 1.0]], ['2, k, 2', [0.0419871, 0.174119, 1.0]], ['2, k, 3', [0.0386398, 0.301655, 1.0]], ['2, k, 4', [-0.085298, 0.117002, 1.0]], ['2, k, 5', [-0.212394, 0.0107792, 1.0]], ['2, k, 6', [-0.283863, -0.0881305, 1.0]], ['2, k, 7', [-0.300003, -0.13111, 1.0]], ['2, k, 8', [0.17255, 0.112082, 1.0]], ['2, k, 9', [0.306926, 0.0124377, 1.0]], ['2, k, 10', [0.401828, -0.0681607, 1.0]], ['2, k, 11', [0.428048, -0.10845, 1.0]], ['2, k, 12', [-0.0192959, -0.383849, 1.0]], ['2, k, 13', [-0.0564559, -0.783106, 1.0]], ['2, k, 14', [-0.0616231, -1.153, 1.0]], ['2, k, 15', [-0.131289, -1.21483, 1.0]], ['2, k, 16', [0.0927458, -0.386519, 1.0]], ['2, k, 17', [0.137465, -0.781159, 1.0]], ['2, k, 18', [0.127964, -1.13797, 1.0]], ['2, k, 19', [0.128491, -1.22145, 1.0]], ['2, k, 20', [0.0417625, 0.103091, 1.0]], ['2, k, 21', [-0.327334, -0.158136, 1.0]], ['2, k, 22', [-0.229822, -0.138777, 1.0]], ['2, k, 23', [0.48482, -0.109301, 1.0]], ['2, k, 24', [0.361922, -0.117871, 1.0]]]
[['2, k, 0', [0.0371764, -0.392634, 1.0]], ['2, k, 1', [0.0398198, -0.108501, 1.0]], ['2, k, 2', [0.0415318, 0.174306, 1.0]], ['2, k, 3', [0.0386488, 0.302364, 1.0]], ['2, k, 4', [-0.0929318, 0.095251, 1.0]], ['2, k, 5', [-0.209243, -0.03147, 1.0]], ['2, k, 6', [-0.270124, -0.133281, 1.0]], ['2, k, 7', [-0.277513, -0.172391, 1.0]], ['2, k, 8', [0.173258, 0.100891, 1.0]], ['2, k, 9', [0.322163, 0.00267207, 1.0]], ['2, k, 10', [0.382882, -0.147984, 1.0]], ['2, k, 11', [0.43747, -0.149607, 1.0]], ['2, k, 12', [-0.0193767, -0.387052, 1.0]], ['2, k, 13', [-0.0567468, -0.783468, 1.0]], ['2, k, 14', [-0.0605954, -1.14874, 1.0]], ['2, k, 15', [-0.155, -1.20833, 1.0]], ['2, k, 16', [0.0932046, -0.389704, 1.0]], ['2, k, 17', [0.137481, -0.782794, 1.0]], ['2, k, 18', [0.133588, -1.13291, 1.0]], ['2, k, 19', [0.127625, -1.21733, 1.0]], ['2, k, 20', [0.0413606, 0.103281, 1.0]], ['2, k, 21', [-0.286162, -0.190589, 1.0]], ['2, k, 22', [-0.192658, -0.179447, 1.0]], ['2, k, 23', [0.511669, -0.150771, 1.0]], ['2, k, 24', [0.394254, -0.169854, 1.0]]]
